date,event,result,location,image_url
1,14.08.2025,,"GCW Legends (2 Cold Scorpio,Masha Slamovich&The Great Sasuke) defeat Team JCW (Alice Crowley,JP Grayson&Matt Cross) (10:11)GCW/JCW The 2 Day War - Tag 1- Pay Per View @ Legend Valley in Thornville, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/2_Cold_Scorpio_2013_%28cropped%29.jpg
2,22.06.2025,,"GCW World Title:Effy(c) defeats2 Cold Scorpio(16:08)GCW Take A Picture 2025- Pay Per View @ The Truman in Kansas City, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/2_Cold_Scorpio_2013_%28cropped%29.jpg
3,26.04.2025,,"2 Cold ScorpiodefeatsMalaki GageImagine Wrestling YMCA Strong Kids Campaign- Event @ DuBois City Park in DuBois, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/2_Cold_Scorpio_2013_%28cropped%29.jpg
4,15.02.2025,,"2 Cold ScorpiodefeatsDavid LawlessImagine Wrestling Volume 60- Event @ Juniata Civics Association in Altoona, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/2_Cold_Scorpio_2013_%28cropped%29.jpg
5,04.10.2024,,"Triple Threat:2 Cold ScorpiodefeatsLow KiandNinja Mack(11:04)VIP Setting The Bar 2024: 10 Year Anniversary- Online Stream @ St. Jude Hall in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/2_Cold_Scorpio_2013_%28cropped%29.jpg
6,12.07.2024,,"VIP Heavyweight  Title:JD Griffey(c) defeats2 Cold Scorpio(14:14)VIP Hell Froze Over- Online Stream @ Haltom Theater in Haltom City, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/2_Cold_Scorpio_2013_%28cropped%29.jpg
7,30.06.2024,,"Fodderdefeats2 Cold Scorpio(8:24)AML Confrontation 2024- Event @ Benton Convention Center in Winston-Salem, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/2_Cold_Scorpio_2013_%28cropped%29.jpg
8,20.04.2024,,"2 Cold ScorpiodefeatsJoey Janela(16:46)GCW How High- Pay Per View @ Ukrainian Culture Center in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/2_Cold_Scorpio_2013_%28cropped%29.jpg
9,07.04.2024,,"SPO Heavyweight Title:2 Cold ScorpiodefeatsHomicide(c) -TITLE CHANGE !!!SPO END GAM3 - Part 2- Online Stream @ Mitchell Fire House in Burlington, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/2_Cold_Scorpio_2013_%28cropped%29.jpg
10,07.04.2024,,"SPO Heavyweight Title:Channing Deckerdefeats2 Cold Scorpio(c) -TITLE CHANGE !!!SPO END GAM3 - Part 2- Online Stream @ Mitchell Fire House in Burlington, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/d/d9/2_Cold_Scorpio_2013_%28cropped%29.jpg
