date,event,result,location,image_url
1,24.08.2025,,"Adam Copeland&Christian CagedefeatThe Matriarchy(Killswitch&Kip Sabian) (13:46)AEW/NJPW Forbidden Door 2025- Pay Per View @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/08/AdamCopeland_Edge2.jpg
2,13.08.2025,,"Adam CopelanddefeatsStokelyby DQ (4:24)AEW Dynamite #306- TV-Show @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/0/08/AdamCopeland_Edge2.jpg
3,06.04.2025,,"AEW World Trios Title:Death Riders(Claudio Castagnoli,PAC&Wheeler Yuta) (c) defeatRated FTR(Cash Wheeler,Cope&Dax Harwood) (14:43)AEW Dynasty 2025- Pay Per View @ Liacouras Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/0/08/AdamCopeland_Edge2.jpg
4,02.04.2025,,"CopedefeatsClaudio Castagnoli(17:38)AEW Dynamite #287- TV-Show @ Peoria Civic Center in Peoria, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/0/08/AdamCopeland_Edge2.jpg
5,19.03.2025,,"AEW World TitleStreet Fight:Jon Moxley(c) defeatsCope(22:21)AEW Dynamite #285- TV-Show @ Liberty First Credit Union Arena in Ralston, Nebraska, USA",https://upload.wikimedia.org/wikipedia/commons/0/08/AdamCopeland_Edge2.jpg
6,09.03.2025,,"AEW World TitleThree Way:Jon Moxley(c) defeatsChristian CageandCope(26:32)AEW Revolution 2025- Pay Per View @ Crypto.com Arena in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/0/08/AdamCopeland_Edge2.jpg
7,05.03.2025,,"CopedefeatsWheeler Yuta(11:33)AEW Dynamite #283- TV-Show @ Memorial Auditorium in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/0/08/AdamCopeland_Edge2.jpg
8,15.02.2025,,"Brisbane Brawl:Death Riders(Claudio Castagnoli&Jon Moxley) defeatCope&Jay Whiteby referee's decision (14:40)AEW Grand Slam Australia 2025- TV-Show @ Brisbane Entertainment Centre in Boondall, Queensland, Australia",https://upload.wikimedia.org/wikipedia/commons/0/08/AdamCopeland_Edge2.jpg
9,22.01.2025,,"CopedefeatsPAC(18:08)AEW Dynamite #277- TV-Show @ Knoxville Civic Coliseum in Knoxville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/0/08/AdamCopeland_Edge2.jpg
10,16.01.2025,,"12 Man:Powerhouse Hobbs,Rated FTR(Cash Wheeler,Cope&Dax Harwood) &The Outrunners(Truth Magnum&Turbo Floyd) defeatDeath Riders(Claudio Castagnoli,Jon Moxley&Wheeler Yuta) &The Learning Tree(Big Bill,Bryan Keith&Chris Jericho) (17:47)AEW Collision #77 - Maximum Carnage - Tag 2- TV-Show @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/0/08/AdamCopeland_Edge2.jpg
11,11.01.2025,,"CopedefeatsBig Billby referee's decision (13:34)AEW Collision #76- TV-Show @ Akins Ford Arena in Athens, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/0/08/AdamCopeland_Edge2.jpg
12,04.01.2025,,"Rated FTR(Cash Wheeler,Cope&Dax Harwood) defeatThe Learning Tree(Big Bill,Bryan Keith&Chris Jericho) (16:46)AEW Collision #75- TV-Show @ Bojangles Coliseum in Charlotte, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/0/08/AdamCopeland_Edge2.jpg
13,01.01.2025,,"Rated FTR(Cash Wheeler,Cope&Dax Harwood) defeatDeath Riders(Claudio Castagnoli,Jon Moxley&Wheeler Yuta) (18:38)AEW Dynamite #274 - Fight For The Fallen 2025- TV-Show @ Harrah's Cherokee Center in Asheville, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/0/08/AdamCopeland_Edge2.jpg
14,26.05.2024,,"AEW TNT TitleBarbed Wire Steel Cage:Adam Copeland(c) defeatsMalakai Black(20:11)AEW Double Or Nothing 2024- Pay Per View @ MGM Grand Garden Arena in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/0/08/AdamCopeland_Edge2.jpg
15,11.05.2024,,"AEW TNT Title:Adam Copeland(c) defeatsKyle O'Reilly(19:36)AEW Collision #44- TV-Show @ Rogers Arena in Vancouver, British Columbia, Canada",https://upload.wikimedia.org/wikipedia/commons/0/08/AdamCopeland_Edge2.jpg
16,08.05.2024,,"AEW TNT TitleNo Disqualification:Adam Copeland(c) defeatsBrody King(18:18)AEW Dynamite #240- TV-Show @ Rogers Place in Edmonton, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/0/08/AdamCopeland_Edge2.jpg
17,01.05.2024,,"AEW TNT Title:Adam Copeland(c) defeatsBuddy Matthews(21:02)AEW Dynamite #239- TV-Show @ Canada Life Centre in Winnipeg, Manitoba, Canada",https://upload.wikimedia.org/wikipedia/commons/0/08/AdamCopeland_Edge2.jpg
