date,event,result,location,image_url
1,03.03.2023,,"Kevin KileydefeatsBobby FontaLPW- Event @ Ocoee, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
2,19.02.2023,,"Kevin Kiley Jr.defeatsJGeorgeCAP OH BABY!- Event @ Lynbrook Knights Of Columbus in Lynbrook, New York, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
3,11.02.2023,,"EC3defeatsKevin Kiley Jr.(8:31)NWA Nuff Said- Pay Per View @ Egypt Shrine Center in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
4,08.12.2022,,"Kevin Kiley Jr.&TyrusdefeatVBU(Dante Drago&Jack Tomlinson)CAP 5th Annual Major Pod Holiday Toy Drive- Event @ Lynbrook Knights Of Columbus in Lynbrook, New York, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
5,28.04.2016,,"Shinsuke NakamuradefeatsAlex Riley(2:41)WWE NXT #317- Online Stream @ Full Sail University in Winter Park, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
6,23.04.2016,,"Alex RileydefeatsMurphyWWE NXT Live- House Show @ Maxwell Snyder Armory in Jacksonville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
7,22.04.2016,,"Alex RileydefeatsTye DillingerWWE NXT Live- House Show @ University Area CDC Gymnasium in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
8,16.04.2016,,"The Revival(Dash Wilder&Scott Dawson) defeatAlex Riley&Mojo RawleyWWE NXT Live- House Show @ Havert L. Fenn Center in Fort Pierce, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
9,14.04.2016,,"Riddick MossdefeatsAlex RileyWWE NXT Live- House Show @ Citrus Springs Community Center in Citrus Springs, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
10,09.04.2016,,"Alex RileydefeatsBlakeWWE NXT Live- House Show @ Charleston Area Convention Center in North Charleston, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
11,08.04.2016,,"Elias SamsondefeatsAlex RileyWWE NXT Live- House Show @ Township Auditorium in Columbia, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
12,07.04.2016,,"Alex RileydefeatsBlakeWWE NXT Live- House Show @ Cabarrus Arena & Events Center in Concord, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
13,03.04.2016,,"Alex RileydefeatsSawyer FultonWWE WrestleMania Axxess 2016 - Tag 3- Event @ Kay Bailey Hutchison Convention Center in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
14,02.04.2016,,"Alex RileydefeatsRiddick MossWWE WrestleMania Axxess 2016 - Tag 2- Event @ Kay Bailey Hutchison Convention Center in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
15,25.03.2016,,"Alex RileydefeatsElias SamsonWWE NXT Live- House Show @ Venice Community Center in Venice, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
16,24.03.2016,,"Riddick MossdefeatsAlex RileyWWE NXT Live- House Show @ Minnreg Hall in Largo, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
17,12.03.2016,,"Steve CutlerdefeatsAlex RileyWWE NXT Live- House Show @ Havert L. Fenn Center in Fort Pierce, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
18,11.03.2016,,"Mojo RawleydefeatsAlex RileyWWE NXT Live- House Show @ Palatka Armory in Palatka, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
19,10.03.2016,,"Mojo RawleydefeatsAlex RileyWWE NXT Live- House Show @ Maxwell Snyder Armory in Jacksonville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
20,05.03.2016,,"Manny AndradedefeatsAlex RileyWWE NXT Live- House Show @ Bartow Armory in Bartow, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
21,04.03.2016,,"Alex RileydefeatsTucker KnightWWE NXT Live- House Show @ Citrus Springs Community Center in Citrus Springs, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
22,26.02.2016,,"Levis Valenzuela Jr.defeatsAlex RileyWWE NXT Live- House Show @ Minnreg Hall in Largo, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
23,20.02.2016,,"Apollo CrewsdefeatsAlex RileyWWE NXT Live- House Show @ Washington Avenue Armory in Albany, New York, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
24,19.02.2016,,"Apollo CrewsdefeatsAlex RileyWWE NXT Live- House Show @ Asbury Park Convention Center in Asbury Park, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
25,18.02.2016,,"Sami ZayndefeatsAlex RileyWWE NXT Live- House Show @ Tower Theater in Upper Darby, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
26,13.02.2016,,"Apollo CrewsdefeatsAlex RileyWWE NXT Live- House Show @ Palatka Armory in Palatka, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
27,12.02.2016,,"Alex RileydefeatsPatrick ClarkWWE NXT Live- House Show @ University Area CDC Gymnasium in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
28,06.02.2016,,"Alex RileydefeatsAngelo DawkinsWWE NXT Live- House Show @ Bartow Armory in Bartow, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
29,27.01.2016,,"Apollo CrewsdefeatsAlex Riley(1:57)WWE NXT #311- Online Stream @ Full Sail University in Winter Park, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
30,22.01.2016,,"Tye DillingerdefeatsAlex Riley(3:16)WWE NXT #305- Online Stream @ CFE Arena in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
31,16.01.2016,,"Riddick MossdefeatsAlex RileyWWE NXT Live- House Show @ Havert L. Fenn Center in Fort Pierce, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
32,14.01.2016,,"Steve CutlerdefeatsAlex RileyWWE NXT Live- House Show @ Winter Haven Armory in Winter Haven, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
33,09.01.2016,,"Apollo CrewsdefeatsAlex RileyWWE NXT Live- House Show @ Citrus Springs Community Center in Citrus Springs, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
34,08.01.2016,,"Baron CorbindefeatsAlex RileyWWE NXT Live- House Show @ University Area CDC Gymnasium in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
35,07.01.2016,,"Alex RileydefeatsBull Dempsey(2:04)WWE NXT #302- Online Stream @ Full Sail University in Winter Park, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
36,23.04.2015,,"Sami ZayndefeatsAlex Rileyby DQ (4:41)WWE NXT #266- Online Stream @ Full Sail University in Winter Park, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
37,29.03.2015,,"Andre The Giant Memorial 2015 Battle Royal:The Big ShowdefeatsAdam RoseandAlex RileyandBig EandBo DallasandCesaroandCurtis AxelandDamien MizdowandDarren YoungandDiegoandErick RowanandFandangoandFernandoandGoldustandHeath SlaterandHideo ItamiandJack SwaggerandJimmy UsoandKaneandKofi KingstonandKonnorandMark HenryandRybackandSin CaraandThe MizandTitus O'NeilandTyson KiddandViktorandXavier WoodsandZack Ryder(18:10)WWE WrestleMania 31 Kickoff- Online Stream @ Levi's Stadium in Santa Clara, California, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
38,05.03.2015,,"Kevin OwensdefeatsAlex Riley(6:00)WWE NXT #260 - Arnold Sports Festival 2015- Online Stream @ Lifestyle Communities Pavilion in Columbus, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
39,18.02.2015,,"Kevin OwensdefeatsAlex Riley(7:09)WWE NXT #265- Online Stream @ Full Sail University in Winter Park, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f0/AlexRiley1.jpg
