date,event,result,location,image_url
1,29.08.2025,,"Alexa BlissdefeatsChelsea Green(8:39)WWE Friday Night SmackDown #1358- TV-Show @ LDLC Arena in Décines-Charpieu, Frankreich",https://upload.wikimedia.org/wikipedia/commons/5/5d/Alexa_Bliss_080325_%28cropped%29.jpg
2,28.08.2025,,"WWE Women's Tag Team Title:Alexa Bliss&Charlotte Flair(c) defeatThe Judgment Day(Raquel Rodriguez&Roxanne Perez)WWE Road To Clash In Paris - Tag 5- House Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/5/5d/Alexa_Bliss_080325_%28cropped%29.jpg
3,27.08.2025,,"WWE Women's Tag Team Title:Alexa Bliss&Charlotte Flair(c) defeatThe Judgment Day(Raquel Rodriguez&Roxanne Perez)WWE Road To Clash In Paris - Tag 4- House Show @ First Direct Arena in Leeds, West Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/5/5d/Alexa_Bliss_080325_%28cropped%29.jpg
4,26.08.2025,,"WWE Women's Tag Team Title:Alexa Bliss&Charlotte Flair(c) defeatThe Judgment Day(Raquel Rodriguez&Roxanne Perez)WWE Road To Clash In Paris - Tag 3- House Show @ AO Arena in Manchester, Greater Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/5/5d/Alexa_Bliss_080325_%28cropped%29.jpg
5,15.08.2025,,"Alexa BlissdefeatsPiper Niven(7:36)WWE Friday Night SmackDown #1356- TV-Show @ TD Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/5/5d/Alexa_Bliss_080325_%28cropped%29.jpg
6,04.08.2025,,"WWE Women's Tag Team Title:Alexa Bliss&Charlotte Flair(c) defeatThe Judgment Day(Raquel Rodriguez&Roxanne Perez) (13:51)WWE Monday Night RAW #1680- Online Stream @ Barclays Center in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/5/5d/Alexa_Bliss_080325_%28cropped%29.jpg
7,02.08.2025,,"WWE Women's Tag Team Title:Alexa Bliss&Charlotte FlairdefeatThe Judgment Day(Raquel Rodriguez&Roxanne Perez) (c) (13:36) -TITLE CHANGE !!!WWE SummerSlam 2025 - Saturday- Premium Live Event @ MetLife Stadium in East Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/5/5d/Alexa_Bliss_080325_%28cropped%29.jpg
8,25.07.2025,,"Roxanne PerezdefeatsAlexa Bliss(7:20)WWE Friday Night SmackDown #1353- TV-Show @ Rocket Arena in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/5/5d/Alexa_Bliss_080325_%28cropped%29.jpg
9,13.07.2025,,"WWE Women's Tag Team TitleFatal Four Way:The Judgment Day(Raquel Rodriguez&Roxanne Perez) (c) defeatAlexa Bliss&Charlotte FlairandSol Ruca&ZariaandThe Kabuki Warriors(Asuka&Kairi Sane) (10:52)WWE Evolution 2025- Premium Live Event @ State Farm Arena in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/5/5d/Alexa_Bliss_080325_%28cropped%29.jpg
10,11.07.2025,,"Fatal Four Way:Alexa BlissdefeatsKairi SaneandRoxanne PerezandSol Ruca(9:59)WWE Friday Night SmackDown #1351- TV-Show @ Bridgestone Arena in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/5/5d/Alexa_Bliss_080325_%28cropped%29.jpg
