date,event,result,location,image_url
1,30.08.2025,,"FWE Women's  Title:Angelina LovedefeatsSavannah EvansFWE Mind Games- Event @ Sports HQ in Cary, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Angelina2011.png
2,07.06.2025,,"Two On One Handicap:Bully RaydefeatsPsycho Love(Angelina Love&Fodder)ASW Bash In Beckley V- Event @ Beckley Raleigh Convention Center in Beckley, West Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Angelina2011.png
3,06.12.2024,,"MikadefeatsAngelina LoveSpot Monkey Promotions The Whole Shebang- Event @ Elite Athletics Sports Complex in Batavia, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Angelina2011.png
4,13.09.2024,,"Angelina LovedefeatsAminah BelmontCSW Friday The 13th- Online Stream @ VFW Post 5040 in Franklin Park, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Angelina2011.png
5,03.08.2024,,"Angelina Love&FodderdefeatDustin Bozworth&Samantha Starr(9:49)T-Mart Promotions Rumble At The Hilton- Event @ Hilton Charlotte University Place in Charlotte, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Angelina2011.png
6,01.06.2024,,"Psycho Love(Angelina Love&Fodder) defeatDani Mo&FacadeASW Bash In Beckley IV- Event @ Beckley Raleigh Convention Center in Beckley, West Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Angelina2011.png
7,27.04.2024,,"Psycho Love(Angelina Love&Fodder) defeat Grizzled Brutality (Ryan Davidson&Sheeva) (11:42)GCWA Back 2 The Hotel- Online Stream @ Holiday Inn Downtown Marina in Corpus Christi, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Angelina2011.png
8,21.04.2024,,"Mika&Super OprahdefeatPsycho Love(Angelina Love&Fodder)ASW Sunday Main Event- Event @ Special Occasions Event Center in Logan, West Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Angelina2011.png
9,09.12.2023,,"Psycho Love(Angelina Love&Fodder) defeatPretty Provocative(Gia Scott& Jadis Quinn)MCW Season's Beatings 2023 - Tag 1- Event @ Frederick Elks Lodge 684 in Frederick, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Angelina2011.png
10,25.11.2023,,"Brad Attitude,Matt Cardona&Steph De LanderdefeatEC3&Psycho Love(Angelina Love&Fodder) (7:52)WrestleCade SuperShow 2023- Online Stream @ Benton Convention Center in Winston-Salem, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Angelina2011.png
