date,event,result,location,image_url
1,29.08.2025,,"ROH Women's World Title:Athena(c) defeatsMina Shirakawa(25:27)ROH Death Before Dishonor 2025- Online Stream @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/c/c4/Akropolis_by_Leo_von_Klenze.jpg
2,24.08.2025,,"AEW Women's World Title:Toni Storm(c) defeatsAthena(15:16)AEW/NJPW Forbidden Door 2025- Pay Per View @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/c/c4/Akropolis_by_Leo_von_Klenze.jpg
3,22.08.2025,,"AthenadefeatsMercedez Blaze(3:28)RevPro 13 Year Anniversary Show - Tag 1: Global Wars UK- Online Stream @ Crystal Palace National Sports Centre in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/c/c4/Akropolis_by_Leo_von_Klenze.jpg
4,20.08.2025,,"Athena&Mercedes MonedefeatAlex Windsor&Toni Storm(16:02)AEW Dynamite #307- TV-Show @ OVO Hydro in Glasgow, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/c/c4/Akropolis_by_Leo_von_Klenze.jpg
5,06.08.2025,,"ROH Women's World TitleProving Ground:Athena[c] defeatsDayami(2:09)ROH on HonorClub #132- Online Stream @ Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/c/c4/Akropolis_by_Leo_von_Klenze.jpg
6,31.07.2025,,"Athena&Billie StarkzdefeatLaynie Luck&Missa Kate(2:16)ROH on HonorClub #128- Online Stream @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/c/c4/Akropolis_by_Leo_von_Klenze.jpg
7,30.07.2025,,"Athena&Billie StarkzdefeatAlex Windsor&Toni Storm(11:23)AEW Dynamite #304- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/c/c4/Akropolis_by_Leo_von_Klenze.jpg
8,26.07.2025,,"ROH Women's World Title:Athena(c) defeatsAlex Windsor(12:19)AEW Collision #103- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/c/c4/Akropolis_by_Leo_von_Klenze.jpg
9,12.07.2025,,"Casino Gauntlet:AthenadefeatsAlex WindsorandJulia HartandKris StatlanderandMegan BayneandMina ShirakawaandQueen AminataandSyuriandTay MeloandTheklaandThunder RosaandWillow Nightingale(27:01)AEW All In Texas- Pay Per View @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/c/c4/Akropolis_by_Leo_von_Klenze.jpg
10,11.07.2025,,"ROH Women's World Title:Athena(c) defeatsThunder Rosa(18:50)ROH Supercard Of Honor 2025- Online Stream @ Esports Stadium Arlington in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/c/c4/Akropolis_by_Leo_von_Klenze.jpg
11,10.07.2025,,"Mina Shirakawa,Queen Aminata,Thunder Rosa&Willow NightingaledefeatAthena,Julia Hart,Megan Bayne&Thekla(12:41)AEW Collision #101- TV-Show @ Curtis Culwell Center in Garland, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/c/c4/Akropolis_by_Leo_von_Klenze.jpg
