date,event,result,location,image_url
1,20.04.2025,,"WWE Women's World TitleTriple Threat:IYO SKY(c) defeatsBianca BelairandRhea Ripley(14:26)WWE WrestleMania 41 - Sunday- Premium Live Event @ Allegiant Stadium in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/d/df/Bianca_Belair_042025_%28cropped%29.jpg
2,01.03.2025,,"WWE Women's World Title#1 Contendership Elimination Chamber:Bianca BelairdefeatsAlexa BlissandBayleyandLiv MorganandNaomiandRoxanne Perez(29:15)WWE Elimination Chamber 2025- Premium Live Event @ Rogers Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/d/df/Bianca_Belair_042025_%28cropped%29.jpg
3,28.02.2025,,"Roxanne Perez&The Judgment Day(Liv Morgan&Raquel Rodriguez) defeatBayley,Bianca Belair&Naomi(8:55)WWE Friday Night SmackDown #1332- TV-Show @ Scotiabank Arena in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/d/df/Bianca_Belair_042025_%28cropped%29.jpg
4,24.02.2025,,"WWE Women's Tag Team Title:The Judgment Day(Liv Morgan&Raquel Rodriguez) defeatBianca Belair&Naomi(c) (11:59) -TITLE CHANGE !!!WWE Monday Night RAW #1657- Online Stream @ Heritage Bank Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/d/df/Bianca_Belair_042025_%28cropped%29.jpg
5,07.02.2025,,"Elimination Chamber Qualifying:Bianca BelairdefeatsPiper Niven(8:05)WWE Friday Night SmackDown #1329- TV-Show @ FedExForum in Memphis, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/d/df/Bianca_Belair_042025_%28cropped%29.jpg
6,01.02.2025,,"Royal Rumble:Charlotte FlairdefeatsAlexa BlissandB-FabandBayleyandBianca BelairandCandice LeRaeandChelsea GreenandGiuliaandIvy NileandIYO SKYandJaida ParkerandJordynne GraceandLash LegendandLiv MorganandLyra ValkyriaandMaxxine DupriandMichinandNaomiandNatalyaandNia JaxandNikki BellaandPiper NivenandRaquel RodriguezandRoxanne PerezandShayna BaszlerandSonya DevilleandStephanie VaquerandTrish StratusandZelina VegaandZoey Stark(70:20)WWE Royal Rumble 2025- Premium Live Event @ Lucas Oil Stadium in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/d/df/Bianca_Belair_042025_%28cropped%29.jpg
7,28.01.2025,,"WWE Women's Tag Team Title:Bianca Belair&Naomi(c) defeatMeta-Four(Jakara Jackson&Lash Legend) (12:57)WWE NXT #770- TV-Show @ Center Stage Theater in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/d/df/Bianca_Belair_042025_%28cropped%29.jpg
8,27.01.2025,,"The Judgment Day(Liv Morgan&Raquel Rodriguez) defeatBianca Belair&Naomi(12:35)WWE Monday Night RAW #1653- Online Stream @ State Farm Arena in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/d/df/Bianca_Belair_042025_%28cropped%29.jpg
9,24.01.2025,,"Candice LeRae,Liv Morgan&Nia JaxdefeatBianca Belair,Naomi&Rhea Ripley(12:13)WWE Friday Night SmackDown #1327- TV-Show @ Moody Center in Austin, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/df/Bianca_Belair_042025_%28cropped%29.jpg
10,17.01.2025,,"Bianca Belair&NaomidefeatCandice LeRae&Nia Jax(10:34)WWE Friday Night SmackDown #1326- TV-Show @ Pechanga Arena in San Diego, California, USA",https://upload.wikimedia.org/wikipedia/commons/d/df/Bianca_Belair_042025_%28cropped%29.jpg
