date,event,result,location,image_url
1,25.05.2017,,"Vaderdefeats The IronmanWrestleJam V- Event @ Colonnade Civic Center in Ringgold, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Big_Van_Vader_%281996%29.jpg
2,23.04.2017,,"Riki Choshu,Tatsumi Fujinami&VaderdefeatShiro Koshinaka,Takuma Sano&Yoshiaki Fujiwara(8:09)Dradition Tatsumi Fujinami Debut 45th Anniversary Tour In Osaka- Event @ EDION Arena Osaka #2 in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/f/fd/Big_Van_Vader_%281996%29.jpg
3,22.04.2017,,"Koji Kanemoto,Shiro Koshinaka&Tatsumi FujinamidefeatTakuma Sano,Vader&Yoshiaki Fujiwara(10:30)Dradition Tatsumi Fujinami Debut 45th Anniversary Tour In Fukuoka- Event @ Hakata Starlanes in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/f/fd/Big_Van_Vader_%281996%29.jpg
4,20.04.2017,,"Riki Choshu,Shiro Koshinaka&Tatsumi FujinamidefeatAKIRA,Keiji Muto&Vader(13:09)Dradition Tatsumi Fujinami Debut 45th Anniversary Tour In Tokyo- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/f/fd/Big_Van_Vader_%281996%29.jpg
5,11.03.2017,,"VaderdefeatsStan LeeBTW- Event @ Bluefield, West Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Big_Van_Vader_%281996%29.jpg
6,10.03.2017,,"VaderdefeatsJeff Lewis NealBTW- Event @ Morganton, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Big_Van_Vader_%281996%29.jpg
7,28.08.2016,,"Bob Evans,Gangrel&VaderdefeatFranky Vain, Jimmy Milonas &KongoTRP Summer Showdown 2016- Event @ Shaw's Conference Center in Brockton, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Big_Van_Vader_%281996%29.jpg
8,14.08.2016,,"VaderdefeatsSid ScalaXWA 42: The Summer Supershow- Event @ Charter Hall in Colchester, Essex, England, UK",https://upload.wikimedia.org/wikipedia/commons/f/fd/Big_Van_Vader_%281996%29.jpg
9,12.08.2016,,"VaderdefeatsWill Ospreay(6:44)RevPro Uprising 2016- Event @ York Hall in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/f/fd/Big_Van_Vader_%281996%29.jpg
10,12.09.2015,,"The Steiner Brothers(Rick Steiner&Scott Steiner) defeatAndrew Anderson&Big Van VaderDoIt2It- Event @ Tulsa Fairgrounds Pavillion in Tulsa, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Big_Van_Vader_%281996%29.jpg
