date,event,result,location,image_url
1,08.09.2025,,"Bronson ReeddefeatsLA Knight(11:43)WWE Monday Night RAW #1685- Online Stream @ Fiserv Forum in Milwaukee, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Jonah_Rock_punch_Robbie_Eagles.jpg
2,01.09.2025,,"The Vision(Bron Breakker&Bronson Reed) defeatJey Uso&LA Knight(14:00)WWE Monday Night RAW #1684- Online Stream @ Paris La Défense Arena in Nanterre, Frankreich",https://upload.wikimedia.org/wikipedia/commons/1/17/Jonah_Rock_punch_Robbie_Eagles.jpg
3,31.08.2025,,"Roman ReignsdefeatsBronson Reed(22:07)WWE Clash In Paris- Premium Live Event @ Paris La Défense Arena in Nanterre, Frankreich",https://upload.wikimedia.org/wikipedia/commons/1/17/Jonah_Rock_punch_Robbie_Eagles.jpg
4,24.08.2025,,"The Vision(Bron Breakker&Bronson Reed) defeatThe War Raiders(Erik&Ivar)WWE Road To Clash In Paris - Tag 2- House Show @ Utilita Arena Newcastle in Newcastle Upon Tyne, Tyne And Wear, England, UK",https://upload.wikimedia.org/wikipedia/commons/1/17/Jonah_Rock_punch_Robbie_Eagles.jpg
5,23.08.2025,,"The Vision(Bron Breakker&Bronson Reed) defeatThe War Raiders(Erik&Ivar)WWE Road To Clash In Paris - Tag 1- House Show @ M&S Bank Arena in Liverpool, Merseyside, England, UK",https://upload.wikimedia.org/wikipedia/commons/1/17/Jonah_Rock_punch_Robbie_Eagles.jpg
6,15.08.2025,,"Dark:Bronson ReeddefeatsPentaWWE Friday Night SmackDown #1356- Dark Match @ TD Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Jonah_Rock_punch_Robbie_Eagles.jpg
7,11.08.2025,,"CM Punk&LA KnightdefeatThe Vision(Bron Breakker&Bronson Reed) by DQ (16:22)WWE Monday Night RAW #1681- Online Stream @ Centre Videotron in Quebec City, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/1/17/Jonah_Rock_punch_Robbie_Eagles.jpg
8,02.08.2025,,"Jey Uso&Roman ReignsdefeatBron Breakker&Bronson Reed(21:04)WWE SummerSlam 2025 - Saturday- Premium Live Event @ MetLife Stadium in East Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Jonah_Rock_punch_Robbie_Eagles.jpg
9,28.07.2025,,"Jey UsodefeatsBronson Reedby DQ (7:09)WWE Monday Night RAW #1679- Online Stream @ Little Caesars Arena in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Jonah_Rock_punch_Robbie_Eagles.jpg
10,27.07.2025,,"Jey Uso&Sami ZayndefeatBron Breakker&Bronson ReedWWE SuperShow Mexico- House Show @ Arena Monterrey in Monterrey, Nuevo Leon, Mexiko",https://upload.wikimedia.org/wikipedia/commons/1/17/Jonah_Rock_punch_Robbie_Eagles.jpg
11,26.07.2025,,"Jey Uso&Sami ZayndefeatBron Breakker&Bronson ReedWWE SuperShow Mexico- House Show @ Arena Ciudad de Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/1/17/Jonah_Rock_punch_Robbie_Eagles.jpg
12,20.07.2025,,"LA KnightdefeatsBronson ReedWWE SuperShow- House Show @ Bert Ogden Arena in Edinburg, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Jonah_Rock_punch_Robbie_Eagles.jpg
13,19.07.2025,,"LA KnightdefeatsBronson ReedWWE SuperShow- House Show @ American Bank Center in Corpus Christi, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Jonah_Rock_punch_Robbie_Eagles.jpg
14,07.07.2025,,"Jey UsodefeatsBronson Reedby DQ (3:15)WWE Monday Night RAW #1676- Online Stream @ Amica Mutual Pavilion in Providence, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Jonah_Rock_punch_Robbie_Eagles.jpg
15,30.06.2025,,"Bron Breakker&Bronson ReeddefeatPenta&Sami Zayn(18:24)WWE Monday Night RAW #1675- Online Stream @ PPG Paints Arena in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Jonah_Rock_punch_Robbie_Eagles.jpg
16,20.06.2025,,"LA KnightdefeatsBronson Reedby DQ (7:45)WWE Friday Night SmackDown #1348- TV-Show @ Van Andel Arena in Grand Rapids, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Jonah_Rock_punch_Robbie_Eagles.jpg
17,16.06.2025,,"King Of The Ring 2025 First Round Fatal Four Way:Jey UsodefeatsBronson ReedandRusevandSheamus(17:25)WWE Monday Night RAW #1673- Online Stream @ Resch Center in Green Bay, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Jonah_Rock_punch_Robbie_Eagles.jpg
18,02.06.2025,,"Jey Uso&Sami ZayndefeatBron Breakker&Bronson Reedby DQ (9:01)WWE Monday Night RAW #1671- Online Stream @ BOK Center in Tulsa, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Jonah_Rock_punch_Robbie_Eagles.jpg
