date,event,result,location,image_url
1,02.12.2017,,"Candice MichelledefeatsLisa Marie VaronHOH 36 - Blizzard Brawl 2017- Online Stream @ Waukesha County Expo in Waukesha, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/Candice_Michelle_No_Mercy_2007.jpg
2,02.02.2009,,"Beth PhoenixdefeatsCandice Michelle(2:37)WWE Monday Night RAW #819- TV-Show @ Scottrade Center in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/Candice_Michelle_No_Mercy_2007.jpg
3,24.01.2009,,"Candice Michelle&Eve TorresdefeatBeth Phoenix&NatalyaWWE House Show- House Show @ Savage Hall in Toledo, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/Candice_Michelle_No_Mercy_2007.jpg
4,18.01.2009,,"MelinadefeatsCandice MichelleWWE RAW/ECW House Show- House Show @ Aliant Energy Center in Madison, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/Candice_Michelle_No_Mercy_2007.jpg
5,17.01.2009,,"MelinadefeatsCandice MichelleWWE RAW/ECW House Show- House Show @ La Crosse Center in La Crosse, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/Candice_Michelle_No_Mercy_2007.jpg
6,29.12.2008,,"WWE Women's Title#1 Contendership Six Man Battle Royal:MelinadefeatsCandice MichelleandJillian HallandKatie LeaandKelly KellyandMickie James(2:49)WWE Monday Night RAW #814- TV-Show @ Verizon Wireless Arena in Manchester, New Hampshire, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/Candice_Michelle_No_Mercy_2007.jpg
7,30.11.2008,,"WWE Women's Title:Beth Phoenix(c) defeatsCandice MichelleWWE RAW House Show- House Show @ Sovereign Center in Reading, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/Candice_Michelle_No_Mercy_2007.jpg
8,29.11.2008,,"WWE Women's Title:Beth Phoenix(c) defeatsCandice MichelleWWE RAW House Show- House Show @ First Arena in Elmira, New York, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/Candice_Michelle_No_Mercy_2007.jpg
9,24.11.2008,,"Candice Michelle,Melina&Mickie JamesdefeatBeth Phoenix,Jillian Hall&Katie Lea(3:23)WWE Monday Night RAW #809- TV-Show @ Dunkin' Donuts Center in Providence, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/Candice_Michelle_No_Mercy_2007.jpg
10,23.11.2008,,"Survivor Series Elimination:Beth Phoenix,Candice Michelle,Jillian Hall,Kelly Kelly&Mickie JamesdefeatMaria,Maryse,Michelle McCool,Natalya&Victoria(9:30)WWE Survivor Series 2008- Pay Per View @ TD Banknorth Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/Candice_Michelle_No_Mercy_2007.jpg
