date,event,result,location,image_url
1,14.04.2024,,"Chris Herovs.Kazusada Higuchi- No Contest (12:23)West Coast Pro Presents Chris Hero's Pro Wres Mixtape- Online Stream @ Don Quixote in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/4/4d/ChrisHero_IWAEastCoast_Aug062008.jpg
2,14.04.2024,,"Tornado:Bryan Keith&Chris HerodefeatKazusada Higuchi&Mecha Mummy(13:45)West Coast Pro Presents Chris Hero's Pro Wres Mixtape- Online Stream @ Don Quixote in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/4/4d/ChrisHero_IWAEastCoast_Aug062008.jpg
3,18.02.2024,,"Chris HerodefeatsAdrian Questby DQ (6:46)West Coast Pro Under The Bridge- Online Stream @ Don Quixote in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/4/4d/ChrisHero_IWAEastCoast_Aug062008.jpg
4,18.02.2024,,"Chris Hero,Konosuke Takeshita&Titus AlexanderdefeatAdrian Quest&Los Suavecitos(Danny Rose&Ricky Gee) (20:56)West Coast Pro Under The Bridge- Online Stream @ Don Quixote in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/4/4d/ChrisHero_IWAEastCoast_Aug062008.jpg
5,03.12.2023,,"Chris Hero&KENTAdefeatKevin Blackwood&Titus Alexander(28:25)West Coast Pro MONSTER- Online Stream @ Don Quixote in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/4/4d/ChrisHero_IWAEastCoast_Aug062008.jpg
6,17.11.2023,,"Chris HerodefeatsTimothy Thatcher(24:14)West Coast Pro Whiplash- Online Stream @ United Irish Cultural Center in San Francisco, California, USA",https://upload.wikimedia.org/wikipedia/commons/4/4d/ChrisHero_IWAEastCoast_Aug062008.jpg
7,07.03.2020,,"WWE NXT United Kingdom Title#1 Contendership Battle Royal:Ilja DragunovdefeatsA-KidandAlexander WolfeandAmir JordanandAshton SmithandDave MastiffandFlash Morgan WebsterandJoe CoffeyandJordan DevlinandKassius OhnoandKenny WilliamsandLigeroandNoam DarandOliver CarterandRidge HollandandSaxon HuxleyandTravis BanksandTrent SevenandTyler BateandTyson T-Bone(28:37)WWE NXT UK #86- TV-Show @ Coventry Skydome Arena in Coventry, West Midlands, England, UK",https://upload.wikimedia.org/wikipedia/commons/4/4d/ChrisHero_IWAEastCoast_Aug062008.jpg
8,06.03.2020,,"Kassius OhnodefeatsKenny Williams(6:58)WWE NXT UK #84- TV-Show @ Coventry Skydome in Coventry, West Midlands, England, UK",https://upload.wikimedia.org/wikipedia/commons/4/4d/ChrisHero_IWAEastCoast_Aug062008.jpg
9,29.02.2020,,"Cal Bloom&Shane ThornedefeatKassius Ohno&Ridge HollandWWE NXT Live- House Show @ Maxwell Snyder Armory in Jacksonville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/4d/ChrisHero_IWAEastCoast_Aug062008.jpg
10,18.01.2020,,"Kassius OhnodefeatsJack Starz(5:00)WWE NXT UK #81- TV-Show @ York Barbican in York, Yorkshire And The Humber, England, UK",https://upload.wikimedia.org/wikipedia/commons/4/4d/ChrisHero_IWAEastCoast_Aug062008.jpg
11,12.01.2020,,"Dave MastiffdefeatsKassius Ohno(6:45)WWE NXT UK #75- TV-Show @ Empress Ballroom in Blackpool, Lancashire, England, UK",https://upload.wikimedia.org/wikipedia/commons/4/4d/ChrisHero_IWAEastCoast_Aug062008.jpg
12,15.12.2019,,"Timothy ThatcherdefeatsKassius Ohno(16:51)PROGRESS Chapter 99: With A Flake, Please- Event @ O2 Academy Sheffield in Sheffield, South Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/4/4d/ChrisHero_IWAEastCoast_Aug062008.jpg
13,14.12.2019,,"Lucky KiddefeatsKassius Ohno(24:49)wXw 19th Anniversary- Event @ Turbinenhalle 2 in Oberhausen, Nordrhein-Westfalen, Deutschland",https://upload.wikimedia.org/wikipedia/commons/4/4d/ChrisHero_IWAEastCoast_Aug062008.jpg
14,04.12.2019,,"Matt RiddledefeatsKassius Ohno(9:16)WWE NXT #502- TV-Show @ Full Sail University in Winter Park, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/4d/ChrisHero_IWAEastCoast_Aug062008.jpg
15,16.11.2019,,"Kassius OhnodefeatsLigero(6:55)WWE NXT UK #74- TV-Show @ Bonus Arena in Hull, East Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/4/4d/ChrisHero_IWAEastCoast_Aug062008.jpg
16,15.11.2019,,"Dark:Mark AndrewsdefeatsKassius OhnoWWE NXT UK #71- Dark Match @ Bonus Arena in Hull, East Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/4/4d/ChrisHero_IWAEastCoast_Aug062008.jpg
17,20.10.2019,,"Finn BalordefeatsKassius OhnoWWE NXT Live- House Show @ Prospera Place in Kelowna, British Columbia, Canada",https://upload.wikimedia.org/wikipedia/commons/4/4d/ChrisHero_IWAEastCoast_Aug062008.jpg
18,20.10.2019,,"Kassius OhnodefeatsBronson ReedWWE NXT Live- House Show @ Prospera Place in Kelowna, British Columbia, Canada",https://upload.wikimedia.org/wikipedia/commons/4/4d/ChrisHero_IWAEastCoast_Aug062008.jpg
