date,event,result,location,image_url
1,06.04.2025,,"ROH World TitleVs. Mask:BandidodefeatsChris Jericho(c) (18:12) -TITLE CHANGE !!!AEW Dynasty 2025- Pay Per View @ Liacouras Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
2,19.02.2025,,"ROH World Title:Chris Jericho(c) defeatsBandido(17:21)AEW Collision #81- TV-Show @ Arizona Financial Theatre in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
3,15.02.2025,,"Bandido&The Outrunners(Truth Magnum&Turbo Floyd) defeatThe Learning Tree(Big Bill,Bryan Keith&Chris Jericho) (14:11)AEW/ROH Global Wars Australia- Online Stream @ Brisbane Entertainment Centre in Boondall, Queensland, Australia",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
4,03.02.2025,,"Real1&The Learning Tree(Big Bill,Bryan Keith&Chris Jericho) defeatGrizzled Young Veterans(James Drake&Zack Gibson) &MxM Collection(Mansoor&Mason Madden)Jericho Cruise 2025: Six On The Beach - Tag 4 (Show 2)- Event @ Norwegian Pearl Cruise Ship in USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
5,29.01.2025,,"The Learning Tree(Bryan Keith&Chris Jericho) defeatThe Outrunners(Truth Magnum&Turbo Floyd) (8:23)AEW Collision #79- TV-Show @ Propst Arena At Von Braun Center in Huntsville, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
6,16.01.2025,,"12 Man:Powerhouse Hobbs,Rated FTR(Cash Wheeler,Cope&Dax Harwood) &The Outrunners(Truth Magnum&Turbo Floyd) defeatDeath Riders(Claudio Castagnoli,Jon Moxley&Wheeler Yuta) &The Learning Tree(Big Bill,Bryan Keith&Chris Jericho) (17:47)AEW Collision #77 - Maximum Carnage - Tag 2- TV-Show @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
7,11.01.2025,,"Chris JerichodefeatsDax Harwood(15:24)AEW Collision #76- TV-Show @ Akins Ford Arena in Athens, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
8,04.01.2025,,"Rated FTR(Cash Wheeler,Cope&Dax Harwood) defeatThe Learning Tree(Big Bill,Bryan Keith&Chris Jericho) (16:46)AEW Collision #75- TV-Show @ Bojangles Coliseum in Charlotte, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
9,22.12.2024,,"Chris JerichodefeatsAnthony Bowens(9:39)AEW Rampage #177 - New Year's Smash 2024- TV-Show @ Hammerstein Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
10,20.12.2024,,"ROH World Title:Chris Jericho(c) defeatsMatt Cardona(18:28)ROH Final Battle 2024- Online Stream @ Hammerstein Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
11,27.11.2024,,"ROH World Title:Chris Jericho(c) defeatsTomohiro Ishii(13:15)AEW Dynamite #269 - Thanksgiving Eve 2024- TV-Show @ Wintrust Arena in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
12,06.11.2024,,"Fight Without Honor:The Conglomeration(Kyle O'Reilly,Mark Briscoe&Tomohiro Ishii) defeatThe Learning Tree(Big Bill,Bryan Keith&Chris Jericho) (13:38)AEW Dynamite #266- TV-Show @ SNHU Arena in Manchester, New Hampshire, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
13,23.10.2024,,"ROH World TitleLadder War:Chris JerichodefeatsMark Briscoe(c) (15:44) -TITLE CHANGE !!!AEW Dynamite #264- TV-Show @ Maverik Center in West Valley City, Utah, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
14,12.10.2024,,"ROH World Title:Mark Briscoe(c) defeatsChris Jericho(15:18)AEW WrestleDream 2024- Pay Per View @ Tacoma Dome in Tacoma, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
15,25.09.2024,,"Tornado:The Learning Tree(Big Bill,Bryan Keith&Chris Jericho) defeatThe Conglomeration(Kyle O'Reilly,Mark Briscoe&Orange Cassidy) (9:02)AEW Collision #64 - Grand Slam 2024 - Tag 2- TV-Show @ Arthur Ashe Stadium in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
16,18.09.2024,,"Orange CassidydefeatsChris Jericho(19:30)AEW Dynamite #259- TV-Show @ Mohegan Sun Arena in Wilkes-Barre, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
17,13.09.2024,,"Best Two Out Of Three Falls:MisticodefeatsChris Jericho[2:1] (22:11)CMLL 91. Aniversario- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
18,11.09.2024,,"The Learning Tree(Big Bill,Bryan Keith&Chris Jericho) defeatIron Savages(Boulder,Bronson&Jacked Jameson) (2:31)AEW Dynamite #258- TV-Show @ Rupp Arena in Lexington, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
19,28.08.2024,,"Hook&The Conglomeration(Kyle O'Reilly,Mark Briscoe&Orange Cassidy) defeatRoderick Strong&The Learning Tree(Big Bill,Bryan Keith&Chris Jericho) (16:31)AEW Dynamite #256- TV-Show @ State Farm Center in Champaign, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
20,25.08.2024,,"FTW Title:HookdefeatsChris Jericho(c) (10:14) -TITLE CHANGE !!!AEW All In London 2024- Pay Per View @ Wembley Stadium in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
21,21.08.2024,,"Chris JerichodefeatsTommy Billington(9:25)AEW Dynamite #255- TV-Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
22,24.07.2024,,"FTW TitleFTW Rules:Chris Jericho(c) defeatsMinoru Suzuki(13:57)AEW Dynamite #251 - Blood & Guts 2024- TV-Show @ Bridgestone Arena in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
23,17.07.2024,,"The Learning Tree(Big Bill&Chris Jericho) defeatThe Outrunners(Truth Magnum&Turbo Floyd) (3:32)AEW Rampage #154- TV-Show @ Simmons Bank Arena in North Little Rock, Arkansas, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
24,10.07.2024,,"Stampede Street Fight:Chris JerichodefeatsSamoa Joeby referee's decision (12:32)AEW Dynamite #249- TV-Show @ Scotiabank Saddledome in Calgary, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
25,30.06.2024,,"Hook,Katsuyori Shibata&Samoa JoedefeatThe Learning Tree(Big Bill&Chris Jericho) &Jeff Cobb(14:02)AEW/NJPW Forbidden Door 2024- Pay Per View @ UBS Arena in Elmont, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
26,20.06.2024,,"The Learning Tree(Big Bill&Chris Jericho) defeatPrivate Party(Isiah Kassidy&Marq Quen) (14:52)AEW Collision #50- TV-Show @ PPL Center in Allentown, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
27,26.05.2024,,"FTW TitleThree Way:Chris Jericho(c) defeatsHookandKatsuyori Shibata(12:45)AEW Double Or Nothing 2024- Pay Per View @ MGM Grand Garden Arena in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
28,08.05.2024,,"The Learning Tree(Big Bill&Chris Jericho) defeatHarlon Abbott&Mo Jabari(2:35)AEW Dynamite #240- TV-Show @ Rogers Place in Edmonton, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
29,01.05.2024,,"FTW TitleFTW Rules:Chris Jericho(c) defeatsKatsuyori Shibata(15:26)AEW Dynamite #239- TV-Show @ Canada Life Centre in Winnipeg, Manitoba, Canada",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
30,21.04.2024,,"FTW TitleFTW Rules:Chris JerichodefeatsHook(c) (16:34) -TITLE CHANGE !!!AEW Dynasty 2024- Pay Per View @ Chaifetz Arena in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
31,10.04.2024,,"Shane Taylor Promotions(Anthony Ogogo,Lee Moriarty&Shane Taylor) defeat Lion Hook (Chris Jericho&Hook) &Katsuyori Shibata(8:16)AEW Dynamite #236- TV-Show @ Charleston Coliseum in Charleston, West Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
32,03.04.2024,,"Lion Hook (Chris Jericho&Hook) defeatShane Taylor Promotions(Lee Moriarty&Shane Taylor) (7:54)AEW Collision #40- TV-Show @ DCU Center in Worcester, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
33,20.03.2024,,"HookdefeatsChris Jericho(10:51)AEW Dynamite #233- TV-Show @ Coca-Cola Coliseum in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
34,13.03.2024,,"Lion Hook (Chris Jericho&Hook) defeatGates Of Agony(Bishop Kaun&Toa Liona) (8:43)AEW Dynamite #232 - Big Business- TV-Show @ TD Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
35,07.03.2024,,"Chris JerichodefeatsTitan(12:01)AEW Collision #37- TV-Show @ Gas South Arena in Duluth, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
