date,event,result,location,image_url
1,24.08.2025,,"Adam Copeland&Christian CagedefeatThe Matriarchy(Killswitch&Kip Sabian) (13:46)AEW/NJPW Forbidden Door 2025- Pay Per View @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/b/b5/Cage_Champ.jpg
2,12.07.2025,,"AEW World Tag Team TitleThree Way:The Hurt Syndicate(Bobby Lashley&Shelton Benjamin) (c) defeatJetSpeed(Kevin Knight&Mike Bailey) andThe Patriarchy(Christian Cage&Nick Wayne) (18:59)AEW All In Texas- Pay Per View @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Cage_Champ.jpg
3,10.07.2025,,"100.000 Dollar:The Outrunners(Truth Magnum&Turbo Floyd) &JetSpeed(Kevin Knight&Mike Bailey) defeatFTR(Cash Wheeler&Dax Harwood) &The Patriarchy(Christian Cage&Nick Wayne) (18:02)AEW Collision #101- TV-Show @ Curtis Culwell Center in Garland, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Cage_Champ.jpg
4,25.06.2025,,"The Patriarchy(Christian Cage&Nick Wayne) defeatBig Bill&Bryan Keith(12:43)AEW Collision #99- TV-Show @ accesso ShoWare Center in Kent, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Cage_Champ.jpg
5,09.03.2025,,"AEW World TitleThree Way:Jon Moxley(c) defeatsChristian CageandCope(26:32)AEW Revolution 2025- Pay Per View @ Crypto.com Arena in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Cage_Champ.jpg
6,19.02.2025,,"The Opps(Hook,Katsuyori Shibata&Samoa Joe) defeatThe Patriarchy(Christian Cage,Kip Sabian&Nick Wayne) (9:48)AEW Dynamite #281- TV-Show @ Arizona Financial Theatre in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Cage_Champ.jpg
7,15.01.2025,,"HookdefeatsChristian Cageby DQ (11:39)AEW Dynamite #276 - Maximum Carnage - Tag 1- TV-Show @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Cage_Champ.jpg
8,18.12.2024,,"The Patriarchy(Christian Cage&Nick Wayne) defeatHook&Katsuyori Shibata(11:45)AEW Dynamite #272 - Holiday Bash 2024 - Tag 1- TV-Show @ Entertainment & Sports Arena in Washington, District Of Columbia, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Cage_Champ.jpg
9,13.11.2024,,"Adam Page&Christian CagedefeatBang Bang Gang(Jay White&Juice Robinson) (11:34)AEW Dynamite #267- TV-Show @ Total Mortgage Arena in Bridgeport, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Cage_Champ.jpg
10,16.10.2024,,"Christian CagedefeatsJay White(16:13)AEW Dynamite #263- TV-Show @ SAP Center in San Jose, California, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Cage_Champ.jpg
11,25.08.2024,,"AEW World Title#1 Contendership Casino Gauntlet:Christian CagedefeatsAdam PageandJeff JarrettandKazuchika OkadaandKyle O'ReillyandLuchasaurusandMark BriscoeandNigel McGuinnessandOrange CassidyandRicochetandRoderick StrongandZack Sabre Jr.(25:57)AEW All In London 2024- Pay Per View @ Wembley Stadium in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/b/b5/Cage_Champ.jpg
12,25.08.2024,,"AEW World Trios TitleLondon Ladder:Blackpool Combat Club(Claudio Castagnoli&Wheeler Yuta) &PACdefeatThe Patriarchy(Christian Cage,Killswitch&Nick Wayne) (c) andHouse Of Black(Brody King,Buddy Matthews&Malakai Black) andBang Bang Gang(Austin Gunn,Colten Gunn&Juice Robinson) (18:58) -TITLE CHANGE !!!AEW All In London 2024- Pay Per View @ Wembley Stadium in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/b/b5/Cage_Champ.jpg
13,20.07.2024,,"AEW World Trios TitleMatch (vakant):The Patriarchy(Christian Cage,Killswitch&Nick Wayne) defeatBang Bang Gang(Austin Gunn,Colten Gunn&Juice Robinson) (13:17) -TITLE CHANGE !!!AEW Collision #54- TV-Show @ Esports Stadium Arlington in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Cage_Champ.jpg
14,20.06.2024,,"The Patriarchy(Christian Cage,Killswitch&Nick Wayne) defeatIron Savages(Boulder,Bronson&Jacked Jameson) (4:45)AEW Collision #50- TV-Show @ PPL Center in Allentown, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Cage_Champ.jpg
15,26.05.2024,,"AEW World Title:Swerve Strickland(c) defeatsChristian Cage(24:45)AEW Double Or Nothing 2024- Pay Per View @ MGM Grand Garden Arena in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Cage_Champ.jpg
16,20.03.2024,,"AEW TNT TitleI Quit:Adam CopelanddefeatsChristian Cage(c) (25:46) -TITLE CHANGE !!!AEW Dynamite #233- TV-Show @ Coca-Cola Coliseum in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/b/b5/Cage_Champ.jpg
17,03.03.2024,,"AEW TNT Title:Christian Cage(c) defeatsDaniel Garcia(16:52)AEW Revolution 2024- Pay Per View @ Greensboro Coliseum in Greensboro, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Cage_Champ.jpg
18,28.02.2024,,"Brian Cage,Roderick Strong&The Patriarchy(Christian Cage&Killswitch) defeatCHAOS(Orange Cassidy&Trent Beretta),Daniel Garcia&Hook(19:17)AEW Collision #36- TV-Show @ Propst Arena At Von Braun Center in Huntsville, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Cage_Champ.jpg
