date,event,result,location,image_url
1,25.04.2024,,"Parking Lot Fight:Trent BerettadefeatsChuck Taylor(10:08)AEW Rampage #142- TV-Show @ Daily's Place in Jacksonville, Florida, USA",
2,04.10.2023,,"Best Friends(Chuck Taylor&Trent Beretta) &The Hardys(Jeff Hardy&Matt Hardy) defeatAngelo Parker,Daniel Garcia,Jake Hager&Matt Menard(10:30)AEW Rampage #113- TV-Show @ Stockton Arena in Stockton, California, USA",
3,30.09.2023,,"The Kingdom(Matt Taven&Mike Bennett) defeatBest Friends(Chuck Taylor&Trent Beretta) (9:56)AEW Collision #16- TV-Show @ Climate Pledge Arena in Seattle, Washington, USA",
4,20.09.2023,,"ROH World Tag Team Title#1 Contendership Four Way:The Righteous(Dutch&Vincent) defeatBest Friends(Chuck Taylor&Trent Beretta) andThe Hardys(Jeff Hardy&Matt Hardy) andThe Kingdom(Matt Taven&Mike Bennett) (9:28)AEW Rampage #111 - Grand Slam 2023 - Tag 2- TV-Show @ Arthur Ashe Stadium in New York City, New York, USA",
5,16.09.2023,,"Street Fight:UltraMantis' Mob (Cheeseburger,Clara Carreras,Dan Champion,Edith Surreal& The Swamp Monster (Chuck Taylor)) defeat Bakabella's Army (Avery Good,Bojack,Channing Thomas,Jakob Hammermeier&Sidney Bakabella) (17:41)LVAC SteelStacks Smackdown II- Online Stream @ Musikfest Cafe in Bethlehem, Pennsylvania, USA",
6,03.09.2023,,"Over Budget Charity Battle Royal:Adam PagedefeatsAction AndrettiandAngelo ParkerandBishop KaunandBrian CageandChuck TaylorandDalton CastleandDaniel GarciaandDarius MartinandJake HagerandKomanderandKyle FletcherandMark DavisandMatt MenardandScorpio SkyandSerpenticoandShawn SpearsandToa LionaandTony NeseandTrent Beretta(13:18)AEW All Out 2023 - Zero Hour- Online Stream @ United Center in Chicago, Illinois, USA",
7,02.09.2023,,"Action Andretti,Best Friends(Chuck Taylor&Trent Beretta) &Darius MartindefeatThe Outrunners(Truth Magnum&Turbo Floyd) &The WorkHorsemen(Anthony Henry&JD Drake) (4:49)ROH on HonorClub #28- Online Stream @ United Center in Chicago, Illinois, USA",
8,30.08.2023,,"ROH World Tag Team Title#1 Contendership Battle Royal:The Dark Order(Alex Reynolds&John Silver) defeatAussie Open(Kyle Fletcher&Mark Davis) andBest Friends(Chuck Taylor&Trent Beretta) andThe Outrunners(Truth Magnum&Turbo Floyd) andThe Righteous(Dutch&Vincent) andThe Wingmen(Peter Avalon&Ryan Nemeth) andThe Hardys(Jeff Hardy&Matt Hardy) andAction Andretti&Darius MartinandGates Of Agony(Bishop Kaun&Toa Liona) andThe Butcher And The Blade(The Blade&The Butcher) (11:39)AEW Rampage #108- TV-Show @ NOW Arena in Hoffman Estates, Illinois, USA",
9,27.08.2023,,"Stadium Stampede:Best Friends(Chuck Taylor&Trent Beretta),Eddie Kingston,Orange Cassidy&Penta El Zero MiedodefeatBlackpool Combat Club(Claudio Castagnoli,Jon Moxley&Wheeler Yuta),Mike Santana&Ortiz(21:22)AEW All In London 2023- Pay Per View @ Wembley Stadium in London, England, UK",
10,03.08.2023,,"Parking Lot Fight:Blackpool Combat Club(Claudio Castagnoli&Jon Moxley) defeatBest Friends(Chuck Taylor&Trent Beretta) (18:00)AEW Rampage #104- TV-Show @ Jacksonville, Florida, USA",
11,26.07.2023,,"Three Way:The Lucha Brothers(Penta El Zero Miedo&Rey Fenix) defeatBlackpool Combat Club(Claudio Castagnoli&Jon Moxley) andBest Friends(Chuck Taylor&Trent Beretta) (14:27)AEW Dynamite #199- TV-Show @ MVP Arena in Albany, New York, USA",
12,21.07.2023,,"ROH World Tag Team TitleFour Way:Aussie Open(Kyle Fletcher&Mark Davis) defeatBest Friends(Chuck Taylor&Trent Beretta) andThe Kingdom(Matt Taven&Mike Bennett) andThe Lucha Brothers(Penta El Zero Miedo&Rey Fenix) (c) (17:01) -TITLE CHANGE !!!ROH Death Before Dishonor 2023- Pay Per View @ Cure Insurance Arena in Trenton, New Jersey, USA",
13,25.06.2023,,"The Mogul Embassy(Bishop Kaun,Brian Cage,Swerve Strickland&Toa Liona) defeatCHAOS(Chuck Taylor,Rocky Romero&Trent Beretta) &El Desperado(12:23)AEW/NJPW Forbidden Door 2023 - Zero Hour- Online Stream @ Scotiabank Arena in Toronto, Ontario, Canada",
14,24.06.2023,,"ROH World TitleProving Ground:Claudio Castagnoli[c] defeatsChuck Taylor(5:28)ROH on HonorClub #18- Online Stream @ Scotiabank Arena in Toronto, Ontario, Canada",
15,21.06.2023,,"Swerve Strickland&United Empire(Jeff Cobb,Kyle Fletcher&Will Ospreay) defeatCHAOS(Chuck Taylor,Rocky Romero,Trent Beretta&YOH) (9:31)AEW Rampage #98- TV-Show @ Wintrust Arena in Chicago, Illinois, USA",
16,14.06.2023,,"United Empire(Jeff Cobb,Kyle Fletcher&Will Ospreay) defeatCHAOS(Chuck Taylor,Rocky Romero&Trent Beretta) (11:33)AEW Rampage #97- TV-Show @ Capital One Arena in Washington, District Of Columbia, USA",
17,07.06.2023,,"Blackpool Combat Club(Claudio Castagnoli,Jon Moxley&Wheeler Yuta) defeatCHAOS(Chuck Taylor,Rocky Romero&Trent Beretta) (8:14)AEW Dynamite #192- TV-Show @ Broadmoor World Arena in Colorado Springs, Colorado, USA",
18,28.05.2023,,"AEW International Title21 Man Blackjack Battle Royale:Orange Cassidy(c) defeatsAri DaivariandBandidoandBig BillandBrian CageandChuck TaylorandDustin RhodesandJay WhiteandJuice RobinsonandKeith LeeandKip SabianandKomanderandLee MoriartyandPenta El Zero MiedoandRey FenixandRicky StarksandSwerve StricklandandThe BladeandThe ButcherandTony NeseandTrent Beretta(22:29)AEW Double Or Nothing 2023- Pay Per View @ T-Mobile Arena in Paradise, Nevada, USA",
19,24.05.2023,,"Big Bill&Lee MoriartydefeatBest Friends(Chuck Taylor&Trent Beretta) (10:45)AEW Rampage #94- TV-Show @ MGM Grand Garden Arena in Las Vegas, Nevada, USA",
20,17.05.2023,,"Blackpool Combat Club(Claudio Castagnoli,Jon Moxley&Wheeler Yuta) defeatBandido&Best Friends(Chuck Taylor&Trent Beretta) (9:43)AEW Rampage #93- TV-Show @ Moody Center in Austin, Texas, USA",
21,10.05.2023,,"AEW World Trios TitleOpen House:House Of Black(Brody King,Buddy Matthews&Malakai Black) (c) defeatBandido&Best Friends(Chuck Taylor&Trent Beretta) (8:13)AEW Dynamite #188- TV-Show @ Little Caesars Arena in Detroit, Michigan, USA",
22,03.05.2023,,"Dark:CHAOS(Chuck Taylor,Rocky Romero&Trent Beretta) defeatNick Comoroto&Spanish Announce Project(Angelico&Serpentico)AEW Dynamite #187- Dark Match @ CFG Bank Arena in Baltimore, Maryland, USA",
