date,event,result,location,image_url
1,31.08.2025,,"Dog Collar:The MeccadefeatsDrew Gulakby referee's decisionLOL Witness- Event @ National Mechanics in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
2,30.08.2025,,"A1G &Drew Gulakdefeat The Real Champs (Cristian Nunez &Georgio Lawrence)NYWC Hotter Than Hell 2025- Event @ Fireman's Park Pavillion in Lindenhurst, New York, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
3,29.08.2025,,"Dan BarrydefeatsDrew Gulak(7:39)Beyond Americanrana 2025 - Pre-Show- Online Stream @ Rhodes On The Pawtuxet in Cranston, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
4,02.08.2025,,"U-Brawl:KruledefeatsDrew Gulak(12:21)Beyond Boston Hardcore- Online Stream @ Sonia in Cambridge, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
5,31.07.2025,,"Kalypto defeatsDrew GulakCATCHPOINT Graduation Showcase #12- Online Stream @ CATCHPOINT Philadelphia in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
6,26.07.2025,,"Big O&Drew Gulakdefeat Cristian Nunez &Georgio LawrenceNYWC Trust No One 2025- Event @ Babylon Masonic Lodge in Babylon, New York, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
7,26.07.2025,,"O3 Title:Big O(c) vs.Drew Gulak- No ContestNYWC Trust No One 2025- Event @ Babylon Masonic Lodge in Babylon, New York, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
8,21.06.2025,,"RSW Title Street Fight (vakant):Erkan SulcanidefeatsDrew Gulak-TITLE CHANGE !!!RSW Unstoppable- Event @ Stadthalle in Doberlug-Kirchhain, Brandenburg, Deutschland",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
9,06.06.2025,,"MFPW Supersonic Title:David Goldy(c) defeatsDrew GulakMFPW Total Rassling Live #87- Online Stream @ Arena Monster Factory LLC in Paulsboro, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
10,05.06.2025,,"Twelve Man Elimination:Anthony Sims, Charles Mack, Edington Steele, Maalik Lisby, Mehki Wallace & Zay Blackheart defeatCaleb Walsh,Catchpoint(Drew Gulak&Tracy Williams), Julezee &The Citywide Street Gang(Martin Hughes& Tom LaRosa)CATCHPOINT Graduation Showcase #11- Online Stream @ CATCHPOINT Philadelphia in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
11,18.05.2025,,"Drew GulakdefeatsThe MeccaLOL Live At FAN EXPO Philadelphia 2025 - Tag 3 (Show 1)- Event @ Pennsylvania Convention Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
12,17.05.2025,,"Curt Robinson&Matt MakodefeatCatchpoint(Drew Gulak&Tracy Williams)LOL Live At FAN EXPO Philadelphia 2025 - Tag 2 (Show 2)- Event @ Pennsylvania Convention Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
13,16.05.2025,,"Drew GulakdefeatsBeastmanLOL Live At FAN EXPO Philadelphia 2025 - Tag 1- Event @ Pennsylvania Convention Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
14,26.04.2025,,"Grandmaster Of The Mat:Michael MistrettadefeatsBrandon WattsandDrew GulakandJaden ValoNYWC Grandmaster Of The Mat- Event @ NYWC Sportatorium in Deer Park, New York, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
15,25.04.2025,,"The MeccadefeatsDrew GulakLOL Tell Me A Story- Event @ Northern Liberties Recreation Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
16,12.04.2025,,"Drew GulakdefeatsLucas DiSangroCATCHPOINT/LOL Rain Or Shine- Online Stream @ CATCHPOINT Philadelphia in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
17,10.04.2025,,"Pre-Show:Drew Gulakdefeats FreddyCATCHPOINT Graduation Showcase #10- Event @ CATCHPOINT Philadelphia in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
18,05.04.2025,,"Baron MindedefeatsDrew GulakRoyalty Wrestling Masquerade Brawl- Online Stream @ Forrest Lodge VFW in Sellersville, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
19,05.04.2025,,"Four On One Handicap:Castle RolfensteindefeatsThe Colony(Cutter Ant,Electro Ant,Soldier Ant&Ultimo Ant)Royalty Wrestling Masquerade Brawl- Online Stream @ Forrest Lodge VFW in Sellersville, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
20,29.03.2025,,"Drake YoungerdefeatsDrew Gulak(14:52)SVN H8FiveSix- Online Stream @ St. Michael's Mutual Club in Gibbstown, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
21,15.03.2025,,"Drew GulakdefeatsMustapha JordanSNW Draft Night- Online Stream @ O'Maine Studios in Portland, Maine, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
22,15.03.2025,,"DarkSNW World Openweight Title:Johnny Pierce(c) defeatsDrew GulakSNW Draft Night- Dark Match @ O'Maine Studios in Portland, Maine, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
23,01.03.2025,,"Squared Circle Of Fear:Nick GagedefeatsDrew Gulak(17:55)Beyond RSP's Death Day- Online Stream @ Sonia in Cambridge, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
24,20.02.2025,,"Afro Dojo(Damon & Julezee) defeatTeam Stranglehold(Drew Gulak&Tim Donst)CATCHPOINT Graduation Showcase #9- Event @ CATCHPOINT Philadelphia in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
25,26.01.2025,,"Drew Gulakdefeats Rain ConwayBeyond CATCHPOINT X BIO Pro #5- Online Stream @ CATCHPOINT Philadelphia in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
26,31.12.2024,,"Drew GulakdefeatsNick Gageby DQ (6:35)Beyond Heavy Lies The Crown 2024- Online Stream @ White Eagle in Worcester, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
27,09.11.2024,,"Drew Gulakdefeats Jake Gray (6:25)Beyond Pop Culture 2024- Online Stream @ Sonia in Cambridge, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
28,20.10.2024,,"Masha SlamovichdefeatsDrew Gulak(18:51)Beyond Nyarlathotep- Online Stream @ Fete Music in Providence, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
29,05.10.2024,,"12 Man:Catchpoint(Drew Gulak&Tracy Williams),Cheeseburger,Clara Carreras,Dan Champion&Wheeler YutadefeatDelirious,The Batiri(Kodama&Obariyon) &The Spectral Envoy(Frightmare,Hallowicked&UltraMantis Black) (17:02)LVAC SteelStacks Smackdown III- Online Stream @ SteelStacks in Bethlehem, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
30,29.09.2024,,"Drew GulakdefeatsCPA(11:48)Beyond Alec Price's Smokin' Bustahs- Online Stream @ Ralph's Diner in Worcester, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
31,28.09.2024,,"Drew Gulakdefeats Draeger (10:15)Beyond The Septemberists- Online Stream @ Paddy's Beach Club in Westerly, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
32,14.09.2024,,"Drew GulakdefeatsTyree Taylor(18:42)Beyond Stone's Throw- Online Stream @ White Eagle in Worcester, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
33,01.09.2024,,"Wild Zero King Of Zero Grand Prix Title:Tracy Williams(c) defeatsDrew GulakWild Zero Love Will Tear Us Apart- Online Stream @ Harmony House in Webster, New York, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
34,31.08.2024,,"Catchpoint(Drew Gulak&Tracy Williams) defeatThe Batiri(Kodama&Obariyon) (15:26)Beyond Never Say Never- Online Stream @ Fete Music in Providence, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
35,21.07.2024,,"Drew GulakdefeatsTracy WilliamsLVAC Reel Rumble V- Event @ The Mahoning Drive-In Theater in Lehighton, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
36,14.07.2024,,"Billy Avery,Drew Gulak&Kamen MKdefeatJet Jaghori&Wilde LLC(Dr. Ethan Wilde&Dylan Mesh)LOL/LVAC Comrades For Vlad: A Benefit For Vlad Radinov- Event @ Neshaminy Creek Brewing Company in Croydon, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
37,06.07.2024,,"Drew GulakdefeatsSLADE(8:31)Beyond Wrestling At The Rock 2- Online Stream @ Redemption Rock Brewing Company in Worcester, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Drew_Gulak_Axxess_2018_crop.jpg
