date,event,result,location,image_url
1,17.06.2025,,"Elijah,Josh Briggs&Yoshiki InamuradefeatAJ Francis,Trick Williams&Wes Lee(11:02)WWE NXT #790- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/5/5a/046CupolaSPietro.jpg
2,14.06.2025,,"ElijahdefeatsMatt FalcoNSPW Golden Opportunity XV- Online Stream @ Pavillon De La Jeunesse  in Quebec City, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/5/5a/046CupolaSPietro.jpg
3,07.06.2025,,"Elijah,Joe Hendry,Leon Slater&The Rascalz(Trey Miguel&Zachary Wentz) defeatMoose,Steve Maclin,The Nemeths(Nic Nemeth&Ryan Nemeth) &Trick Williams(20:04)TNA iMPACT #1091- TV-Show @ Mullett Arena in Tempe, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/5/5a/046CupolaSPietro.jpg
4,06.06.2025,,"TNA World Title:Trick Williams(c) defeatsElijah(16:17)TNA Against All Odds 2025- Online Stream @ Mullett Arena in Tempe, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/5/5a/046CupolaSPietro.jpg
5,24.05.2025,,"ElijahdefeatsChris AdonisWWA Hysteria 162 - Over The Top 2025- Event @ Owensboro Sportscenter in Owensboro, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/5/5a/046CupolaSPietro.jpg
6,23.05.2025,,"Elijah&Joe HendrydefeatFrankie Kazarian&Trick Williams(19:20)TNA Under Siege 2025- Online Stream @ CAA Centre in Brampton, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/5a/046CupolaSPietro.jpg
7,10.05.2025,,"Georges BalzacdefeatsElijahBZW Fight Forever- Pay Per View @ Salle Jacques Brel in Faches-Thumesnil, Frankreich",https://upload.wikimedia.org/wikipedia/commons/5/5a/046CupolaSPietro.jpg
8,06.05.2025,,"WWE NXT Title#1 Contendership Battle Royal:Myles BornedefeatsAshante AdonisandBrad BaylorandBrooks JensenandCharlie DempseyandChris IslandandElijahandEthan PageandJe'Von EvansandJosh BriggsandLexis KingandNiko VanceandRicky SmokesandRidge HollandandSean LegacyandShawn SpearsandShiloh HillandTavion HeightsandTimothy ThatcherandTrick WilliamsandTyriek IgweandTyson DupontandWes LeeandYoshiki InamuraandZachary Wentz(23:03)WWE NXT #784- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/5/5a/046CupolaSPietro.jpg
9,02.05.2025,,"Elijah&Joe HendrydefeatThe System(Brian Myers&Moose) (14:24)TNA iMPACT #1087- TV-Show @ Bren Events Center in Irvine, California, USA",https://upload.wikimedia.org/wikipedia/commons/5/5a/046CupolaSPietro.jpg
10,01.05.2025,,"TNA International Title#1 Contendership Four Way:Matt CardonadefeatsAce AustinandElijahandMance Warner(11:11)TNA iMPACT #1086- TV-Show @ Bren Events Center in Irvine, California, USA",https://upload.wikimedia.org/wikipedia/commons/5/5a/046CupolaSPietro.jpg
