date,event,result,location,image_url
1,01.09.2025,,"Finn BalordefeatsDragon Lee(9:44)WWE Monday Night RAW #1684- Online Stream @ Paris La Défense Arena in Nanterre, Frankreich",https://upload.wikimedia.org/wikipedia/commons/d/d2/BULLET_CLUB.JPG
2,28.08.2025,,"CM Punk,Penta&Sami ZayndefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh)WWE Road To Clash In Paris - Tag 5- House Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/d/d2/BULLET_CLUB.JPG
3,27.08.2025,,"CM Punk,Penta&Sami ZayndefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh)WWE Road To Clash In Paris - Tag 4- House Show @ First Direct Arena in Leeds, West Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/d/d2/BULLET_CLUB.JPG
4,26.08.2025,,"CM Punk,Penta&Sami ZayndefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh)WWE Road To Clash In Paris - Tag 3- House Show @ AO Arena in Manchester, Greater Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/d/d2/BULLET_CLUB.JPG
5,25.08.2025,,"AJ StylesdefeatsFinn Balor(8:04)WWE Monday Night RAW #1683- Online Stream @ bp pulse LIVE in Birmingham, West Midlands, England, UK",https://upload.wikimedia.org/wikipedia/commons/d/d2/BULLET_CLUB.JPG
6,24.08.2025,,"CM Punk,LA Knight&PentadefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh)WWE Road To Clash In Paris - Tag 2- House Show @ Utilita Arena Newcastle in Newcastle Upon Tyne, Tyne And Wear, England, UK",https://upload.wikimedia.org/wikipedia/commons/d/d2/BULLET_CLUB.JPG
7,23.08.2025,,"CM Punk,LA Knight&PentadefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh)WWE Road To Clash In Paris - Tag 1- House Show @ M&S Bank Arena in Liverpool, Merseyside, England, UK",https://upload.wikimedia.org/wikipedia/commons/d/d2/BULLET_CLUB.JPG
8,18.08.2025,,"The Judgment Day(Finn Balor&JD McDonagh) defeatDragon Lee&Mr. Iguana(9:54)WWE Monday Night RAW #1682- Online Stream @ Xfinity Mobile Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/d/d2/BULLET_CLUB.JPG
9,16.08.2025,,"Mixed:The Judgment Day(Finn Balor,JD McDonagh&Raquel Rodriguez) defeatLola Vice,Mr. Iguana&Nino Hamburguesa(11:54)AAA TripleMania XXXIII- Online Stream @ Arena Ciudad de Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d2/BULLET_CLUB.JPG
10,28.07.2025,,"WWE World Tag Team  Title:The Judgment Day(Finn Balor&JD McDonagh) (c) defeatLWO(Cruz Del Toro&Joaquin Wilde) (10:56)WWE Monday Night RAW #1679- Online Stream @ Little Caesars Arena in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/d/d2/BULLET_CLUB.JPG
11,18.07.2025,,"Dark:AJ Styles&PentadefeatBron Breakker&Finn BalorWWE Friday Night SmackDown #1352- Dark Match @ Frost Bank Center in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/d2/BULLET_CLUB.JPG
