date,event,result,location,image_url
1,10.09.2025,,"Daiki Nagai,Hiromu Takahashi,Shingo Takagi&Yota TsujidefeatBULLET CLUB War Dogs(David Finlay,Gabe Kidd,Gedo&Taiji Ishimori) (10:05)NJPW Road To Destruction 2025 - Tag 2- Event @ Kuki City Gymnasium in Kuki, Saitama, Japan",https://upload.wikimedia.org/wikipedia/commons/9/9e/201911%E9%AB%98%E6%A9%8B%E3%83%92%E3%83%AD%E3%83%A0.jpg
2,09.09.2025,,"BULLET CLUB War Dogs(David Finlay,Gabe Kidd,Gedo&Taiji Ishimori) defeatDaiki Nagai,Hiromu Takahashi,Shingo Takagi&Yota Tsuji(13:02)NJPW Road To Destruction 2025 - Tag 1- Event @ Fujisan Messe in Fuji, Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/9/9e/201911%E9%AB%98%E6%A9%8B%E3%83%92%E3%83%AD%E3%83%A0.jpg
3,08.09.2025,,"GHC Junior Heavyweight Title:Hiromu TakahashidefeatsYO-HEY(c) (17:47) -TITLE CHANGE !!!NOAH N-1 Victory 2025 - Tag 1- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/9e/201911%E9%AB%98%E6%A9%8B%E3%83%92%E3%83%AD%E3%83%A0.jpg
4,07.09.2025,,"Daiki Nagai,Hiromu Takahashi,Shingo Takagi&Yota TsujidefeatBULLET CLUB War Dogs(David Finlay,Gabe Kidd,Gedo&Taiji Ishimori) (10:26)NJPW Yuji Nagata Produce Blue Justice XVI- Online Stream @ Togane Arena in Togane, Chiba, Japan",https://upload.wikimedia.org/wikipedia/commons/9/9e/201911%E9%AB%98%E6%A9%8B%E3%83%92%E3%83%AD%E3%83%A0.jpg
5,24.08.2025,,"AEW TNT Title:Kyle Fletcher(c) defeatsHiromu Takahashi(15:27)AEW/NJPW Forbidden Door 2025- Pay Per View @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/9/9e/201911%E9%AB%98%E6%A9%8B%E3%83%92%E3%83%AD%E3%83%A0.jpg
6,20.08.2025,,"Hiromu Takahashi&SkyFlight(Dante Martin,Darius Martin&Scorpio Sky) defeatThe Don Callis Family(Hechicero,Josh Alexander,Lance Archer&Rocky Romero) (12:34)AEW Collision #107- TV-Show @ OVO Hydro in Glasgow, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/9/9e/201911%E9%AB%98%E6%A9%8B%E3%83%92%E3%83%AD%E3%83%A0.jpg
7,17.08.2025,,"BULLET CLUB War Dogs(David Finlay,Drilla Moloney,Gedo&Taiji Ishimori) defeatDaiki Nagai,Hiromu Takahashi,Shingo Takagi&Yota Tsuji(10:10)NJPW G1 Climax 35 - Tag 19- TV-Show @ Ariake Arena in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/9e/201911%E9%AB%98%E6%A9%8B%E3%83%92%E3%83%AD%E3%83%A0.jpg
8,16.08.2025,,"All Rebellion(Alejandro&Kai Fujimura),Daiki Odashima&EitadefeatAMAKUSA,Atsushi Kotoge,Hiromu Takahashi&Junta Miyawaki(6:23)NOAH Star Navigation Premium 2025- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/9e/201911%E9%AB%98%E6%A9%8B%E3%83%92%E3%83%AD%E3%83%A0.jpg
9,13.08.2025,,"Brody King,The Conglomeration(Hologram&Tomohiro Ishii) &Hiromu TakahashidefeatThe Don Callis Family(Josh Alexander&Kyle Fletcher) &The Young Bucks(Matt Jackson&Nick Jackson) (16:26)AEW Dynamite #306- TV-Show @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/9/9e/201911%E9%AB%98%E6%A9%8B%E3%83%92%E3%83%AD%E3%83%A0.jpg
10,11.08.2025,,"Hiromu TakahashidefeatsYuto Kikuchi(12:46)NOAH Kawasaki Summer Voyage 2025- Online Stream @ Culttz Kawasaki in Kawasaki, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/9/9e/201911%E9%AB%98%E6%A9%8B%E3%83%92%E3%83%AD%E3%83%A0.jpg
11,31.07.2025,,"Chris Brookes&Hiromu Takahashivs.Atsuki Aoyagi&Yuki Ueno- Time Limit Draw (20:00)CyberFight/DDT Produce Shinjuku FACE 20th Anniversary ~ Milestone- Online Stream @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/9e/201911%E9%AB%98%E6%A9%8B%E3%83%92%E3%83%AD%E3%83%A0.jpg
12,20.07.2025,,"AMAKUSA&Hiromu TakahashidefeatPassionate RATEL'S(YO-HEY&Yuto Kikuchi) (10:56)NOAH 25th Anniversary ~ New Departure - Tag 2- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/9e/201911%E9%AB%98%E6%A9%8B%E3%83%92%E3%83%AD%E3%83%A0.jpg
13,06.07.2025,,"Hiromu Takahashi,Shingo Takagi&Yota TsujidefeatTMDK(Hartley Jackson,Ryohei Oiwa&Zack Sabre Jr.) (9:50)NJPW New Japan Soul 2025 - Tag 9- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/9e/201911%E9%AB%98%E6%A9%8B%E3%83%92%E3%83%AD%E3%83%A0.jpg
14,04.07.2025,,"Hiromu Takahashi,Shingo Takagi&Yota TsujidefeatUnited Empire(Callum Newman,Great-O-Khan&Jakob Austin Young) (10:05)NJPW New Japan Soul 2025 - Tag 8- Online Stream @ Tokyo Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/9e/201911%E9%AB%98%E6%A9%8B%E3%83%92%E3%83%AD%E3%83%A0.jpg
15,29.06.2025,,"Hiroshi Tanahashi,Ryusuke Taguchi&Shota UminodefeatHiromu Takahashi,LEONA&Tatsumi Fujinami(9:17)NJPW Tanahashi Jam- TV-Show @ Aichi Prefectural Gymnasium in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/9/9e/201911%E9%AB%98%E6%A9%8B%E3%83%92%E3%83%AD%E3%83%A0.jpg
16,24.06.2025,,"Best Two Out Of Three Falls:United Empire(Francesco Akira,Templario&TJP) defeatHiromu Takahashi,Shingo Takagi&Titan[2:1] (14:27)CMLL Martes Populares- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/9/9e/201911%E9%AB%98%E6%A9%8B%E3%83%92%E3%83%AD%E3%83%A0.jpg
17,23.06.2025,,"Best Two Out Of Three Falls:El Sky Team(Mascara Dorada,Mistico&Neon) defeatHiromu Takahashi,Shingo Takagi&Titan[2:1]CMLL Lunes Clasico- TV-Show @ Arena Puebla in Heroica Puebla de Zaragoza, Puebla, Mexiko",https://upload.wikimedia.org/wikipedia/commons/9/9e/201911%E9%AB%98%E6%A9%8B%E3%83%92%E3%83%AD%E3%83%A0.jpg
18,22.06.2025,,"Best Two Out Of Three Falls:Hiromu Takahashi,Shingo Takagi&TitandefeatHechicero&Los Hermanos Chavez(Angel de Oro&Niebla Roja) [2:1]CMLL Domingo Familiar- Event @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/9/9e/201911%E9%AB%98%E6%A9%8B%E3%83%92%E3%83%AD%E3%83%A0.jpg
