date,event,result,location,image_url
1,09.04.2025,,"The Opps(Hook&Samoa Joe) defeatDeath Riders(Claudio Castagnoli&Wheeler Yuta) (10:44)AEW Dynamite #288- TV-Show @ Chesapeake Employers Insurance Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
2,19.03.2025,,"HookdefeatsMax Caster(0:44)AEW Collision #85 - Slam Dunk Saturday- TV-Show @ Liberty First Credit Union Arena in Ralston, Nebraska, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
3,12.03.2025,,"The Opps(Hook,Katsuyori Shibata&Samoa Joe) defeatEli Theseus,Gabriel Aeros&Vinny Pacifico(2:17)AEW Dynamite #284- TV-Show @ Save Mart Center At Fresno State in Fresno, California, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
4,05.03.2025,,"The Opps(Hook,Katsuyori Shibata&Samoa Joe) defeatJack Banning,Starboy Charlie&Titus Alexander(2:17)AEW Collision #83- TV-Show @ Memorial Auditorium in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
5,19.02.2025,,"The Opps(Hook,Katsuyori Shibata&Samoa Joe) defeatThe Patriarchy(Christian Cage,Kip Sabian&Nick Wayne) (9:48)AEW Dynamite #281- TV-Show @ Arizona Financial Theatre in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
6,11.02.2025,,"Hook,Katsuyori Shibata&Samoa JoedefeatAaron Solo,Jon Cruz&Rosario Grillo(1:42)AEW Dynamite #280- TV-Show @ H-E-B Center At Cedar Park in Cedar Park, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
7,29.01.2025,,"Hook&Samoa JoedefeatThe Patriarchy(Kip Sabian&Nick Wayne) (8:59)AEW Collision #79- TV-Show @ Propst Arena At Von Braun Center in Huntsville, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
8,15.01.2025,,"HookdefeatsChristian Cageby DQ (11:39)AEW Dynamite #276 - Maximum Carnage - Tag 1- TV-Show @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
9,22.12.2024,,"HookdefeatsNick Wayne(12:29)AEW Rampage #177 - New Year's Smash 2024- TV-Show @ Hammerstein Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
10,18.12.2024,,"The Patriarchy(Christian Cage&Nick Wayne) defeatHook&Katsuyori Shibata(11:45)AEW Dynamite #272 - Holiday Bash 2024 - Tag 1- TV-Show @ Entertainment & Sports Arena in Washington, District Of Columbia, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
11,25.09.2024,,"FTW TitleFTW Rules:Hook(c) defeatsRoderick Strong(8:57)AEW Dynamite #260 - Grand Slam 2024 - Tag 1- TV-Show @ Arthur Ashe Stadium in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
12,21.09.2024,,"Grizzled Young Veterans(James Drake&Zack Gibson),Roderick Strong,Rush&The Beast MortosdefeatFTR(Cash Wheeler&Dax Harwood),Hook&The Outrunners(Truth Magnum&Turbo Floyd) (24:27)AEW Collision #63- TV-Show @ MassMutual Center in Springfield, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
13,18.09.2024,,"HookdefeatsJD Ink(1:00)AEW Dynamite #259- TV-Show @ Mohegan Sun Arena in Wilkes-Barre, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
14,28.08.2024,,"Hook&The Conglomeration(Kyle O'Reilly,Mark Briscoe&Orange Cassidy) defeatRoderick Strong&The Learning Tree(Big Bill,Bryan Keith&Chris Jericho) (16:31)AEW Dynamite #256- TV-Show @ State Farm Center in Champaign, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
15,25.08.2024,,"FTW Title:HookdefeatsChris Jericho(c) (10:14) -TITLE CHANGE !!!AEW All In London 2024- Pay Per View @ Wembley Stadium in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
16,21.08.2024,,"HookdefeatsBig Bill(10:46)AEW Collision #59- TV-Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
17,03.07.2024,,"Hook,Katsuyori Shibata&Samoa JoedefeatCage Of Agony(Bishop Kaun,Brian Cage&Toa Liona) (9:08)AEW Dynamite #248 - Beach Break 2024 - Tag 1- TV-Show @ Wintrust Arena in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
18,30.06.2024,,"Hook,Katsuyori Shibata&Samoa JoedefeatThe Learning Tree(Big Bill&Chris Jericho) &Jeff Cobb(14:02)AEW/NJPW Forbidden Door 2024- Pay Per View @ UBS Arena in Elmont, New York, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
19,20.06.2024,,"Hook,Katsuyori Shibata&Samoa JoedefeatThe Premier Athletes(Ariya Daivari,Josh Woods&Tony Nese) (7:30)AEW Collision #50- TV-Show @ PPL Center in Allentown, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
20,12.06.2024,,"Hook&Samoa JoedefeatThe Premier Athletes(Ariya Daivari&Tony Nese) (2:30)AEW Dynamite #245- TV-Show @ Wells Fargo Arena in Des Moines, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
21,26.05.2024,,"FTW TitleThree Way:Chris Jericho(c) defeatsHookandKatsuyori Shibata(12:45)AEW Double Or Nothing 2024- Pay Per View @ MGM Grand Garden Arena in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
22,22.05.2024,,"FTW Title#1 Contendership Three Way:HookandKatsuyori ShibatadefeatBryan Keith(6:30)AEW Dynamite #242- TV-Show @ Mechanics Bank Arena in Bakersfield, California, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
23,16.05.2024,,"FTW TitleContender Series:HookdefeatsJohnny TV(3:26)AEW Collision #45- TV-Show @ Moda Center in Portland, Oregon, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
24,15.05.2024,,"HookdefeatsSebastian Wolfe(0:28)AEW Dynamite #241- TV-Show @ Angel of the Winds Arena in Everett, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
25,21.04.2024,,"FTW TitleFTW Rules:Chris JerichodefeatsHook(c) (16:34) -TITLE CHANGE !!!AEW Dynasty 2024- Pay Per View @ Chaifetz Arena in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
26,13.04.2024,,"FTW TitleFTW Rules:Hook(c) defeatsShane Taylorby referee's decision (10:23)AEW Battle Of The Belts X- TV-Show @ Truist Arena in Highland Heights, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
27,10.04.2024,,"Shane Taylor Promotions(Anthony Ogogo,Lee Moriarty&Shane Taylor) defeat Lion Hook (Chris Jericho&Hook) &Katsuyori Shibata(8:16)AEW Dynamite #236- TV-Show @ Charleston Coliseum in Charleston, West Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
28,03.04.2024,,"Lion Hook (Chris Jericho&Hook) defeatShane Taylor Promotions(Lee Moriarty&Shane Taylor) (7:54)AEW Collision #40- TV-Show @ DCU Center in Worcester, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
29,20.03.2024,,"HookdefeatsChris Jericho(10:51)AEW Dynamite #233- TV-Show @ Coca-Cola Coliseum in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_hook.jpg
