date,event,result,location,image_url
1,10.03.2007,,"Two On One Handicap:Aaron Walpole&The Iron SheikdefeatReckPWX- Event @ Coolz Warehouse in St. Thomas, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/a/ab/Classy_Freddie_Blassie.jpg
2,01.04.2001,,"Gimmick Battle Royal:The Iron SheikdefeatsBrother LoveandBushwhacker ButchandBushwhacker LukeandDoinkandDuke DroeseandEarthquakeandHillbilly JimandJames E. CornetteandKamalaandKim CheeandMichael HayesandNikolai VolkoffandRepo ManandSgt. SlaughterandThe Gobbledy GookerandThe GoonandThe One Man GangandTugboat(3:50)WWF WrestleMania X-Seven - ""Houston... We Have A Problem""- Pay Per View @ Reliant Astrodome in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/a/ab/Classy_Freddie_Blassie.jpg
3,15.04.2000,,"Gillberg&The Iron Sheikdefeat Butterman & DoyleMCW- Event @ South Carroll High School in Sykesville, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/a/ab/Classy_Freddie_Blassie.jpg
4,14.04.2000,,"The Iron Sheikdefeats Platinum Nat (1:11)MCW- Event @ High School in Annapolis, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/a/ab/Classy_Freddie_Blassie.jpg
5,08.04.2000,,"Gregory MartindefeatsThe Iron Sheik(2:10)MCW- Event @ Catonsville High School in Catonsville, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/a/ab/Classy_Freddie_Blassie.jpg
6,19.12.1999,,"Crackpipe On A Pole:The Iron SheikdefeatsIzzy HighJCW Volume 1- Event @ St. Andrews Hall in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/a/ab/Classy_Freddie_Blassie.jpg
7,10.10.1999,,"The Men From Down Under(Butch&Luke) defeatNikolai Volkoff&The Iron Sheik(8:42)Heroes Of Wrestling- Pay Per View @ Casino Magic in Bay St. Louis, Mississippi, USA",https://upload.wikimedia.org/wikipedia/commons/a/ab/Classy_Freddie_Blassie.jpg
8,26.08.1999,,"King Kong BundydefeatsThe Iron Sheik(2:02)ISPW- Event @ Wildwood Convention Center in Wildwood, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/a/ab/Classy_Freddie_Blassie.jpg
9,05.08.1999,,"The Iron SheikdefeatsPatty O'BrienISPW- Event @ Wildwood Convention Center in Wildwood, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/a/ab/Classy_Freddie_Blassie.jpg
10,27.06.1999,,"The Iron SheikdefeatsSonny RogersAWA Midwest Massacre- Event @ Red River Valley Fair in Fargo, North Dakota, USA",https://upload.wikimedia.org/wikipedia/commons/a/ab/Classy_Freddie_Blassie.jpg
