date,event,result,location,image_url
1,30.08.2025,,"Daniel Stark,NERD 5th&Russ JonesdefeatKevin Storm&The System(JDC&Moose)RCW Swinging For The Fences- Event @ Four Winds Field in South Bend, Indiana, USA",
2,16.08.2025,,"Dark:JDCdefeats Captain CanadaTNA Xplosion #941- Dark Match @ Chesapeake Employers Insurance Arena in Baltimore, Maryland, USA",
3,09.08.2025,,"Bear Bronson,Seabass Finn&Tommy DreamerdefeatThe System(Brian Myers,Eddie Edwards&JDC) (11:35)Limitless Vacationland Cup 2025- Online Stream @ The Colisee in Lewiston, Maine, USA",
4,26.07.2025,,"Dirty Breeze(Breeze&Dirty Dango) defeatMr. Crummels&Sonny Defarge(7:52)GWE GalaxyCon Street Fest- Online Stream @ City Plaza At Raleigh Convention Center in Raleigh, North Carolina, USA",
5,25.07.2025,,"First Class(AJ Francis&Rich Swann) &Trick WilliamsdefeatThe System(Brian Myers,Eddie Edwards&JDC) (6:12)TNA iMPACT #1099- TV-Show @ Thomas M. Ryan Center in Kingston, Rhode Island, USA",
6,20.07.2025,,"Matt Cardona&The System(Brian Myers,Eddie Edwards&JDC) defeatDarkState(Cutler James,Dion Lennox,Osiris Griffin&Saquon Shugars) (6:43)TNA Slammiversary 2025- Pay Per View @ UBS Arena in Elmont, New York, USA",
7,20.06.2025,,"JDCdefeatsJack Price(3:50)TNA Xplosion #932- Online Stream @ UPMC Events Center in Moon Township, Pennsylvania, USA",
8,13.06.2025,,"Randy ShawndefeatsJDCLPW Star Clash X- Event @ Leominster-Fitchburg Lodge Of Elks in Leominster, Massachusetts, USA",
9,07.06.2025,,"Matt Cardona&The Home Town MandefeatThe System(Eddie Edwards&JDC) (3:57)TNA iMPACT #1091- TV-Show @ Mullett Arena in Tempe, Arizona, USA",
10,06.06.2025,,"Leon Slater,The Hardys(Jeff Hardy&Matt Hardy) &The Home Town MandefeatThe System(Brian Myers,Eddie Edwards,JDC&Moose) (12:37)TNA Against All Odds 2025- Online Stream @ Mullett Arena in Tempe, Arizona, USA",
11,31.05.2025,,"Pat SawyerdefeatsDirty Dango(9:51)ICW 2K25: Immortal Edition- Event @ Johnstown High School in Johnstown, New York, USA",
12,25.05.2025,,"The System(JDC&Moose) [USA] defeatChanning Decker&Jesse Bieber[Canada] (10:38)TNA Border Brawl- Online Stream @ Niagara Falls Convention Centre in Niagara Falls, Ontario, Canada",
13,25.05.2025,,"Mixed:Cody Deaner,Jody Threat,Matt Hardy,Santino Marella&Tommy DreamerdefeatThe System(Alisha Edwards,Brian Myers,Eddie Edwards,JDC&Moose) (8:44)TNA Border Brawl- Online Stream @ Niagara Falls Convention Centre in Niagara Falls, Ontario, Canada",
14,24.05.2025,,"JDCdefeatsChanning Decker(4:16)TNA Xplosion #928- Online Stream @ CAA Centre in Brampton, Ontario, Canada",
15,23.05.2025,,"The Northern Armory(Eric Young,Judas Icarus&Travis Williams) defeatThe System(Brian Myers,JDC&Moose) (12:00)TNA Under Siege 2025- Online Stream @ CAA Centre in Brampton, Ontario, Canada",
16,17.05.2025,,"Bear BronsondefeatsDirty Dango(11:06)Limitless Warzone- Online Stream @ Westbrook Armory in Westbrook, Maine, USA",
17,10.05.2025,,"The Hardys(Jeff Hardy&Matt Hardy) defeatBreezango(Fandango&Tyler Breeze)NEW Wrestlefest XXVIII- Event @ Westchester County Center in White Plains, New York, USA",
18,17.04.2025,,"TNA International TitleTournament Three Way:Eric YoungdefeatsJDCandZachary Wentz(8:48)TNA Unbreakable 2025- Online Stream @ Cox Pavilion At Thomas & Mack Center in Las Vegas, Nevada, USA",
19,29.03.2025,,"The System(JDC&Moose) defeatAce Austin&Trey Miguel(9:14)TNA iMPACT #1083- TV-Show @ St. Joseph Civic Arena in St. Joseph, Missouri, USA",
20,28.03.2025,,"The System(Brian Myers&JDC) defeatThe Rascalz(Trey Miguel&Zachary Wentz) (6:08)TNA iMPACT #1081- TV-Show @ St. Joseph Civic Arena in St. Joseph, Missouri, USA",
21,21.03.2025,,"Portland Street Fight:Ace RomerodefeatsDirty DangoLimitless Bissell Brothers Bash- Online Stream @ Brick South in Portland, Maine, USA",
22,14.03.2025,,"Steel Cage:Elijah,Joe Hendry,Leon Slater,Matt Hardy&Nic NemethdefeatThe Colons(Eddie Colon&Orlando Colon) &The System(Brian Myers,Eddie Edwards&JDC) (17:02)TNA Sacrifice 2025- Online Stream @ El Paso County Coliseum in El Paso, Texas, USA",
23,08.03.2025,,"Dirty DangodefeatsNunzioECPW- Event @ Eastchester High School in Eastchester, New York USA",
24,21.02.2025,,"JDCdefeatsCody Deaner(1:54)TNA iMPACT #1077- TV-Show @ Full Sail University in Winter Park, Florida, USA",
25,20.02.2025,,"No Disqualification:JDCdefeatsLeon Slater(8:23)TNA iMPACT #1074- TV-Show @ Full Sail University in Winter Park, Florida, USA",
26,15.02.2025,,"FSW Tag Team Title:Meat Wagon(Anderson Daniels&Troy Ryan) (c) defeatBreezango(Fandango&Tyler Breeze)FSW Breaks Convention V- Event @ BEC Arena in Manchester, England, UK",
27,11.02.2025,,"WWE NXT Heritage Cup Title:Lexis King(c) defeatsJDC(9:37)WWE NXT #772- TV-Show @ WWE Performance Center in Orlando, Florida, USA",
28,24.01.2025,,"Leon Slater&The Hardys(Jeff Hardy&Matt Hardy) defeatThe System(Eddie Edwards,JDC&Moose) (10:43)TNA iMPACT #1072- TV-Show @ Boeing Center At Tech Port in San Antonio, Texas, USA",
29,23.01.2025,,"The Hardys(Jeff Hardy&Matt Hardy) defeatThe System(JDC&Moose) (5:19)TNA iMPACT #1070- TV-Show @ Boeing Center At Tech Port in San Antonio, Texas, USA",
30,14.12.2024,,"Eric Young,Jonathan Gresham&Steve MaclindefeatThe System(Brian Myers,Eddie Edwards&JDC) (6:31)TNA iMPACT #1068- TV-Show @ Center Stage Theater in Atlanta, Georgia, USA",
31,13.12.2024,,"JDCdefeatsLeon Slater(7:07)TNA Countdown To Final Resolution 2024- Online Stream @ Center Stage Theater in Atlanta, Georgia, USA",
32,17.11.2024,,"NGW TitleMatch (vakant):Matt CrossdefeatsDirty Dango-TITLE CHANGE !!!NGW X- Event @ The Mill & Mine in Knoxville, Tennessee, USA",
33,09.11.2024,,"TNA X-Division Title#1 Contendership Five Way:KUSHIDAdefeatsAce AustinandJDCandLeon SlaterandTrent Seven(8:27)TNA iMPACT #1063- TV-Show @ Crown Arena in Fayetteville, North Carolina, USA",
34,08.11.2024,,"Laredo Kid&Leon SlaterdefeatThe System(JDC&Moose) (6:33)TNA iMPACT #1061- TV-Show @ Crown Arena in Fayetteville, North Carolina, USA",
35,27.10.2024,,"The System(Eddie Edwards&JDC) defeatJoe Hendry&Nic Nemeth(10:01)TNA iMPACT #1058 - Halloween- TV-Show @ Wayne State Fieldhouse in Detroit, Michigan, USA",
36,26.10.2024,,"Call Your Shot Gauntlet:Frankie KazariandefeatsAJ FrancisandBhupinder GujjarandHammerstoneandJake SomethingandJason HotchandJDCandJohn SkylerandJonathan GreshamandKC NavarroandLaredo KidandLei Ying LeeandLeon SlaterandRhinoandRohit RajuandSami CallihanandTasha SteelzandTrent SevenandTrey MiguelandZachary Wentz(26:38)TNA Countdown To Bound For Glory 2024- Online Stream @ Wayne State Fieldhouse in Detroit, Michigan, USA",
37,10.10.2024,,"Andy Anderson&Taylor The ImpalerdefeatDirty Dango&Tyler JamesWrestling United Thursday Night Wrestling- Event @ Centre Culturel Franco Manitobain in Winnipeg, Manitoba, Canada",
38,06.10.2024,,"CPAdefeatsDango(8:27)CAP BaseBrawl- Online Stream @ John F. Kennedy High School in Bellmore, New York, USA",
39,05.10.2024,,"Alfonso GonzalezdefeatsDirty Dango(9:14)Ego Pro Return To The Forge- Online Stream @ The Forge in Joliet, Illinois, USA",
40,03.10.2024,,"ABC(Ace Austin&Chris Bey) &The Hardys(Jeff Hardy&Matt Hardy) defeatThe System(Brian Myers,Eddie Edwards,JDC&Moose) (12:08)TNA iMPACT #1057- TV-Show @ Skyway Studios in Nashville, Tennessee, USA",
41,02.10.2024,,"Joe Hendry,PCO&Sami CallihandefeatThe System(Eddie Edwards,JDC&Moose) (5:40)TNA iMPACT #1062 - Thanksgiving Special 2024- TV-Show @ Nashville, Tennessee, USA",
