date,event,result,location,image_url
1,12.09.2025,,"WWE Women's  Title:Tiffany Stratton(c) vs.Jade Cargill- Double Count Out (11:23)WWE Friday Night SmackDown #1360- TV-Show @ Scope Arena in Norfolk, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_%28cropped_2%29.jpg
2,28.08.2025,,"WWE Women's  TitleTriple Threat:Tiffany Stratton(c) defeatsJade CargillandNia JaxWWE Road To Clash In Paris - Tag 5- House Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/e/e9/All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_%28cropped_2%29.jpg
3,27.08.2025,,"WWE Women's  TitleThree Way:Tiffany Stratton(c) defeatsJade CargillandNia JaxWWE Road To Clash In Paris - Tag 4- House Show @ First Direct Arena in Leeds, West Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/e/e9/All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_%28cropped_2%29.jpg
4,26.08.2025,,"WWE Women's  TitleTriple Threat:Tiffany Stratton(c) defeatsJade CargillandNia JaxWWE Road To Clash In Paris - Tag 3- House Show @ AO Arena in Manchester, Greater Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/e/e9/All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_%28cropped_2%29.jpg
5,24.08.2025,,"WWE Women's  TitleTriple Threat:Tiffany Stratton(c) defeatsJade CargillandNia JaxWWE Road To Clash In Paris - Tag 2- House Show @ Utilita Arena Newcastle in Newcastle Upon Tyne, Tyne And Wear, England, UK",https://upload.wikimedia.org/wikipedia/commons/e/e9/All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_%28cropped_2%29.jpg
6,23.08.2025,,"WWE Women's  TitleTriple Threat:Tiffany Stratton(c) defeatsJade CargillandNia JaxWWE Road To Clash In Paris - Tag 1- House Show @ M&S Bank Arena in Liverpool, Merseyside, England, UK",https://upload.wikimedia.org/wikipedia/commons/e/e9/All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_%28cropped_2%29.jpg
7,22.08.2025,,"Jade Cargill&Tiffany StrattondefeatBecky Lynch&Nia Jax(6:24)WWE Friday Night SmackDown #1357- TV-Show @ 3Arena in Dublin, Ireland",https://upload.wikimedia.org/wikipedia/commons/e/e9/All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_%28cropped_2%29.jpg
8,15.08.2025,,"DarkWWE Women's  Title:Tiffany Stratton(c) defeatsJade CargillWWE Friday Night SmackDown #1356- Dark Match @ TD Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_%28cropped_2%29.jpg
9,02.08.2025,,"WWE Women's  Title:Tiffany Stratton(c) defeatsJade Cargill(7:04)WWE SummerSlam 2025 - Saturday- Premium Live Event @ MetLife Stadium in East Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_%28cropped_2%29.jpg
10,25.07.2025,,"Jade CargilldefeatsChelsea Green(8:10)WWE Friday Night SmackDown #1353- TV-Show @ Rocket Arena in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_%28cropped_2%29.jpg
11,13.07.2025,,"No Holds Barred Match (Special Referee: Bianca Belair):Jade CargilldefeatsNaomi(11:15)WWE Evolution 2025- Premium Live Event @ State Farm Arena in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_%28cropped_2%29.jpg
12,28.06.2025,,"Queen Of The Ring 2025 Final:Jade CargilldefeatsAsuka(8:34)WWE Night Of Champions 2025- Premium Live Event @ Kingdom Arena in Riyadh, Saudi-Arabien",https://upload.wikimedia.org/wikipedia/commons/e/e9/All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_%28cropped_2%29.jpg
13,23.06.2025,,"Queen Of The Ring 2025 Semi Final:Jade CargilldefeatsRoxanne Perez(11:30)WWE Monday Night RAW #1674- Online Stream @ Nationwide Arena in Columbus, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_%28cropped_2%29.jpg
14,13.06.2025,,"Queen Of The Ring 2025 First Round Fatal Four Way:Jade CargilldefeatsMichinandNia JaxandPiper Niven(12:50)WWE Friday Night SmackDown #1347- TV-Show @ Rupp Arena in Lexington, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_%28cropped_2%29.jpg
15,30.05.2025,,"Money In The Bank Qualifying Triple Threat:NaomidefeatsJade CargillandNia Jax(15:20)WWE Friday Night SmackDown #1345- TV-Show @ Thompson-Boling Arena At Food City Center in Knoxville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_%28cropped_2%29.jpg
16,09.05.2025,,"WWE Women's  Title#1 Contendership:Nia JaxdefeatsJade Cargill(10:04)WWE Friday Night SmackDown #1342- TV-Show @ Wright State University Nutter Center in Dayton, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_%28cropped_2%29.jpg
17,02.05.2025,,"Jade Cargill&Tiffany StrattondefeatNaomi&Nia Jax(11:29)WWE Friday Night SmackDown #1341- TV-Show @ Wells Fargo Arena in Des Moines, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_%28cropped_2%29.jpg
18,25.04.2025,,"Jade Cargillvs.Tiffany Stratton- No Contest (10:12)WWE Friday Night SmackDown #1340- TV-Show @ Dickies Arena in Fort Worth, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_%28cropped_2%29.jpg
19,19.04.2025,,"Jade CargilldefeatsNaomi(9:20)WWE WrestleMania 41 - Saturday- Premium Live Event @ Allegiant Stadium in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_%28cropped_2%29.jpg
20,21.03.2025,,"Liv MorgandefeatsJade Cargill(10:10)WWE Friday Night SmackDown #1335- TV-Show @ Unipol Arena in Bologna, Emilia-Romagna, Italien",https://upload.wikimedia.org/wikipedia/commons/e/e9/All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_%28cropped_2%29.jpg
21,11.11.2024,,"WWE Women's Tag Team Title:Bianca Belair&Jade Cargill(c) defeatThe Judgment Day(Liv Morgan&Raquel Rodriguez) (7:30)WWE Monday Night RAW #1642- TV-Show @ Van Andel Arena in Grand Rapids, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_%28cropped_2%29.jpg
22,08.11.2024,,"Bianca Belair&Jade CargilldefeatNia Jax&Tiffany Stratton(9:27)WWE Friday Night SmackDown #1316- TV-Show @ KeyBank Center in Buffalo, New York, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_%28cropped_2%29.jpg
23,03.11.2024,,"WWE Women's World Title#1 Contendership Battle Royal:IYO SKYdefeatsAlba FyreandBianca BelairandIsla DawnandIvy NileandJade CargillandKairi SaneandKatana ChanceandKayden CarterandLyra ValkyriaandMaxxine DupriandNatalyaandShayna BaszlerandSonya DevilleandZelina Vega(12:40)WWE Monday Night RAW #1641- TV-Show @ Mohammed Abdo Arena in Riyadh, Saudi-Arabien",https://upload.wikimedia.org/wikipedia/commons/e/e9/All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_%28cropped_2%29.jpg
