date,event,result,location,image_url
1,12.05.2019,,"Gursinder SinghdefeatsJim DugganDestiny Sunday Night Power Slam- Event @ Battle Arts Academy in Mississauga, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/6/6d/Hacksaw-Jim-Duggan-Aussie-Flag%2C-RLA-Melb-10.11.2007.jpg
2,27.04.2019,,"Chris Egan,Danny Hope,Jim Duggan&John McGregordefeatBig And Brave(Big Guns Joe&Damon Leigh),Big T. Justice& Thomas WolfeFutureShock Breaks Convention- Event @ Exhibition Centre in Liverpool, Merseyside, England, UK",https://upload.wikimedia.org/wikipedia/commons/6/6d/Hacksaw-Jim-Duggan-Aussie-Flag%2C-RLA-Melb-10.11.2007.jpg
3,23.03.2019,,"WWA National TitleKentucky's Biggest Battle Royal:VanderpooldefeatsDakota France(c) andAlexander KnightandAndrew Hunterand Ben The Referee andBraxandBrenton WoodandCCWandChris Jonesand Chris Sterling andCortland MooreandGnarls GarvinandHayley Shadowsand Honcho Hensley andJake BravadoandJeremy TravisandJim DugganandJonesandJordan WhittakerandJosiahandKrutchandLizzy Sixxand Mason Alexander andNick WillisandRay Waddelland Rebecca Reece and Roughhouse Rickard andSatu JinnandStonewalland The Gilpinator andTony Evansand Travis Ball and Trent Taylor andTyler Hawkinsand Willie Finesse (79:17) -TITLE CHANGE !!!WWA Hysteria 84 - The War: Part 2- Event @ Central City Convention Center in Central City, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/6/6d/Hacksaw-Jim-Duggan-Aussie-Flag%2C-RLA-Melb-10.11.2007.jpg
4,16.03.2019,,"Gillberg&Jim DuggandefeatThe Bully Club(Buzz Stryker&PJ Parker)ACW 3:16- Event @ American Legion Hall in Halethorpe, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/6/6d/Hacksaw-Jim-Duggan-Aussie-Flag%2C-RLA-Melb-10.11.2007.jpg
5,15.03.2019,,"James Ellsworth,Jim Duggan&SicenddefeatEvan Atlas, Jeremy Grimes &Ron HolidayACW- Event @ Hanover Armory in Hanover, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/6/6d/Hacksaw-Jim-Duggan-Aussie-Flag%2C-RLA-Melb-10.11.2007.jpg
6,02.03.2019,,"Jim Duggan,Paul Puertorico&The Bad BoydefeatVANGOH(Killer Cross,Korvin Sage&Xavior)MSWA- Event @ Farmer's Market in Oklahoma City, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/6/6d/Hacksaw-Jim-Duggan-Aussie-Flag%2C-RLA-Melb-10.11.2007.jpg
7,20.01.2019,,"WCR Tag Team TitleThree Way Match (vakant):The Step-Brothas(Ja'Mane&Tego) defeatDevastation Reborn(Prince Mahalli&Rasheed Ali) andFlex Zerba&Jim Duggan-TITLE CHANGE !!!WCR- Event @ Cox Communication Centre in Oklahoma City, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/6/6d/Hacksaw-Jim-Duggan-Aussie-Flag%2C-RLA-Melb-10.11.2007.jpg
8,08.12.2018,,"(Special Referee: Mick Foley):Jim Duggan&Ricky MortondefeatGeorge South&Mr. TABTW- Event @ Spartanburg Memorial Auditorium in Spartanburg, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/6/6d/Hacksaw-Jim-Duggan-Aussie-Flag%2C-RLA-Melb-10.11.2007.jpg
9,23.09.2018,,"Jim DuggandefeatsJock SamsonGPW XI: Dreamers- Event @ Eastminster United Church in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/6/6d/Hacksaw-Jim-Duggan-Aussie-Flag%2C-RLA-Melb-10.11.2007.jpg
10,24.08.2018,,"Jim Duggan&Keith YoungblooddefeatAnthony Battle&Brian AnthonyNEW Wrestling Under The Stars 7 Tour - Tag 4- Event @ Wahconah Park in Pittsfield, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/6/6d/Hacksaw-Jim-Duggan-Aussie-Flag%2C-RLA-Melb-10.11.2007.jpg
