date,event,result,location,image_url
1,13.09.2025,,"DarkState(Cutler James,Dion Lennox,Osiris Griffin&Saquon Shugars) defeatHank And Tank(Hank Walker&Tank Ledger),Joe Hendry&Shiloh HillWWE NXT Live- House Show @ Engelwood Neighborhood Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Bronze_medal_icon_%28B_initial%29.svg
2,04.09.2025,,"Joe HendrydefeatsTravis Williams(3:18)TNA iMPACT #1103- TV-Show @ The Armory in Minneapolis, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Bronze_medal_icon_%28B_initial%29.svg
3,28.08.2025,,"Joe HendrydefeatsThe MizWWE Road To Clash In Paris - Tag 5- House Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/6/60/Bronze_medal_icon_%28B_initial%29.svg
4,27.08.2025,,"Joe HendrydefeatsThe MizWWE Road To Clash In Paris - Tag 4- House Show @ First Direct Arena in Leeds, West Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/6/60/Bronze_medal_icon_%28B_initial%29.svg
5,26.08.2025,,"Joe HendrydefeatsThe MizWWE Road To Clash In Paris - Tag 3- House Show @ AO Arena in Manchester, Greater Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/6/60/Bronze_medal_icon_%28B_initial%29.svg
6,23.08.2025,,"Joe HendrydefeatsChanning LorenzoWWE NXT Live- House Show @ Alan Jay Arena in Sebring, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Bronze_medal_icon_%28B_initial%29.svg
7,19.08.2025,,"Dark:Joe HendrydefeatsChanning LorenzoWWE NXT #799- Dark Match @ The Met Philadelphia in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Bronze_medal_icon_%28B_initial%29.svg
8,12.08.2025,,"Joe HendrydefeatsCharlie Dempsey(3:56)WWE NXT #798- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Bronze_medal_icon_%28B_initial%29.svg
9,27.07.2025,,"DW Scottish Openweight Title:Judas Grey(c) defeatsJoe HendryDW We Believe- Event @ Portobello Town Hall in Edinburgh, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/6/60/Bronze_medal_icon_%28B_initial%29.svg
10,27.07.2025,,"DW Tag Team Title:Dave Conrad&Joe HendrydefeatThe Good Times(Monstrum&Robb Stow) (c) -TITLE CHANGE !!!DW We Believe- Event @ Portobello Town Hall in Edinburgh, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/6/60/Bronze_medal_icon_%28B_initial%29.svg
