date,event,result,location,image_url
1,14.09.2025,,"Megan BaynedefeatsJoey Janela(15:03)CannonballFest: A Benefit To Raise Money For Jeff Cannonball's Fight Against ALS ~ Live Results- Online Stream @ New Providence High School in New Providence, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/e/e2/Joey_Janela_Oct_2019_%28cropped%29.jpg
2,13.09.2025,,"Janelasus(Joey Janela&Megan Bayne) &Marcus MathersdefeatBang And Matthews(August Matthews&Davey Bang) &Gringo Loco(13:35)GCW Rumble On The River- Pay Per View @ Celebration Plaza Amphitheater in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/e/e2/Joey_Janela_Oct_2019_%28cropped%29.jpg
3,12.09.2025,,"Four Way:Effy&Gringo LocodefeatBang And Matthews(August Matthews&Davey Bang) andBoisterous Behaviour(Leon Slater&Man Like DeReiss) andJoey Janela&Marcus Mathers(16:08)GCW Evil Deeds 2025- Pay Per View @ Harpo's Theatre in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/e/e2/Joey_Janela_Oct_2019_%28cropped%29.jpg
4,30.08.2025,,"Thiago MonterodefeatsJoey Janela(18:52)APC/BZW French Touch- Online Stream @ Salle des Fetes in Gennevilliers, Frankreich",https://upload.wikimedia.org/wikipedia/commons/e/e2/Joey_Janela_Oct_2019_%28cropped%29.jpg
5,24.08.2025,,"Six Way:Joey JaneladefeatsAustin Lukeand Grayson Pierce andGriffin McCoyand Ryan O'Neill andTerry Yaki(9:14)GCW Homecoming Weekend 2025 - Tag 2- Pay Per View @ Showboat Hotel Atlantic City in Atlantic City, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/e/e2/Joey_Janela_Oct_2019_%28cropped%29.jpg
6,23.08.2025,,"Six Man Tag Team Death:Joey Janela,Masha Slamovich&Matt TremontdefeatVNDL48(Atticus Cogar,Christian Napier&Otis Cogar) (18:53)GCW Homecoming Weekend 2025 - Tag 1- Pay Per View @ Showboat Hotel Atlantic City in Atlantic City, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/e/e2/Joey_Janela_Oct_2019_%28cropped%29.jpg
7,16.08.2025,,"Greektown Wrestling TitleThree Way:Joey Janela(c) defeatsChanning DeckerandPCO(17:58)Greektown- Online Stream @ 310 Danforth Ave in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/e/e2/Joey_Janela_Oct_2019_%28cropped%29.jpg
8,15.08.2025,,"20 Man Battle Riot:Joey JaneladefeatsAlec PriceandBam SullivanandChristian NapierandCocaineandDrew ParkerandGeorge SouthandJeffrey JohnandJordan OliverandJP GraysonandKongo KongandLuigi PrimoandMosh Pit MikeandMr. HappyandOtis CogarandShane MercerandSonny KissandSuper HummanandTarzan DuranandThe Wraith(14:01)GCW/JCW The 2 Day War - Tag 2- Pay Per View @ Legend Valley in Thornville, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/e/e2/Joey_Janela_Oct_2019_%28cropped%29.jpg
9,14.08.2025,,"Street War Grudge:2 Tuff TonydefeatsJoey Janela(12:39)GCW/JCW The 2 Day War - Tag 1- Pay Per View @ Legend Valley in Thornville, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/e/e2/Joey_Janela_Oct_2019_%28cropped%29.jpg
10,10.08.2025,,"JordandefeatsJoey JanelaF1RST Blood, Sweat & Beers VII- Event @ Bauhaus Brew Labs in Minneapolis, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/e/e2/Joey_Janela_Oct_2019_%28cropped%29.jpg
