date,event,result,location,image_url
1,02.08.2025,,"Pete DunnedefeatsJonathan Gresham(10:48)GCW Josh Barnett's Bloodsport XIV- Pay Per View @ Williams Center in Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/6/61/Gresham_ROH_2020_%28cropped%29.jpg
2,27.07.2025,,"Casey BlackrosedefeatsJonathan Gresham(20:23)PWE San Antonio Showdown: Championship Carnival- Event @ Good Shepherd Event Center in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/6/61/Gresham_ROH_2020_%28cropped%29.jpg
3,26.07.2025,,"Modern Age Grappling Rules:Jonathan GreshamdefeatsFrontman JahASÉ 10- Online Stream @ Slingshot Social Game Club in Charlotte, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/6/61/Gresham_ROH_2020_%28cropped%29.jpg
4,19.07.2025,,"Jonathan GreshamdefeatsDeonna Purrazzo(7:00)GCW Bash At The Ballpark- Pay Per View @ Maimonides Park in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/6/61/Gresham_ROH_2020_%28cropped%29.jpg
5,06.07.2025,,"GCW Tag Team   Title:YDNP(Alec Price&Jordan Oliver) (c) defeatAdam Priest&Jonathan Gresham(16:49)JCW Born (Almost) On The Fourth Of July- Online Stream @ House Of Independents in Asbury Park, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/6/61/Gresham_ROH_2020_%28cropped%29.jpg
6,05.07.2025,,"Six Way Scramble:Michael Allen Richard ClarkdefeatsBhupinder GujjarandJonathan GreshamandMike BaileyandPsycho MikeandTJP(14:29)MLP Resurrection- Pay Per View @ Colisée de Laval in Laval, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/6/61/Gresham_ROH_2020_%28cropped%29.jpg
7,22.06.2025,,"Three Way:Billie StarkzdefeatsJonathan GreshamandSimon Gotch(6:44)GCW Take A Picture 2025- Pay Per View @ The Truman in Kansas City, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/6/61/Gresham_ROH_2020_%28cropped%29.jpg
8,20.06.2025,,"Jonathan GreshamdefeatsGary Jay(12:15)GCW Bangin' In Little Rock- Pay Per View @ The Hall in Little Rock, Arkansas, USA",https://upload.wikimedia.org/wikipedia/commons/6/61/Gresham_ROH_2020_%28cropped%29.jpg
9,14.06.2025,,"Dak DraperdefeatsJonathan GreshamLLL 12 Year Anniversary - Tag 2- Event @ Oriental Theater in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/6/61/Gresham_ROH_2020_%28cropped%29.jpg
10,13.06.2025,,"Royce IsaacsdefeatsJonathan Gresham(10:00)LLL 12 Year Anniversary - Tag 1- Event @ Oriental Theater in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/6/61/Gresham_ROH_2020_%28cropped%29.jpg
11,07.06.2025,,"Jonathan GreshamdefeatsTyler Franks(9:28)New South Win City 6- Online Stream @ Priceville Event Center in Priceville, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/6/61/Gresham_ROH_2020_%28cropped%29.jpg
12,18.05.2025,,"Hardcore:Jonathan GreshamdefeatsJimmy Lloyd(10:34)GCW Run For It- Pay Per View @ Water Street Music Hall in Rochester, New York, USA",https://upload.wikimedia.org/wikipedia/commons/6/61/Gresham_ROH_2020_%28cropped%29.jpg
13,17.05.2025,,"1 Called MandersdefeatsJonathan Gresham(9:57)GCW Big Time- Pay Per View @ RJ Meyer Arena in Joppa, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/6/61/Gresham_ROH_2020_%28cropped%29.jpg
14,11.05.2025,,"Jonathan GreshamdefeatsCharles Mason(13:18)JCW May Flowers 2025- Online Stream @ House Of Independents in Asbury Park, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/6/61/Gresham_ROH_2020_%28cropped%29.jpg
15,10.05.2025,,"Zack Sabre Jr.defeatsJonathan Gresham(16:30)MLP Northern Rising- Pay Per View @ Mattamy Athletic Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/6/61/Gresham_ROH_2020_%28cropped%29.jpg
16,03.05.2025,,"JCW Title:Masha Slamovich(c) defeatsJonathan Gresham(13:42)GCW Crazy Scary Spooky Hilarious- Pay Per View @ Ukrainian Culture Center in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/6/61/Gresham_ROH_2020_%28cropped%29.jpg
17,02.05.2025,,"Gabriel LestatdefeatsJonathan GreshamTTW- Event @ Midway Music Hall in Edmonton, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/6/61/Gresham_ROH_2020_%28cropped%29.jpg
18,17.04.2025,,"Zack Sabre Jr.defeatsJonathan Gresham(17:34)GCW Josh Barnett's Bloodsport XIII- Pay Per View @ Pearl Theater At Palms Casino Resort in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/6/61/Gresham_ROH_2020_%28cropped%29.jpg
