date,event,result,location,image_url
1,11.09.1998,,"Giant Baba,Jumbo Tsuruta&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Tsuyoshi Kikuchi(10:24)AJPW Summer Action Series II 1998 - Tag 15- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
2,01.05.1998,,"Jumbo Tsuruta,Mitsuo Momota&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Tsuyoshi Kikuchi(10:21)AJPW 25th Anniversary- TV-Show @ Tokyo Dome in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
3,03.01.1998,,"Giant Kimala,Haruka Eigen&Masanobu FuchidefeatGiant Baba,Jumbo Tsuruta&Rusher Kimura(14:46)AJPW New Year Giant Series 1998 - Tag 2- Event @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
4,02.01.1998,,"Giant Baba,Jumbo Tsuruta&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Tsuyoshi Kikuchi(14:30)AJPW New Year Giant Series 1998 - Tag 1- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
5,21.10.1997,,"Giant Baba,Jumbo Tsuruta&Stan HansendefeatGiant Kimala,Masanobu Fuchi&Tamon Honda(12:57)AJPW October Giant Series 1997 - Tag 18- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
6,03.01.1997,,"Jumbo Tsuruta,Kenta Kobashi&The EagledefeatBobby Duncum Jr.,Stan Hansen&Takao Omori(16:05)AJPW New Year Giant Series 1997 - Tag 2- Event @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
7,02.01.1997,,"Giant Baba,Jumbo Tsuruta&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Mighty Inoue(14:46)AJPW New Year Giant Series 1997 - Tag 1- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
8,06.12.1996,,"Jumbo Tsuruta,Stan Hansen&Takao OmoridefeatJun Izumida,Masao Inoue&Tamon Honda(11:10)AJPW Real World Tag League 1996 - Tag 16- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
9,04.12.1996,,"Johnny Smith,Stan Hansen&Takao OmoridefeatJumbo Tsuruta,Tamon Honda&Yoshinari Ogawa(11:56)AJPW Real World Tag League 1996 - Tag 15- Event @ Niigata City Gymnasium in Niigata, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
10,18.10.1996,,"Akira Taue,Dory Funk Jr.&Giant BabadefeatJumbo Tsuruta&Super Generation Army(Jun Akiyama&Mitsuharu Misawa) (15:36)AJPW October Giant Series 1996 - Tag 13- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
11,05.09.1996,,"Johnny Smith&PatriotdefeatJumbo Tsuruta&Kentaro Shiga(11:58)AJPW Summer Action Series II 1996 - Tag 14- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
12,18.08.1996,,"Jumbo Tsuruta&Rusher KimuradefeatHaruka Eigen&Mighty Inoue(12:54)AJPW Summer Action Series II 1996 - Tag 2- Event @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
13,24.07.1996,,"Jumbo Tsuruta,Mitsuo Momota&Rusher KimuradefeatHaruka Eigen,Masao Inoue&Mighty Inoue(9:51)AJPW Summer Action Series 1996 - Tag 18- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
14,18.07.1996,,"Giant Baba,Jumbo Tsuruta&Yoshinari OgawadefeatJun Izumida,Takao Omori&Tsuyoshi Kikuchi(15:07)AJPW Summer Action Series 1996 - Tag 16- Event @ Okayama Budokan in Okayama, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
15,30.06.1996,,"Haruka Eigen,Takao Omori&Tamon HondadefeatJumbo Tsuruta,Rusher Kimura&Satoru Asako(17:38)AJPW Summer Action Series 1996 - Tag 2- Event @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
16,07.06.1996,,"Giant Baba,Jumbo Tsuruta&Yoshinari OgawadefeatJun Izumida,Takao Omori&Tamon Honda(12:45)AJPW Super Power Series 1996 - Tag 15- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
17,24.05.1996,,"Jumbo Tsuruta,Mitsuo Momota&Rusher KimuradefeatHaruka Eigen,Mighty Inoue&Ryukaku Izumida(10:13)AJPW Super Power Series 1996 - Tag 6- TV-Show @ Nakajima Sports Center in Sapporo, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
18,23.05.1996,,"Giant Baba,Jumbo Tsuruta&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Mighty Inoue(16:21)AJPW Super Power Series 1996 - Tag 5- TV-Show @ Nakajima Sports Center in Sapporo, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
19,20.04.1996,,"Jumbo Tsuruta&Stan HansendefeatTakao Omori&Tamon Honda(8:36)AJPW Champion Carnival 1996 - Tag 21- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
20,01.04.1996,,"Giant Baba,Jumbo Tsuruta&Rusher KimuradefeatHaruka Eigen,Mitsuo Momota&Ryukaku Izumida(14:32)AJPW Champion Carnival 1996 - Tag 9- Event @ Osaka Prefectural Gymnasium in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
21,31.03.1996,,"Holy Demon Army(Masanobu Fuchi&Yoshinari Ogawa) &Takao OmoridefeatGiant Baba,Jumbo Tsuruta&Kentaro Shiga(19:31)AJPW Champion Carnival 1996 - Tag 8- TV-Show @ Aichi Prefectural Gymnasium in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
22,02.03.1996,,"Dory Funk Jr.,Jumbo Tsuruta&Rusher KimuradefeatMasanobu Fuchi,Mighty Inoue&Ryukaku Izumida(14:18)AJPW Excite Series 1996 - Tag 11- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
23,20.01.1996,,"Giant Baba,Jumbo Tsuruta&Stan HansendefeatJoel Deaton,Johnny Ace&The Lacrosse(14:29)AJPW New Year Giant Series 1996 - Tag 13- TV-Show @ Aimesse Yamanashi in Kofu, Yamanashi, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
24,02.01.1996,,"Giant Baba,Jumbo Tsuruta&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Ryukaku Izumida(17:36)AJPW New Year Giant Series 1996 - Tag 1- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
25,09.12.1995,,"Jumbo Tsuruta,Mitsuo Momota&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Mighty Inoue(11:35)AJPW Real World Tag League 1995 - Tag 16- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
26,06.12.1995,,"Jumbo Tsuruta,Mitsuo Momota&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Masao Inoue(18:05)AJPW Real World Tag League 1995 - Tag 14- TV-Show @ Miyagi Sports Center in Sendai, Miyagi, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
27,05.12.1995,,"Jumbo Tsuruta,Mitsuo Momota&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Ryukaku Izumida(15:49)AJPW Real World Tag League 1995 - Tag 13- TV-Show @ Niigata City Gymnasium in Niigata, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
28,25.10.1995,,"Giant Baba,Jumbo Tsuruta&Stan HansendefeatAkira Taue,Takao Omori&Tamon Honda(16:52)AJPW October Giant Series 1995 - Tag 18- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
29,01.10.1995,,"Jumbo Tsuruta,Mitsuo Momota&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Mighty Inoue(21:25)AJPW October Giant Series 1995 - Tag 2- Event @ Aimesse Yamanashi in Kofu, Yamanashi, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
30,30.09.1995,,"Dory Funk Jr.,Giant Baba&Jumbo TsurutadefeatJun Akiyama,Takao Omori&Tamon Honda(15:42)AJPW October Giant Series 1995 - Tag 1- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
31,15.09.1995,,"Akira Taue,Giant Baba&Jumbo TsurutadefeatSuper Generation Army(Jun Akiyama&Kenta Kobashi) &Tamon Honda(22:54)AJPW Fan Appreciation Day 1995- Event @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
32,10.09.1995,,"Joel Deaton,Jumbo Tsuruta&Mitsuo MomotadefeatHaruka Eigen,Mighty Inoue&Ryukaku Izumida(14:11)AJPW Summer Action Series II 1995 - Tag 17- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
33,24.07.1995,,"Giant Baba,Jumbo Tsuruta&Mitsuo MomotadefeatHaruka Eigen,Masanobu Fuchi&Mighty Inoue(15:15)AJPW Summer Action Series 1995 - Tag 18- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
34,10.07.1995,,"Giant Baba,Jumbo Tsuruta&Mitsuo MomotadefeatHaruka Eigen,Masanobu Fuchi&Ryukaku Izumida(16:37)AJPW Summer Action Series 1995 - Tag 9- Event @ Oita Prefectural Gymnasium in Niage, Oita, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
35,08.07.1995,,"Haruka Eigen,Masanobu Fuchi&Mighty InouedefeatJumbo Tsuruta,Masao Inoue&Mitsuo Momota(18:53)AJPW Summer Action Series 1995 - Tag 8- TV-Show @ Kagoshima Arena in Kagoshima, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
36,07.07.1995,,"Jumbo Tsuruta,Mitsuo Momota&Satoru AsakodefeatHaruka Eigen,Mighty Inoue&Ryukaku Izumida(14:50)AJPW Summer Action Series 1995 - Tag 7- Event @ Hakata Starlanes in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
37,30.05.1995,,"Giant Baba,Jumbo Tsuruta&Takao OmoridefeatAbdullah The Butcher,Giant Kimala&Mike Anthony(12:07)AJPW Super Power Series 1995 - Tag 8- Event @ Akita Prefectural Gymnasium in Akita, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
38,29.05.1995,,"Giant Baba,Jumbo Tsuruta&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Mighty Inoue(20:13)AJPW Super Power Series 1995 - Tag 7- Event @ Aomori Sports Center in Towada, Aomori, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
39,24.05.1995,,"Jumbo Tsuruta,Mitsuo Momota&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Ryukaku Izumida(22:18)AJPW Super Power Series 1995 - Tag 4- Event @ Aomori Prefectural Gymnasium in Aomori, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
40,23.05.1995,,"Abdullah The Butcher,Giant Baba&Jumbo TsurutadefeatHaruka Eigen,Masanobu Fuchi&Ryukaku Izumida(14:34)AJPW Super Power Series 1995 - Tag 3- Event @ Iwate Prefectural Gymnasium in Morioka, Iwate, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
41,26.03.1995,,"Jumbo Tsuruta,Mitsuo Momota&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Ryukaku Izumida(18:53)AJPW Champion Carnival 1995 - Tag 6- Event @ City Gymnasium in Matsumoto, Nagano, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
42,04.03.1995,,"Giant Baba,Jumbo Tsuruta&Jun AkiyamadefeatHoly Demon Army(Akira Taue,Masanobu Fuchi&Masao Inoue) (17:27)AJPW Excite Series 1995 - Tag 12- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
43,02.03.1995,,"Giant Baba,Jumbo Tsuruta&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Ryukaku Izumida(17:43)AJPW Excite Series 1995 - Tag 11- Event @ Kiyohara Gymnasium in Utsunomiya, Tochigi, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
44,24.02.1995,,"Giant Baba,Jumbo Tsuruta&Stan HansendefeatRob Van Dam,The Eagle&The Falcon(12:51)AJPW Excite Series 1995 - Tag 7- Event @ City Gymnasium in Takamatsu, Kagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
45,19.01.1995,,"Giant Baba,Jumbo Tsuruta&Mitsuharu MisawadefeatJun Akiyama,Takao Omori&Tamon Honda(15:37)AJPW New Year Giant Series 1995 - Tag 14- Event @ Osaka Prefectural Gymnasium in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
46,09.01.1995,,"Jumbo Tsuruta,Mitsuo Momota&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Ryukaku Izumida(18:22)AJPW New Year Giant Series 1995 - Tag 7- Event @ City Gymnasium in Miyakonojo, Miyazaki, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
47,08.01.1995,,"Jumbo Tsuruta,Mitsuo Momota&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Mighty Inoue(18:25)AJPW New Year Giant Series 1995 - Tag 6- Event @ Hakata Starlanes in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
48,26.11.1994,,"Jumbo Tsuruta,Mitsuo Momota&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Ryukaku Izumida(21:46)AJPW Real World Tag League 1994 - Tag 7- Event @ Tsu City Gymnasium in Tsu, Mie, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
49,21.11.1994,,"Jumbo Tsuruta,Mitsuo Momota&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Mighty Inoue(19:34)AJPW Real World Tag League 1994 - Tag 3- Event @ Hiratsuka General Gymnasium in Hiratsuka, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
50,22.10.1994,,"Dory Funk Jr.,Giant Baba&Jumbo TsurutadefeatJohnny Smith,The Eagle&Tom Zenk(14:25)AJPW Giant Series 1994 - Tag 17- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
51,15.10.1994,,"Jumbo Tsuruta,Mitsuo Momota&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Ryukaku Izumida(15:52)AJPW Giant Series 1994 - Tag 11- Event @ Nagaoka Welfare Hall in Nagaoka, Niigata, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
52,28.08.1994,,"Jumbo Tsuruta,Mitsuo Momota&Rusher KimuradefeatHaruka Eigen,Mighty Inoue&Ryukaku Izumida(19:11)AJPW Summer Action Series II 1994 - Tag 6- Event @ Hiroshima Sports Center in Hiroshima, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
53,27.08.1994,,"Giant Baba,Jumbo Tsuruta&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Mighty Inoue(23:16)AJPW Summer Action Series II 1994 - Tag 5- Event @ Kyoto Prefectural Gymnasium in Kyoto, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
54,16.07.1994,,"Jumbo Tsuruta,Mitsuo Momota&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Mighty Inoue(17:57)AJPW Summer Action Series 1994 - Tag 12- Event @ Nagasaki City Gymnasium in Nagasaki, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
55,21.05.1994,,"Jumbo Tsuruta,Mitsuo Momota&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Mighty Inoue(16:17)AJPW Super Power Series 1994 - Tag 6- TV-Show @ Nakajima Sports Center in Sapporo, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
56,10.04.1994,,"Jumbo Tsuruta,Mitsuo Momota&Rusher KimuradefeatHaruka Eigen,Masao Inoue&Ryukaku Izumida(19:31)AJPW Champion Carnival 1994 - Tag 17- Event @ Miyagi Sports Center in Sendai, Miyagi, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
57,02.03.1994,,"Giant Baba,Jumbo Tsuruta&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Ryukaku Izumida(20:44)AJPW Excite Series 1994 - Tag 10- Event @ Kasugai City Gymnasium in Kasugai, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
58,23.10.1993,,"Giant Baba,Jumbo Tsuruta&Rusher KimuradefeatHaruka Eigen,Masanobu Fuchi&Ryukaku Izumida(14:18)AJPW Giant Series 1993 - Tag 20- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
59,21.10.1992,,"Andre The Giant,Jumbo Tsuruta&Terry GordydefeatDory Funk Jr.,Giant Baba&Stan Hansen(14:32)AJPW 20th Anniversary Giant Series 1992 - Tag 17- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
60,20.10.1992,,"Super Generation Army(Kenta Kobashi,Mitsuharu Misawa&Tsuyoshi Kikuchi) defeatTsuruta-gun(Akira Taue,Jumbo Tsuruta&Yoshinari Ogawa) (22:54)AJPW 20th Anniversary Giant Series 1992 - Tag 16- Event @ Sports Center in Toda, Saitama, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
61,19.10.1992,,"Tsuruta-gun(Jumbo Tsuruta&Yoshinari Ogawa) defeatRichard Slinger&Terry Gordy(12:41)AJPW 20th Anniversary Giant Series 1992 - Tag 15- Event @ Citizen Gymnasium in Isesaki, Gunma, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
62,17.10.1992,,"Tsuruta-gun(Akira Taue,Jumbo Tsuruta&Yoshinari Ogawa) defeatSuper Generation Army(Kenta Kobashi,Mitsuharu Misawa&Tsuyoshi Kikuchi) (21:17)AJPW 20th Anniversary Giant Series 1992 - Tag 14- TV-Show @ Civic Gymnasium in Mito, Ibaraki, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
63,16.10.1992,,"Super Generation Army(Jun Akiyama,Kenta Kobashi&Toshiaki Kawada) defeatTsuruta-gun(Akira Taue,Jumbo Tsuruta&Yoshinari Ogawa) (24:27)AJPW 20th Anniversary Giant Series 1992 - Tag 13- Event @ City Gymnasium in Aizuwakamatsu, Fukushima, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
64,15.10.1992,,"Tsuruta-gun(Akira Taue,Jumbo Tsuruta&Yoshinari Ogawa) defeatSuper Generation Army(Mitsuharu Misawa&Tsuyoshi Kikuchi) &Jun Akiyama(25:45)AJPW 20th Anniversary Giant Series 1992 - Tag 12- Event @ City General Gymnasium in Iwaki, Fukushima, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
65,14.10.1992,,"Tsuruta-gun(Akira Taue,Jumbo Tsuruta&Masanobu Fuchi) defeatSuper Generation Army(Mitsuharu Misawa,Toshiaki Kawada&Tsuyoshi Kikuchi) (27:16)AJPW 20th Anniversary Giant Series 1992 - Tag 11- Event @ City Gymnasium in Yamagata, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
66,13.10.1992,,"Tsuruta-gun(Jumbo Tsuruta&Masanobu Fuchi) defeatJun Akiyama&Kenta Kobashi(23:22)AJPW 20th Anniversary Giant Series 1992 - Tag 10- Event @ City Gymnasium in Tsuruoka, Yamagata, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
67,11.10.1992,,"Dory Funk Jr.,Giant Baba&Jumbo TsurutadefeatRichard Slinger,Steve Williams&Terry Gordy(19:35)AJPW 20th Anniversary Giant Series 1992 - Tag 9- TV-Show @ Yokohama Bunka Gymnasium in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
68,10.10.1992,,"Super Generation Army(Kenta Kobashi&Toshiaki Kawada) defeatTsuruta-gun(Jumbo Tsuruta&Masanobu Fuchi) (21:21)AJPW 20th Anniversary Giant Series 1992 - Tag 8- Event @ City Welfare Hall in Nagaoka, Niigata, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
69,09.10.1992,,"Tsuruta-gun(Akira Taue,Jumbo Tsuruta&Masanobu Fuchi) defeatSuper Generation Army(Kenta Kobashi,Toshiaki Kawada&Tsuyoshi Kikuchi) (20:49)AJPW 20th Anniversary Giant Series 1992 - Tag 7- Event @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
70,08.10.1992,,"Tsuruta-gun(Akira Taue,Jumbo Tsuruta&Masanobu Fuchi) defeatSuper Generation Army(Mitsuharu Misawa,Toshiaki Kawada&Tsuyoshi Kikuchi) (25:26)AJPW 20th Anniversary Giant Series 1992 - Tag 6- Event @ Industrial Pavilion in Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/d/df/Baba_and_Tsuruta_as_NWA_International_tag_team_champions_1984.png
