date,event,result,location,image_url
1,12.09.2025,,"Fluorescent Lighttubes Death:Jun Kasai&Takashi SasakidefeatKenji Fukimoto&Violento Jack(14:27)FREEDOMS Heel Don't Think 2025- Event @ Shin-Kiba 1st RING in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/5/5b/20230402kasai1.jpg
2,07.09.2025,,"Fluorescent Lighttubes Death:Jun Kasai,Takashi Sasaki&Toru SugiuradefeatKenji Fukimoto,Mizuki Watase&Violento Jack(14:49)FREEDOMS/Jun Kasai Produce Sendai Death Match Carnival 2025- Event @ Yume Messe Miyagi in Sendai, Miyagi, Japan",https://upload.wikimedia.org/wikipedia/commons/5/5b/20230402kasai1.jpg
3,28.08.2025,,"Barbed Wire Board & Razoer Cross Board Death:Jun KasaidefeatsAeroboy(13:15)FREEDOMS/Jun Kasai Produce Tokyo Death Match Carnival 2025 Vol. 2- Event @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/5/5b/20230402kasai1.jpg
4,26.08.2025,,"Fluorescent Light Tubes Death:Jun KasaidefeatsMizuki Watase(19:24)Ganbare Pro Mizuki Watase 10th Anniversary Debut ~ Summer Film Ni Notte 2025- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/5/5b/20230402kasai1.jpg
5,24.08.2025,,"Lighttube Death:Jun Kasai&Rina YamashitadefeatKazumi Kikuta&Sonoko Kato(19:49)OZ Academy Battle Big Bonus 2025 In Nagoya- TV-Show @ Toyoda Gosei Memorial Gymnasium in Inazawa, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/5/5b/20230402kasai1.jpg
6,18.08.2025,,"Iron Man:Jun KasaidefeatsCherry[2:1] (60:00)Cherry Produce Fantasy Illusion Cherry Debut 21st Anniversary- Event @ TOKYOSQUARE In Itabashi in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/5/5b/20230402kasai1.jpg
7,17.08.2025,,"Yokohama Death Bridge & Alpha Death:Los Compadres Extremos(Aeroboy&Violento Jack) defeatDaisuke Masaoka&Jun Kasai(15:52)FREEDOMS Feast Of The Free People 2025- TV-Show @ Yokohama Budokan in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/5/5b/20230402kasai1.jpg
8,10.08.2025,,"Death:Jun KasaidefeatsYuki Miyazaki(20:44)WAVE 18th Anniversary ~ Carnival WAVE- Event @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/5/5b/20230402kasai1.jpg
9,07.08.2025,,"Fluorescent Lighttubes Death:Jun Kasai,Masashi Takeda&Yusaku ItodefeatKenji Fukimoto,Minoru Fujita&Violento Jack(17:10)FREEDOMS/Jun Kasai Produce Shin-Kiba Death Match Carnival 2025 Vol. 2- Event @ Shin-Kiba 1st RING in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/5/5b/20230402kasai1.jpg
10,27.07.2025,,"300 Fluorescent Lighttubes Tornado Tag Team Death:Jun Kasai,Minoru Fujita&Toru SugiuradefeatMasashi Takeda,Violento Jack&Yusaku Ito(17:03)FREEDOMS/Jun Kasai Produce Osaka Death Match Carnival 2025- Event @ Active Square Daito in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/5/5b/20230402kasai1.jpg
11,25.07.2025,,"Fluorescent Lighttubes Death:Tomoya Hirata&Violento JackdefeatJun Kasai&Toru Sugiura(18:57)FREEDOMS/Jun Kasai Produce Shin-Kiba Death Match Carnival 2025 Vol. 1- Event @ Shin-Kiba 1st RING in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/5/5b/20230402kasai1.jpg
12,21.07.2025,,"Kotaro Yoshino,Takashi Sasaki&Toru SugiuradefeatJun Kasai,Kenji Fukimoto&Masashi Takeda(16:59)FREEDOMS Shonan Chigasaki Marine Day Pro Wrestling 2025- Event @ Umikaze Terrace B1 Multipurpose Room in Chigasaki, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/5/5b/20230402kasai1.jpg
13,13.07.2025,,"Dragon Libre&KengodefeatGaia Hox&Jun Kasai(10:42)GOLD Matsuri Vol. 12 - Noon Show- Event @ Yume Messe Miyagi Nishidate Hall in Sendai, Miyagi, Japan",https://upload.wikimedia.org/wikipedia/commons/5/5b/20230402kasai1.jpg
14,13.07.2025,,"Death:Masashi Takeda&Rina YamashitadefeatJun Kasai&Takashi Sasaki(17:02)GOLD Matsuri Vol. 13 - Evening Show- Event @ Yume Messe Miyagi Nishidate Hall in Sendai, Miyagi, Japan",https://upload.wikimedia.org/wikipedia/commons/5/5b/20230402kasai1.jpg
