date,event,result,location,image_url
1,01.09.2025,,"The Kabuki Warriors(Asuka&Kairi Sane) defeatThe Judgment Day(Raquel Rodriguez&Roxanne Perez) (11:38)WWE Monday Night RAW #1684- Online Stream @ Paris La Défense Arena in Nanterre, Frankreich",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
2,25.08.2025,,"Lyra ValkyriadefeatsKairi Sane(5:00)WWE Main Event #674- Online Stream @ bp pulse LIVE in Birmingham, West Midlands, England, UK",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
3,28.07.2025,,"Mixed:AJ Styles&The Kabuki Warriors(Asuka&Kairi Sane) defeatThe Judgment Day(Dominik Mysterio,Raquel Rodriguez&Roxanne Perez) (10:44)WWE Monday Night RAW #1679- Online Stream @ Little Caesars Arena in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
4,21.07.2025,,"Dark:Kairi SanedefeatsIvy NileWWE Main Event #669- Dark Match @ Toyota Center in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
5,14.07.2025,,"The Judgment Day(Raquel Rodriguez&Roxanne Perez) defeatThe Kabuki Warriors(Asuka&Kairi Sane) (10:24)WWE Monday Night RAW #1677- Online Stream @ Legacy Arena At The BJCC in Birmingham, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
6,13.07.2025,,"WWE Women's Tag Team TitleFatal Four Way:The Judgment Day(Raquel Rodriguez&Roxanne Perez) (c) defeatAlexa Bliss&Charlotte FlairandSol Ruca&ZariaandThe Kabuki Warriors(Asuka&Kairi Sane) (10:52)WWE Evolution 2025- Premium Live Event @ State Farm Arena in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
7,11.07.2025,,"Fatal Four Way:Alexa BlissdefeatsKairi SaneandRoxanne PerezandSol Ruca(9:59)WWE Friday Night SmackDown #1351- TV-Show @ Bridgestone Arena in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
8,07.07.2025,,"Kairi SanedefeatsRoxanne Perez(11:36)WWE Monday Night RAW #1676- Online Stream @ Amica Mutual Pavilion in Providence, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
9,23.06.2025,,"Kairi SanedefeatsIvy Nile(6:34)WWE Main Event #665- Online Stream @ Nationwide Arena in Columbus, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
10,16.06.2025,,"Kairi SanedefeatsLiv Morganby referee's decision (2:45)WWE Monday Night RAW #1673- Online Stream @ Resch Center in Green Bay, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
11,09.06.2025,,"Queen Of The Ring 2025 First Round Fatal Four Way:Roxanne PerezdefeatsKairi SaneandLiv MorganandRhea Ripley(12:50)WWE Monday Night RAW #1672- Online Stream @ PHX Arena in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
12,02.06.2025,,"Kairi SanedefeatsRaquel Rodriguez(6:01)WWE Monday Night RAW #1671- Online Stream @ BOK Center in Tulsa, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
13,26.05.2025,,"Kairi SanedefeatsLiv Morgan(10:52)WWE Monday Night RAW #1670- Online Stream @ Yuengling Center in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
14,19.05.2025,,"Money In The Bank Qualifying Triple Threat:Rhea RipleydefeatsKairi SaneandZoey Stark(9:52)WWE Monday Night RAW #1669- Online Stream @ Bon Secours Wellness Arena in Greenville, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
15,02.12.2024,,"The Judgment Day(Liv Morgan&Raquel Rodriguez) defeatDamage CTRL(IYO SKY&Kairi Sane) (4:00)WWE Monday Night RAW #1645- TV-Show @ Angel Of The Winds Arena in Everett, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
16,11.11.2024,,"Damage CTRL(Dakota Kai,IYO SKY&Kairi Sane) defeatPure Fusion Collective(Shayna Baszler,Sonya Deville&Zoey Stark) (10:15)WWE Monday Night RAW #1642- TV-Show @ Van Andel Arena in Grand Rapids, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
17,03.11.2024,,"WWE Women's World Title#1 Contendership Battle Royal:IYO SKYdefeatsAlba FyreandBianca BelairandIsla DawnandIvy NileandJade CargillandKairi SaneandKatana ChanceandKayden CarterandLyra ValkyriaandMaxxine DupriandNatalyaandShayna BaszlerandSonya DevilleandZelina Vega(12:40)WWE Monday Night RAW #1641- TV-Show @ Mohammed Abdo Arena in Riyadh, Saudi-Arabien",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
18,02.11.2024,,"WWE Women's Tag Team TitleFatal Four Way:Bianca Belair&Jade Cargill(c) defeatChelsea Green&Piper NivenandDamage CTRL(IYO SKY&Kairi Sane) andMeta-Four(Jakara Jackson&Lash Legend) (12:00)WWE Crown Jewel 2024- Premium Live Event @ Kingdom Arena in Riyadh, Saudi-Arabien",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
19,22.10.2024,,"Damage CTRL(IYO SKY&Kairi Sane) vs.Meta-Four(Jakara Jackson&Lash Legend) - No Contest (11:25)WWE NXT #756- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
20,21.10.2024,,"Damage CTRL(IYO SKY&Kairi Sane) vs.Liv Morgan&Raquel Rodriguez- No Contest (9:50)WWE Monday Night RAW #1639- TV-Show @ Wells Fargo Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
21,07.10.2024,,"WWE Women's Tag Team Title:Bianca Belair&Jade Cargill(c) defeatDamage CTRL(IYO SKY&Kairi Sane) (9:48)WWE Monday Night RAW #1638- TV-Show @ Enterprise Center in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
22,04.10.2024,,"WWE Women's Speed TitleTournament Semi Final:Candice LeRaedefeatsKairi Sane(2:28)WWE Speed #35- Online Stream @ Bridgestone Arena in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
23,27.09.2024,,"Dark:Kairi SanedefeatsChelsea GreenWWE Friday Night SmackDown #1310- Dark Match @ Paycom Center in Oklahoma City, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
24,23.09.2024,,"Damage CTRL(IYO SKY&Kairi Sane) defeatThe Unholy Union(Alba Fyre&Isla Dawn) (9:45)WWE Monday Night RAW #1635- TV-Show @ Toyota Arena in Ontario, California, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
25,13.09.2024,,"WWE Women's Speed TitleTournament First Round:Kairi SanedefeatsElektra Lopez(2:33)WWE Speed #32- Online Stream @ Climate Pledge Arena in Seattle, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
26,02.09.2024,,"WWE Women's Tag Team Title#1 Contendership:The Unholy Union(Alba Fyre&Isla Dawn) defeatDamage CTRL(IYO SKY&Kairi Sane) (8:10)WWE Monday Night RAW #1632- TV-Show @ Ball Arena in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
27,26.08.2024,,"Damage CTRL(IYO SKY&Kairi Sane) defeatPure Fusion Collective(Shayna Baszler&Zoey Stark) (7:33)WWE Monday Night RAW #1631- TV-Show @ Amica Mutual Pavilion in Providence, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
28,23.08.2024,,"DarkWWE Women's World Title:Liv Morgan(c) defeatsKairi SaneWWE Friday Night SmackDown #1305- Dark Match @ Capital One Arena in Washington, District Of Columbia, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
29,19.08.2024,,"WWE Women's Tag Team TitleTriple Threat:The Unholy Union(Alba Fyre&Isla Dawn) (c) defeatDamage CTRL(IYO SKY&Kairi Sane) andPure Fusion Collective(Shayna Baszler&Zoey Stark) (9:25)WWE Monday Night RAW #1630- TV-Show @ Amerant Bank Arena in Sunrise, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
30,12.08.2024,,"WWE Women's Tag Team Title#1 Contendership:Damage CTRL(IYO SKY&Kairi Sane) vs.Pure Fusion Collective(Shayna Baszler&Zoey Stark) - No Contest (8:30)WWE Monday Night RAW #1629- TV-Show @ Moody Center in Austin, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
31,09.08.2024,,"Dark Mixed:Braun Strowman&Kairi SanedefeatThe Judgment Day(Dominik Mysterio&Liv Morgan)WWE Friday Night SmackDown #1303- Dark Match @ BOK Center in Tulsa, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
32,27.07.2024,,"WWE Women's World Title:Liv Morgan(c) defeatsKairi Sane(12:04)WWE SuperShow Summer Tour - Tag 9- House Show @ Ryogoku Kokugikan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
33,26.07.2024,,"Bayley,Bianca Belair,Jade Cargill&Meiko SatomuradefeatDamage CTRL(Dakota Kai,IYO SKY&Kairi Sane) &Tiffany Stratton(15:44)WWE SuperShow Summer Tour - Tag 8- House Show @ Ryogoku Kokugikan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
34,25.07.2024,,"Bayley,Bianca Belair,Jade Cargill&Meiko SatomuradefeatDamage CTRL(Dakota Kai,IYO SKY&Kairi Sane) &Tiffany Stratton(14:24)WWE SuperShow Summer Tour - Tag 7- House Show @ EDION Arena Osaka in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
35,08.07.2024,,"Damage CTRL(Dakota Kai,IYO SKY&Kairi Sane) defeatKatana Chance,Kayden Carter&Lyra Valkyria(8:39)WWE Monday Night RAW #1624- TV-Show @ Canadian Tire Centre in Ottawa, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
36,24.06.2024,,"Money In The Bank Qualifying Triple Threat:Lyra ValkyriadefeatsKairi SaneandShayna Baszler(8:26)WWE Monday Night RAW #1622- TV-Show @ Gainbridge Fieldhouse in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
37,17.06.2024,,"Katana Chance&Kayden CarterdefeatDamage CTRL(Dakota Kai&Kairi Sane) (2:28)WWE Monday Night RAW #1621- TV-Show @ American Bank Center in Corpus Christi, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
38,02.06.2024,,"WWE Women's Tag Team Title:Bianca Belair&Jade Cargill(c) defeatDamage CTRL(Dakota Kai&Kairi Sane)WWE SuperShow Summer Tour - Tag 2- House Show @ Visions Veterans Memorial Arena in Binghamton, New York, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
39,01.06.2024,,"WWE Women's Tag Team Title:Bianca Belair&Jade Cargill(c) defeatDamage CTRL(Dakota Kai&Kairi Sane)WWE SuperShow Summer Tour - Tag 1- House Show @ Westchester County Center in White Plains, New York, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
40,27.05.2024,,"Lyra ValkyriadefeatsKairi Sane(3:45)WWE Monday Night RAW #1618- TV-Show @ Enmarket Arena in Savannah, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
41,20.05.2024,,"WWE Women's Tag Team Title#1 Contendership Fatal Four Way:Shayna Baszler&Zoey StarkdefeatDamage CTRL(Dakota Kai&Kairi Sane) andIvy Nile&Maxxine DupriandKatana Chance&Kayden Carter(9:11)WWE Monday Night RAW #1617- TV-Show @ Greensboro Coliseum in Greensboro, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
42,12.05.2024,,"Bayley&Jade CargilldefeatDamage CTRL(Dakota Kai&Kairi Sane)WWE SuperShow- House Show @ Macon Centreplex Coliseum in Macon, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
43,12.05.2024,,"WWE Women's  Title:Bayley(c) defeatsKairi Saneby DQWWE SuperShow- House Show @ Macon Centreplex Coliseum in Macon, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
44,11.05.2024,,"Bayley&Jade CargilldefeatDamage CTRL(Dakota Kai&Kairi Sane)WWE SuperShow- House Show @ McKenzie Arena in Chattanooga, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
45,04.05.2024,,"WWE Women's Tag Team Title:Bianca Belair&Jade CargilldefeatThe Kabuki Warriors(Asuka&Kairi Sane) (c) (17:22) -TITLE CHANGE !!!WWE Backlash 2024- Premium Live Event @ LDLC Arena in Décines-Charpieu, Frankreich",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
46,03.05.2024,,"Bayley,Bianca Belair,Jade Cargill&NaomidefeatDamage CTRL(Asuka,Dakota Kai&Kairi Sane) &Tiffany Stratton(10:16)WWE Friday Night SmackDown #1289- TV-Show @ LDLC Arena in Décines-Charpieu, Frankreich",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
47,02.05.2024,,"Bianca Belair,Jade Cargill&NaomidefeatDamage CTRL(Asuka,Dakota Kai&Kairi Sane)WWE Live- House Show @ Stadthalle Halle D in Wien, Österreich",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
48,01.05.2024,,"Bianca Belair,Jade Cargill&NaomidefeatDamage CTRL(Asuka,Dakota Kai&Kairi Sane)WWE Live- House Show @ Unipol Arena in Bologna, Italien",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
49,21.04.2024,,"Bianca Belair,Jade Cargill&NaomidefeatDamage CTRL(Asuka,Dakota Kai&Kairi Sane)WWE Sunday Stunner- House Show @ Allen County War Memorial Coliseum in Fort Wayne, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
50,20.04.2024,,"Bianca Belair,Jade Cargill&NaomidefeatDamage CTRL(Asuka,Dakota Kai&Kairi Sane)WWE Saturday Night's Main Event- House Show @ Erie Insurance Arena in Erie, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
51,06.04.2024,,"Bianca Belair,Jade Cargill&NaomidefeatDamage CTRL(Asuka,Dakota Kai&Kairi Sane) (8:03)WWE WrestleMania XL - Saturday- Premium Live Event @ Lincoln Financial Field in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
52,01.04.2024,,"Damage CTRL(Asuka,Dakota Kai&Kairi Sane) defeatShayna Baszler,Tegan Nox&Zoey Stark(9:00)WWE Monday Night RAW #1610- TV-Show @ Barclays Center in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
53,31.03.2024,,"Bianca Belair,Michin&Zelina VegadefeatDamage CTRL(Dakota Kai,IYO SKY&Kairi Sane)WWE Road To WrestleMania- House Show @ War Memorial Arena in Syracuse, New York, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
54,30.03.2024,,"Bianca Belair,Michin&Zelina VegadefeatDamage CTRL(Dakota Kai,IYO SKY&Kairi Sane)WWE Road To WrestleMania- House Show @ SNHU Arena in Manchester, New Hampshire, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
55,24.03.2024,,"Becky Lynch,Bianca Belair&NaomidefeatDamage CTRL(Dakota Kai,IYO SKY&Kairi Sane)WWE Road To WrestleMania- House Show @ BMO Harris Bank Center in Rockford, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
56,23.03.2024,,"Becky Lynch,Bianca Belair&NaomidefeatDamage CTRL(Dakota Kai,IYO SKY&Kairi Sane)WWE Road To WrestleMania- House Show @ Bank Of Springfield Center in Springfield, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
57,17.03.2024,,"Bianca Belair&NaomidefeatDamage CTRL(IYO SKY&Kairi Sane)WWE Road To WrestleMania- House Show @ North Charleston Coliseum in North Charleston, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
58,16.03.2024,,"Bianca Belair&NaomidefeatDamage CTRL(IYO SKY&Kairi Sane)WWE Road To WrestleMania- House Show @ James Brown Arena in Augusta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
59,11.03.2024,,"WWE Women's Tag Team Title:The Kabuki Warriors(Asuka&Kairi Sane) (c) defeatShayna Baszler&Zoey Stark(10:20)WWE Monday Night RAW #1607- TV-Show @ Toyota Center in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
60,10.03.2024,,"Bianca Belair,Naomi&Zelina VegadefeatDamage CTRL(Asuka,IYO SKY&Kairi Sane)WWE Road To WrestleMania- House Show @ Cajundome in Lafayette, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
61,09.03.2024,,"Bianca Belair,Naomi&Zelina VegadefeatDamage CTRL(Asuka,IYO SKY&Kairi Sane)WWE Road To WrestleMania- House Show @ Rapides Coliseum in Alexandria, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
62,05.03.2024,,"WWE Women's Tag Team Title:The Kabuki Warriors(Asuka&Kairi Sane) (c) defeatLyra Valkyria&Tatum Paxley(13:14)WWE NXT #723 - Roadblock 2024- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/1/17/Damage_CTRL%2C_WrestleMania_XL_2024.jpg
