date,event,result,location,image_url
1,07.04.2019,,"Baron CorbindefeatsKurt Angle(6:05)WWE WrestleMania 35- Premium Live Event @ MetLife Stadium in East Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Bronze_medal_icon_%28B_initial%29.svg
2,26.03.2019,,"AJ Stylesvs.Kurt Angle- No Contest (2:33)WWE SmackDown Live #1023- TV-Show @ Mohegan Sun Arena in Uncasville, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Bronze_medal_icon_%28B_initial%29.svg
3,25.03.2019,,"Kurt AngledefeatsSamoa Joe(8:57)WWE Monday Night RAW #1348- TV-Show @ TD Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Bronze_medal_icon_%28B_initial%29.svg
4,18.03.2019,,"Kurt AngledefeatsChad Gable(12:20)WWE Monday Night RAW #1347- TV-Show @ Allstate Arena in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Bronze_medal_icon_%28B_initial%29.svg
5,11.03.2019,,"Kurt AngledefeatsApollo Crews(3:00)WWE Monday Night RAW #1346- TV-Show @ PPG Paints Arena in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Bronze_medal_icon_%28B_initial%29.svg
6,04.03.2019,,"Baron Corbin,Bobby Lashley&Drew McIntyredefeatBraun Strowman,Finn Balor&Kurt Angle(14:40)WWE Monday Night RAW #1345- TV-Show @ Wells Fargo Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Bronze_medal_icon_%28B_initial%29.svg
7,25.02.2019,,"Kurt AngledefeatsJinder Mahal(3:03)WWE Monday Night RAW #1344- TV-Show @ State Farm Arena in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Bronze_medal_icon_%28B_initial%29.svg
8,11.02.2019,,"Braun Strowman,Finn Balor&Kurt AngledefeatBaron Corbin,Bobby Lashley&Drew McIntyreWWE Monday Night RAW #1342- TV-Show @ Van Andel Arena in Grand Rapids, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Bronze_medal_icon_%28B_initial%29.svg
9,04.02.2019,,"Baron Corbin&Drew McIntyredefeatBraun Strowman&Kurt Angleby DQ (12:15)WWE Monday Night RAW #1341- TV-Show @ Moda Center in Portland, Oregon, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Bronze_medal_icon_%28B_initial%29.svg
10,28.01.2019,,"Baron CorbindefeatsKurt Angle(3:55)WWE Monday Night RAW #1340- TV-Show @ Talking Stick Resort Arena in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Bronze_medal_icon_%28B_initial%29.svg
