date,event,result,location,image_url
1,31.05.2021,,"Dana Brooke&Mandy RosedefeatLana&Naomi(3:45)WWE Monday Night RAW #1462- TV-Show @ WWE ThunderDome (Yuengling Center) in Tampa, Florida, USA",
2,17.05.2021,,"Lana&NaomidefeatDana Brooke&Mandy Rose(6:01)WWE Main Event #451- Online Stream @ WWE ThunderDome (Yuengling Center) in Tampa, Florida, USA",
3,03.05.2021,,"WWE Women's Tag Team Title:Nia Jax&Shayna Baszler(c) defeatLana&Naomi(2:00)WWE Monday Night RAW #1458- TV-Show @ WWE ThunderDome (Yuengling Center) in Tampa, Florida, USA",
4,26.04.2021,,"Nia Jax,Rhea Ripley&Shayna BaszlerdefeatAsuka,Lana&Naomi(11:35)WWE Monday Night RAW #1457- TV-Show @ WWE ThunderDome (Yuengling Center) in Tampa, Florida, USA",
5,19.04.2021,,"Lana&NaomidefeatNia Jax&Shayna Baszler(4:25)WWE Monday Night RAW #1456- TV-Show @ WWE ThunderDome (Yuengling Center) in Tampa, Florida, USA",
6,10.04.2021,,"WWE Women's Tag Team Title#1 Contendership Tag Team Turmoil:Natalya&TaminadefeatBillie Kay&CarmellaandDana Brooke&Mandy RoseandLana&NaomiandThe Riott Squad(Liv Morgan&Ruby Riott) (14:05)WWE WrestleMania 37 - Tag 1- Premium Live Event @ Raymond James Stadium in Tampa, Florida, USA",
7,15.03.2021,,"Dana Brooke&Mandy RosedefeatLana&Naomi(4:30)WWE Monday Night RAW #1451- TV-Show @ WWE ThunderDome (Tropicana Field) in St. Petersburg, Florida, USA",
8,08.03.2021,,"WWE Women's Tag Team Title:Nia Jax&Shayna Baszler(c) defeatLana&Naomi(8:00)WWE Monday Night RAW #1450- TV-Show @ WWE ThunderDome (Tropicana Field) in St. Petersburg, Florida, USA",
9,22.02.2021,,"Lana&NaomidefeatDana Brooke&Mandy Rose(1:35)WWE Monday Night RAW #1448- TV-Show @ WWE ThunderDome (Tropicana Field) in St. Petersburg, Florida, USA",
10,15.02.2021,,"Shayna BaszlerdefeatsLana(4:20)WWE Monday Night RAW #1447- TV-Show @ WWE ThunderDome (Tropicana Field) in St. Petersburg, Florida, USA",
11,08.02.2021,,"Tables:LanadefeatsNia Jax(4:45)WWE Monday Night RAW #1446- TV-Show @ WWE ThunderDome (Tropicana Field) in St. Petersburg, Florida, USA",
12,01.02.2021,,"WWE Women's Tag Team Title#1 Contendership Triple Threat:Lana&NaomidefeatAsuka&Charlotte FlairandDana Brooke&Mandy Rose(11:05)WWE Monday Night RAW #1445- TV-Show @ WWE ThunderDome (Tropicana Field) in St. Petersburg, Florida, USA",
13,31.01.2021,,"Royal Rumble:Bianca BelairdefeatsAlexa BlissandAlicia FoxandBayleyandBillie KayandCarmellaandCharlotte FlairandDakota KaiandDana BrookeandEmber MoonandJillian HallandLacey EvansandLanaandLiv MorganandMandy RoseandMickie JamesandNaomiandNatalyaandNia JaxandNikki CrossandPeyton RoyceandRhea RipleyandRuby RiottandSantana GarrettandShayna BaszlerandShotzi BlackheartandTaminaandToni StormandTorrie WilsonandVictoria(58:48)WWE Royal Rumble 2021- Premium Live Event @ WWE ThunderDome (Tropicana Field) in St. Petersburg, Florida, USA",
14,14.12.2020,,"LanadefeatsNia Jax(1:45)WWE Monday Night RAW #1438- TV-Show @ WWE ThunderDome (Tropicana Field) in St. Petersburg, Florida, USA",
15,30.11.2020,,"Asuka&LanadefeatNia Jax&Shayna Baszler(9:20)WWE Monday Night RAW #1436- TV-Show @ WWE ThunderDome (Amway Center) in Orlando, Florida, USA",
16,23.11.2020,,"Asuka&LanadefeatNia Jax&Shayna Baszler(6:50)WWE Monday Night RAW #1435- TV-Show @ WWE ThunderDome (Amway Center) in Orlando, Florida, USA",
17,23.11.2020,,"WWE RAW Women's Title:Asuka(c) vs.Lana- No Contest (1:05)WWE Monday Night RAW #1435- TV-Show @ WWE ThunderDome (Amway Center) in Orlando, Florida, USA",
18,22.11.2020,,"RAW vs. SmackDown Elimination:Team RAW (Lacey Evans,Lana,Nia Jax,Peyton Royce&Shayna Baszler) defeat Team SmackDown (Bayley,Bianca Belair,Liv Morgan,Natalya&Ruby Riott) (23:21)WWE Survivor Series 2020 - Best Of The Best- Premium Live Event @ WWE ThunderDome (Amway Center) in Orlando, Florida, USA",
19,16.11.2020,,"Asuka,Dana Brooke&Mandy RosedefeatLana,Nia Jax&Shayna Baszler(7:00)WWE Monday Night RAW #1434- TV-Show @ WWE ThunderDome (Amway Center) in Orlando, Florida, USA",
20,09.11.2020,,"Shayna BaszlerdefeatsLana(1:50)WWE Monday Night RAW #1433- TV-Show @ WWE ThunderDome (Amway Center) in Orlando, Florida, USA",
21,02.11.2020,,"Nia JaxdefeatsLana(3:10)WWE Monday Night RAW #1432- TV-Show @ WWE ThunderDome (Amway Center) in Orlando, Florida, USA",
22,26.10.2020,,"Survivor Series Qualifying Fatal Four Way:LanadefeatsLacey EvansandNikki CrossandPeyton Royce(8:00)WWE Monday Night RAW #1431- TV-Show @ WWE ThunderDome (Amway Center) in Orlando, Florida, USA",
23,19.10.2020,,"WWE RAW Women's Title:Asuka(c) defeatsLana(2:15)WWE Monday Night RAW #1430- TV-Show @ WWE ThunderDome (Amway Center) in Orlando, Florida, USA",
24,12.10.2020,,"Dana Brooke&Mandy RosedefeatLana&Natalya(3:40)WWE Monday Night RAW #1429 - Draft 2020- TV-Show @ WWE ThunderDome (Amway Center) in Orlando, Florida, USA",
25,12.10.2020,,"WWE RAW Women's Title#1 Contendership Battle Royal:LanadefeatsBianca BelairandBillie KayandDana BrookeandLacey EvansandLiv MorganandMandy RoseandNatalyaandNia JaxandNikki CrossandPeyton RoyceandRuby RiottandShayna BaszlerandTamina(11:25)WWE Monday Night RAW #1429 - Draft 2020- TV-Show @ WWE ThunderDome (Amway Center) in Orlando, Florida, USA",
26,05.10.2020,,"Asuka,Dana Brooke&Mandy RosedefeatLana,Natalya&Zelina Vega(4:50)WWE Monday Night RAW #1428- TV-Show @ WWE ThunderDome (Amway Center) in Orlando, Florida, USA",
27,28.09.2020,,"Dana Brooke&Mandy RosedefeatLana&Natalya(3:05)WWE Monday Night RAW #1427- TV-Show @ WWE ThunderDome (Amway Center) in Orlando, Florida, USA",
28,21.09.2020,,"Nia Jax&Shayna BaszlerdefeatLana&Natalya(1:00)WWE Monday Night RAW #1426- TV-Show @ WWE ThunderDome (Amway Center) in Orlando, Florida, USA",
29,14.09.2020,,"The Riott Squad(Liv Morgan&Ruby Riott) defeatLana&Natalya(1:16)WWE Monday Night RAW #1425- TV-Show @ WWE ThunderDome (Amway Center) in Orlando, Florida, USA",
30,07.09.2020,,"Asuka&Mickie JamesdefeatLana&Natalya(4:49)WWE Monday Night RAW #1424- TV-Show @ WWE ThunderDome (Amway Center) in Orlando, Florida, USA",
31,31.08.2020,,"Mickie JamesdefeatsLana(2:30)WWE Monday Night RAW #1423- TV-Show @ WWE ThunderDome (Amway Center) in Orlando, Florida, USA",
32,23.02.2020,,"Liv MorgandefeatsLanaWWE Live- House Show @ Westoba Place in Brandon, Manitoba, Canada",
33,16.02.2020,,"Mixed:Liv Morgan&RusevdefeatBobby Lashley&LanaWWE Live- House Show @ Toyota Center in Kennewick, Washington, USA",
