date,event,result,location,image_url
1,26.08.2025,,"Blindfold:Lexis KingdefeatsMyles Borne(4:51)WWE NXT #800- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/c1/Brian_Pillman_Jr%2C_2020_%28cropped%29.jpg
2,22.08.2025,,"Blindfold:Myles BornedefeatsLexis KingWWE NXT Live- House Show @ Lakeland Armory in Lakeland, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/c1/Brian_Pillman_Jr%2C_2020_%28cropped%29.jpg
3,09.08.2025,,"Blindfold:Lexis KingdefeatsMyles BorneWWE NXT Live- House Show @ Venice Community Center in Venice, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/c1/Brian_Pillman_Jr%2C_2020_%28cropped%29.jpg
4,05.08.2025,,"Myles BornedefeatsLexis King(9:30)WWE NXT #797- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/c1/Brian_Pillman_Jr%2C_2020_%28cropped%29.jpg
5,18.07.2025,,"Myles Borne&Tavion HeightsdefeatHarlem Lewis&Lexis KingWWE NXT Live- House Show @ Alan Jay Arena in Sebring, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/c1/Brian_Pillman_Jr%2C_2020_%28cropped%29.jpg
6,24.06.2025,,"Myles BornedefeatsLexis King(4:38)WWE NXT #792- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/c1/Brian_Pillman_Jr%2C_2020_%28cropped%29.jpg
7,13.06.2025,,"WWE NXT Tag Team Title:Hank And Tank(Hank Walker&Tank Ledger) (c) defeatLexis King&Trick WilliamsWWE NXT Live- House Show @ Lakeland Armory in Lakeland, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/c1/Brian_Pillman_Jr%2C_2020_%28cropped%29.jpg
8,03.06.2025,,"WWE Speed Title#1 Contendership Tournament Semi Final:Noam DardefeatsLexis King(2:43)WWE Speed #77- Online Stream @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/c1/Brian_Pillman_Jr%2C_2020_%28cropped%29.jpg
9,02.06.2025,,"DarkWWE Speed Title#1 Contendership Tournament Semi Final:Joaquin Wildevs.Lexis King- No ContestWWE Speed #77- Dark Match @ Tulsa, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/c/c1/Brian_Pillman_Jr%2C_2020_%28cropped%29.jpg
10,31.05.2025,,"Noam DardefeatsLexis KingWWE NXT Live- House Show @ Citrus Springs Community Center in Citrus Springs, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/c1/Brian_Pillman_Jr%2C_2020_%28cropped%29.jpg
11,16.05.2025,,"Lexis KingdefeatsShiloh HillWWE NXT Live- House Show @ Lakeland Armory in Lakeland, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/c1/Brian_Pillman_Jr%2C_2020_%28cropped%29.jpg
12,06.05.2025,,"WWE NXT Title#1 Contendership Battle Royal:Myles BornedefeatsAshante AdonisandBrad BaylorandBrooks JensenandCharlie DempseyandChris IslandandElijahandEthan PageandJe'Von EvansandJosh BriggsandLexis KingandNiko VanceandRicky SmokesandRidge HollandandSean LegacyandShawn SpearsandShiloh HillandTavion HeightsandTimothy ThatcherandTrick WilliamsandTyriek IgweandTyson DupontandWes LeeandYoshiki InamuraandZachary Wentz(23:03)WWE NXT #784- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/c1/Brian_Pillman_Jr%2C_2020_%28cropped%29.jpg
13,29.04.2025,,"WWE NXT North American Title:Ricky Saints(c) defeatsLexis King(8:25)WWE NXT #783- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/c1/Brian_Pillman_Jr%2C_2020_%28cropped%29.jpg
14,25.04.2025,,"Lexis KingdefeatsShiloh HillWWE NXT Live- House Show @ Dade City Armory in Dade City, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/c1/Brian_Pillman_Jr%2C_2020_%28cropped%29.jpg
15,22.04.2025,,"WWE NXT Heritage Cup Title:Noam DardefeatsLexis King(c) (4:02) -TITLE CHANGE !!!WWE NXT #782- TV-Show @ BleauLive Theater in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/c/c1/Brian_Pillman_Jr%2C_2020_%28cropped%29.jpg
16,17.04.2025,,"Lexis KingdefeatsBrooks JensenWWE World At WrestleMania 41 - Tag 1- Event @ Las Vegas Convention Center in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/c/c1/Brian_Pillman_Jr%2C_2020_%28cropped%29.jpg
17,15.04.2025,,"WWE NXT North American Title#1 Contendership Fatal Four Way:Ethan PagedefeatsEddy ThorpeandLexis KingandWes Lee(12:20)WWE NXT #781- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/c1/Brian_Pillman_Jr%2C_2020_%28cropped%29.jpg
18,04.04.2025,,"Lexis KingdefeatsSean Legacy(11:36)WWE EVOLVE #11- Online Stream @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/c1/Brian_Pillman_Jr%2C_2020_%28cropped%29.jpg
19,25.03.2025,,"WWE NXT Heritage Cup Title:Lexis King(c) defeatsJe'Von Evansby Count Out (10:41)WWE NXT #778- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/c1/Brian_Pillman_Jr%2C_2020_%28cropped%29.jpg
20,21.03.2025,,"Lexis KingdefeatsChanning LorenzoWWE NXT Live- House Show @ Melbourne Auditorium in Melbourne, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/c1/Brian_Pillman_Jr%2C_2020_%28cropped%29.jpg
