date,event,result,location,image_url
1,01.04.2023,,"Becky Lynch,Lita&Trish StratusdefeatDamage CTRL(Bayley,Dakota Kai&IYO SKY) (14:38)WWE WrestleMania 39 - Saturday- Premium Live Event @ SoFi Stadium in Inglewood, California, USA",
2,27.02.2023,,"WWE Women's Tag Team Title:Becky Lynch&LitadefeatDamage CTRL(Dakota Kai&IYO SKY) (c) (13:25) -TITLE CHANGE !!!WWE Monday Night RAW #1553- TV-Show @ Van Andel Arena in Grand Rapids, Michigan, USA",
3,19.02.2022,,"WWE RAW Women's Title:Becky Lynch(c) defeatsLita(12:19)WWE Elimination Chamber 2022- Premium Live Event @ Jeddah Super Dome in Jeddah, Saudi-Arabien",
4,29.01.2022,,"Royal Rumble:Ronda RouseydefeatsAlicia FoxandAliyahandBianca BelairandBrie BellaandCameronandCarmellaandCharlotte FlairandDana BrookeandIvoryandKelly KellyandLitaandLiv MorganandMelinaandMichelle McCoolandMickie JamesandMolly HollyandNaomiandNatalyaandNikki ASHandNikki BellaandQueen ZelinaandRhea RipleyandSarah LoganandSasha BanksandShayna BaszlerandShotziandSonya DevilleandSummer RaeandTamina(59:42)WWE Royal Rumble 2022- Premium Live Event @ The Dome At America's Center in St. Louis, Missouri, USA",
5,29.10.2018,,"Bayley,Lita,Natalya,Sasha Banks&Trish StratusdefeatAlicia Fox,Mickie James&The Riott Squad(Liv Morgan,Ruby Riott&Sarah Logan) (13:24)WWE Monday Night RAW #1327- TV-Show @ Spectrum Center in Charlotte, North Carolina, USA",
6,28.10.2018,,"Lita&Trish StratusdefeatAlicia Fox&Mickie James(11:03)WWE Evolution 2018- Premium Live Event @ Nassau Veterans Memorial Coliseum in Uniondale, New York, USA",
7,18.02.2018,,"Angelica&Lauren La Rouxdefeat Dimitri Krakovic &ValkyriePWU Live At The Compound- Event @ South13 in Belfast, Northern Ireland, UK",
8,28.01.2018,,"Royal Rumble:AsukadefeatsBayleyandBecky LynchandBeth PhoenixandBrie BellaandCarmellaandDana BrookeandEmber MoonandJacquelineandKairi SaneandKelly KellyandLanaandLitaandLiv MorganandMandy RoseandMichelle McCoolandMickie JamesandMolly HollyandNaomiandNatalyaandNia JaxandNikki BellaandRuby RiottandSarah LoganandSasha BanksandSonya DevilleandTaminaandTorrie WilsonandTrish StratusandVickie Guerrero(59:00)WWE Royal Rumble 2018- Premium Live Event @ Wells Fargo Center in Philadelphia, Pennsylvania, USA",
9,03.03.2017,,"The Hell Cats(Jimmy Starz&Sexy Steve),Lita&The Bruiserdefeat Andy Vineberg,Jeremiah,Rayo&Sean StuddMCW Mat Madness- Event @ MCW Arena in Joppa, Maryland, USA",
10,23.07.2012,,"No Disqualification:LitadefeatsHeath Slater(1:53)WWE Monday Night RAW #1000- TV-Show @ Scottrade Center in St. Louis, Missouri, USA",
11,20.04.2007,,"Mixed:Amy Dumas&Jerry LynndefeatAustin Starr&Christy HemmeUWF- Event @ Colonial Harley Davidson/Buell in Prince George, Virginia, USA",
12,26.11.2006,,"WWE Women's Title:Mickie JamesdefeatsLita(c) (8:20) -TITLE CHANGE !!!WWE Survivor Series 2006- Pay Per View @ Wachovia Center in Philadelphia, Pennsylvania, USA",
13,20.11.2006,,"Mickie Is Blindfolded:LitadefeatsMickie James(1:20)WWE Monday Night RAW #704- TV-Show @ First Mariner Arena in Baltimore, Maryland, USA",
14,14.11.2006,,"(Special Referee: Candice Michelle):Mickie James&Torrie WilsondefeatLita&VictoriaWWE Road To Survivor Series Tour 2006 - Tag 12- House Show @ Aberdeen, Scotland, UK",
15,13.11.2006,,"Mickie Has Her Legs Tied Together:Mickie JamesdefeatsLita(2:59)WWE Monday Night RAW #703- TV-Show @ Manchester Evening News Arena in Manchester, England, UK",
16,12.11.2006,,"(Special Referee: Candice Michelle):Mickie James&Torrie WilsondefeatLita&VictoriaWWE Road To Survivor Series Tour 2006 - Tag 9- House Show @ NEC Arena in Birmingham, West Midlands, England, UK",
17,11.11.2006,,"(Special Referee: Torrie Wilson):Candice Michelle&Mickie JamesdefeatLita&VictoriaWWE Road To Survivor Series Tour 2006 - Tag 7- House Show @ Arena At Butlins in Minehead, England, UK",
18,09.11.2006,,"Mickie James&Torrie WilsondefeatLita&VictoriaWWE Road To Survivor Series Tour 2006 - Tag 4- House Show @ Metro Radio Arena in Newcastle Upon Tyne, Tyne And Wear, England, UK",
19,06.11.2006,,"WWE Women's Title:Lita(c) defeatsMickie James(1:27)WWE Monday Night RAW #702- TV-Show @ Nationwide Arena in Columbus, Ohio, USA",
20,05.11.2006,,"WWE Women's TitleTournament Final Lumberjack Match (vakant):LitadefeatsMickie James(8:10) -TITLE CHANGE !!!WWE Cyber Sunday 2006- Pay Per View @ U.S. Bank Arena in Cincinnati, Ohio, USA",
21,30.10.2006,,"WWE Women's TitleTournament Semi Final:LitadefeatsMaria(2:19)WWE Monday Night RAW #701- TV-Show @ The MARK of the Quad Cities in Moline, Illinois, USA",
22,14.10.2006,,"Mickie JamesdefeatsLitaWWE RAW House Show- House Show @ Lawlor Events Center in Reno, Nevada, USA",
23,25.09.2006,,"No Holds Barred Cena Has One Hand Tied Behind His Back:John CenadefeatsLita(1:00)WWE Monday Night RAW #696- TV-Show @ Ford Center in Oklahoma City, Oklahoma, USA",
24,25.09.2006,,"WWE Women's TitleTournament First Round Match (Special Referee: Edge):LitadefeatsCandice Michelle(0:28)WWE Monday Night RAW #696- TV-Show @ Ford Center in Oklahoma City, Oklahoma, USA",
25,22.09.2006,,"Mickie JamesdefeatsLitaWWE RAW House Show- House Show @ Plaza de Toros in Tijuana, Baja California, Mexiko",
26,21.09.2006,,"Match (Special Referee: Val Venis):Mickie JamesdefeatsLitaWWE RAW House Show- House Show @ Plaza Monumental in Guadalajara, Jalisco, Mexiko",
27,20.09.2006,,"Match (Special Referee: Val Venis):Mickie JamesdefeatsLitaWWE RAW House Show- House Show @ Palacio de los Deportes in Mexico City, Distrito Federal, Mexiko",
28,18.09.2006,,"Candice MichelledefeatsLita(5:44)WWE Monday Night RAW #695- TV-Show @ Bell Centre in Montreal, Quebec, Canada",
29,17.09.2006,,"WWE Women's Title:Trish StratusdefeatsLita(c) (11:35) -TITLE CHANGE !!!WWE Unforgiven 2006- Pay Per View @ Air Canada Centre in Toronto, Ontario, Canada",
30,10.09.2006,,"WWE Women's Title:Lita(c) defeatsTorrie WilsonWWE RAW House Show- House Show @ Sovereign Bank Arena in Trenton, New Jersey, USA",
31,09.09.2006,,"WWE Women's Title:Lita(c) defeatsTorrie WilsonWWE RAW House Show- House Show @ Germain Center in Fort Myers, Florida, USA",
32,08.09.2006,,"WWE Women's Title:Lita(c) defeatsTorrie WilsonWWE RAW House Show- House Show @ St. Pete Times Forum in Tampa, Florida, USA",
33,04.09.2006,,"Edge,Lita&Randy OrtondefeatCarlito,John Cena&Trish Stratus(14:54)WWE Monday Night RAW #693- TV-Show @ Philips Arena in Atlanta, Georgia, USA",
34,28.08.2006,,"WWE Women's Title:Lita(c) defeatsMickie James(3:30)WWE Monday Night RAW #692- TV-Show @ Atlantic City Boardwalk Hall in Atlantic City, New Jersey, USA",
35,27.08.2006,,"WWE Women's Title:Lita(c) defeatsTrish StratusWWE RAW House Show- House Show @ Events Center in Erie, Pennsylvania, USA",
36,26.08.2006,,"WWE Women's Title:Lita(c) defeatsTrish StratusWWE RAW House Show- House Show @ Chevrolet Centre in Youngstown, Ohio, USA",
