date,event,result,location,image_url
1,30.11.2024,,"Low KidefeatsNinja MackNHPW Final Chapter 15- Event @ Cockburn Youth Centre in Success, Western Australia, Australia",https://upload.wikimedia.org/wikipedia/commons/3/35/BOLA2008.jpg
2,04.10.2024,,"Triple Threat:2 Cold ScorpiodefeatsLow KiandNinja Mack(11:04)VIP Setting The Bar 2024: 10 Year Anniversary- Online Stream @ St. Jude Hall in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/BOLA2008.jpg
3,03.08.2024,,"Match (Special Referee: Tommy Trouble):Low KidefeatsMegaECWA Night Of Legends- Event @ Boys & Girls Club Of Newark in Newark, Delaware, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/BOLA2008.jpg
4,13.04.2024,,"WXW Heavyweight Title:Vertigo Rivera(c) defeatsLow Ki(19:06)WXW Grand Finale- Event @ Minneola City Hall in Minneola, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/BOLA2008.jpg
5,15.09.2023,,"El Hijo del VikingodefeatsLow Ki(19:13)HOG Fallout- Online Stream @ NYC Arena in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/BOLA2008.jpg
6,26.08.2023,,"Minoru SuzukidefeatsLow KiNHPW Crossroads 2023- Event @ Cockburn Youth Centre in Success, Western Australia, Australia",https://upload.wikimedia.org/wikipedia/commons/3/35/BOLA2008.jpg
7,10.06.2023,,"Bobby FishdefeatsLow Ki(18:42)River City Wrestling Convention Show - Tag 1- Event @ Jacksonville Fairgrounds in Jacksonville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/BOLA2008.jpg
8,10.03.2023,,"KUSHIDAdefeatsLow Ki(16:04)HOG With Glory Comes Pride 2023- Pay Per View @ NYC Arena in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/BOLA2008.jpg
9,03.02.2023,,"Low KidefeatsEvander James(9:57)HOG The Beginning- Pay Per View @ NYC Arena in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/BOLA2008.jpg
10,17.12.2022,,"KENTAvs.Low Ki- No Contest (23:30)HOG Revelations- Pay Per View @ La Boom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/BOLA2008.jpg
11,03.12.2022,,"The Strong Style Thugs(Homicide&Low Ki) defeatCameron Stone&Jagger StevensNHPW Final Chapter 13- Event @ Matamata-Piako Civic And Memorial Centre in Matamata, Waikato, New Zealand",https://upload.wikimedia.org/wikipedia/commons/3/35/BOLA2008.jpg
12,29.10.2022,,"Shingo TakagidefeatsLow Ki(18:13)HOG Exodus- Pay Per View @ La Boom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/BOLA2008.jpg
