date,event,result,location,image_url
1,06.09.2025,,"Konosuke TakeshitadefeatsMark Briscoe(17:54)AEW Collision #109- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/2/2f/Briscoeslive.jpg
2,03.09.2025,,"Mark BriscoedefeatsLance Archer(8:00)AEW Dynamite #309- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/2/2f/Briscoeslive.jpg
3,06.08.2025,,"MJFdefeatsMark Briscoe(17:27)AEW Dynamite #305- TV-Show @ Wolstein Center in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/2/2f/Briscoeslive.jpg
4,30.07.2025,,"Mark BriscoedefeatsRicochet(13:49)AEW Dynamite #304- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/2/2f/Briscoeslive.jpg
5,23.07.2025,,"Mark BriscoedefeatsClaudio Castagnoli(13:43)AEW Dynamite #303- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/2/2f/Briscoeslive.jpg
6,16.07.2025,,"Adam Page,Mark Briscoe&Powerhouse HobbsdefeatDeath Riders(Claudio Castagnoli,Jon Moxley&Wheeler Yuta) (17:43)AEW Dynamite #302- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/2/2f/Briscoeslive.jpg
7,12.07.2025,,"Casino Gauntlet:MJFdefeatsAnthony BowensandBandidoandBrody KingandJosh AlexanderandJuice RobinsonandKonosuke TakeshitaandKota IbushiandMark BriscoeandMax CasterandMisticoandRicochetandRoderick StrongandThe Beast Mortos(34:52)AEW All In Texas- Pay Per View @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/2/2f/Briscoeslive.jpg
8,02.07.2025,,"Mistico&The Conglomeration(Hologram&Mark Briscoe) defeatThe Don Callis Family(Hechicero,Rocky Romero&Trent Beretta) (10:08)AEW Collision #100- TV-Show @ Toyota Arena in Ontario, California, USA",https://upload.wikimedia.org/wikipedia/commons/2/2f/Briscoeslive.jpg
9,25.06.2025,,"Men's Casino Gauntlet #1 Spot Four Way:Mark BriscoedefeatsBandidoandKonosuke TakeshitaandRoderick Strong(11:05)AEW Dynamite #299- TV-Show @ accesso ShoWare Center in Kent, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/2/2f/Briscoeslive.jpg
10,21.06.2025,,"Mixed:The Conglomeration(Hologram,Mark Briscoe&Willow Nightingale) defeatMxM Collection(Mansoor&Mason Madden) &Taya Valkyrie(8:29)AEW Collision #98- TV-Show @ accesso ShoWare Center in Kent, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/2/2f/Briscoeslive.jpg
