date,event,result,location,image_url
1,11.09.2025,,"Shane Taylor Promotions(Carlie Bravo,Shane Taylor&Shawn Dean) defeatAR Fox&The Kingdom(Matt Taven&Mike Bennett)ROH TV Taping- Event @ 2300 Arena in Philadelphia, Pennsylvania, USA",
2,30.08.2025,,"AR Fox&The Kingdom(Matt Taven&Mike Bennett) defeatThe Frat House(Cole Karter,Griff Garrison&Preston Vance) (6:50)ROH YouTube Special Episode #2- Online Stream @ 2300 Arena in Philadelphia, Pennsylvania, USA",
3,29.08.2025,,"The Swirl(Blake Christian&Lee Johnson) defeatThe Kingdom(Matt Taven&Mike Bennett) (11:22)ROH Death Before Dishonor 2025- Online Stream @ 2300 Arena in Philadelphia, Pennsylvania, USA",
4,24.08.2025,,"J Fowlervs.Mike Bennett- Time Limit DrawLPW Sunday Special- Event @ Tama Eagles Club in Tama, Iowa, USA",
5,23.08.2025,,"Midwest Title:Slade Wolfborn(c) defeatsMike BennettLPW Pavilion Punishment- Event @ Dueland Pavilion in Nevada, Iowa, USA",
6,21.06.2025,,"The Kingdom(Matt Taven&Mike Bennett) defeatThe Crucible(Brixton Nash&Jameson McGregor) (15:11)Magnum Hot Magnum Nights- Online Stream @ German-American Society in Omaha, Nebraska, USA",
7,03.05.2025,,"Top Flight(Dante Martin&Darius Martin) &The Kingdom(Matt Taven&Mike Bennett) defeatThe Infantry(Carlie Bravo&Shawn Dean) &Grizzled Young Veterans(James Drake&Zack Gibson) (8:56)ROH on HonorClub #121- Online Stream @ Adrian Phillips Theater At Boardwalk Hall in Atlantic City, New Jersey, USA",
8,12.04.2025,,"The Premier Athletes(Ariya Daivari&Tony Nese) &The Righteous(Dutch&Vincent) defeatSpanish Announce Project(Angelico&Serpentico) &The Kingdom(Matt Taven&Mike Bennett) (8:13)ROH on HonorClub #113- Online Stream @ MassMutual Center in Springfield, Massachusetts, USA",
9,15.03.2025,,"The Jet Setters(Kevin Knight&KUSHIDA) defeatThe Kingdom(Matt Taven&Mike Bennett) (20:52)MLP Mayhem - Tag 2- Pay Per View @ St. Clair College SportsPlex in Windsor, Ontario, Canada",
10,14.03.2025,,"Mike BennettdefeatsAlex Zayne(14:32)MLP Mayhem - Tag 1- Pay Per View @ St. Clair College SportsPlex in Windsor, Ontario, Canada",
11,28.02.2025,,"Bruss Hamilton&Sean LogandefeatHartenbower&Mike Bennett(7:42)AAW Epic: The 21 Year Anniversary Event- Online Stream @ Berwyn Eagles Club in Berwyn, Illinois, USA",
12,31.01.2025,,"Mike BennettdefeatsAce Perry(9:40)AAW Chi-Town Rumble 2025- Online Stream @ Berwyn Eagles Club in Berwyn, Illinois, USA",
