date,event,result,location,image_url
1,09.09.2025,,"Best Two Out Of Three Falls:Esfinge,Mistico&Star Jr.defeatHechicero&Los Hermanos Chavez(Angel de Oro&Niebla Roja) [2:1] (17:56)CMLL Martes Populares- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
2,08.09.2025,,"Best Two Out Of Three Falls:Atlantis Jr.&El Sky Team(Mistico&Neon) defeatDifunto&Los Hermanos Chavez(Angel de Oro&Niebla Roja) by DQ [2:1]CMLL Lunes Clasico- TV-Show @ Arena Puebla in Heroica Puebla de Zaragoza, Puebla, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
3,07.09.2025,,"Best Two Out Of Three Falls:Atlantis Jr.,Mistico&TitandefeatLos Infernales(Averno,Euforia&Mephisto) [2:1]CMLL Domingo Familiar- Event @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
4,05.09.2025,,"Bandido&MisticodefeatAngel de Oro&Hechicero(20:17)CMLL Viernes Espectacular- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
5,02.09.2025,,"Best Two Out Of Three Falls:Mistico,Templario&TitandefeatAverno,Hechicero&Volador Jr.[2:1] (17:24)CMLL Martes Populares- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
6,01.09.2025,,"Best Two Out Of Three Falls:Atlantis Jr.&El Sky Team(Mistico&Neon) defeatDifunto&Los Hermanos Chavez(Angel de Oro&Niebla Roja) by DQ [2:1]CMLL Lunes Clasico- TV-Show @ Arena Puebla in Heroica Puebla de Zaragoza, Puebla, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
7,30.08.2025,,"Black Maravilla,Blue Panther&MisticodefeatLos Infernales(Averno,Euforia&Mephisto)Lucha Libre ULLO- Event @ Fiestas Santa Rosinas in Mendoza, Veracruz, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
8,29.08.2025,,"Grand Prix Internacional 2025 Torneo Cibernetico:Team Mexico (Angel de Oro,Atlantis Jr.,Difunto,Mascara Dorada,Mistico,Neon,Templario,Titan,Volador Jr.&Zandokan Jr.) defeat Team International (Action Andretti,Donovan Dijak,Lio Rush,Michael Oku,Mike Bailey,Robbie X,Rocky Romero,Taiji Ishimori,The Beast Mortos&TJP) (82:06)CMLL Grand Prix Internacional 2025- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
9,26.08.2025,,"Best Two Out Of Three Falls:El Sky Team(Mascara Dorada,Mistico&Neon) defeatLos Infernales(Averno&Euforia) &Volador Jr.[2:1]CMLL Martes de Glamour- Online Stream @ Arena Coliseo de Guadalajara in Guadalajara, Jalisco, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
10,24.08.2025,,"El Sky Team(Mistico&Neon) defeatAtlantis Jr.&AvernoPanther Promotion- Event @ Arena Coliseo Reynosa in Reynosa, Tamaulipas, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
11,23.08.2025,,"El Sky Team(Mascara Dorada,Mistico&Neon) defeatGaleon Fantasma(Barboza,Difunto&Zandokan Jr.)Furia Promotions- Event @ Cancha German Evers in Mazatlan, Sinaloa, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
12,22.08.2025,,"Best Two Out Of Three Falls:El Sky Team(Mistico&Neon) &TitandefeatLos Guerreros Laguneros(Gran Guerrero,Stuka Jr.&Ultimo Guerrero) [2:1] (18:41)CMLL Viernes Espectacular- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
13,21.08.2025,,"Hologram,The Beast Mortos&Volador Jr.defeatEl Sky Team(Mascara Dorada,Mistico&Neon) (11:20)Indy Wrestling- Event @ Arena Queretaro in Santiago de Queretaro, Queretaro, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
14,17.08.2025,,"Best Two Out Of Three Falls:El Sky Team(Mascara Dorada,Mistico&Neon) defeatBarbaro Cavernario,Dragon Rojo Jr.&Templario[2:1] (24:18)CMLL 6. Aniversario Arena Coliseo Tony Arellano- Event @ Arena Coliseo Tony Arellano in Torreon, Coahuila, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
15,16.08.2025,,"Best Two Out Of Three Falls:Hologram,Mistico&TemplariodefeatThe Beast Mortos,Ultimo Guerrero&Volador Jr.[2:1] (12:19)CMLL Sabados De Coliseo- Online Stream @ Arena Coliseo de Mexico City in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
16,15.08.2025,,"Hologram&MisticodefeatDifunto&The Beast Mortos(12:48)CMLL Viernes Espectacular- Event @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
17,13.08.2025,,"Best Two Out Of Three Falls:Los Hermanos De La Jungla(Aero Panther&Fight Panther Jr.) &MisticodefeatBlaze&Galeon Fantasma(Difunto&Zandokan Jr.) [2:1]CMLL / DTU- Event @ Feria Zacatlan in Zacatlan, Puebla, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
18,12.08.2025,,"Best Two Out Of Three Falls:Atlantis Jr.,Mistico,TitandefeatAverno,Hechicero&Volador Jr.[2:1] (17:09)CMLL Martes De Glamour- Online Stream @ Arena Coliseo Guadalajara in Guadalajara, Jalisco, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
19,10.08.2025,,"Best Two Out Of Three Falls:El Sky Team(Mistico&Neon) defeatLos Hermanos Chavez(Angel de Oro&Niebla Roja) [2:1]Alto Voltaje Verano Volcanico- Event @ Arena Jose Sulaiman in Monterrey, Nuevo Leon, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
20,09.08.2025,,"CMLL World Trios Title:El Sky Team(Mascara Dorada,Mistico&Neon) (c) defeatLos Depredadores(Magnus,Rugido&Volador Jr.) (10:08)ROH on HonorClub #130- Online Stream @ Berglund Center in Roanoke, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
21,08.08.2025,,"Best Two Out Of Three Falls:Atlantis Jr.&El Sky Team(Mascara Dorada&Mistico) defeatAngel de Oro,Difunto&Hechicero[2:1] (18:03)CMLL Viernes Espectacular- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
22,07.08.2025,,"Mixteca Copa Final:Capitan Suicida&MisticodefeatRobin&Zandokan Jr.CMLL Copa Mixteca 2025- Event @ Cancha del Barrio San Bernardino in Izucar de Matamoros, Puebla, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
23,06.08.2025,,"El Sky Team(Mascara Dorada,Mistico&Neon) defeatAdam Priest&The WorkHorsemen(Anthony Henry&JD Drake) (10:41)ROH on HonorClub #131- Online Stream @ Wolstein Center in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
24,05.08.2025,,"Best Two Out Of Three Falls:Mistico,Star Jr.&TitandefeatLos Guerreros Laguneros(Gran Guerrero,Stuka Jr.&Ultimo Guerrero) [2:1] (22:46)CMLL Martes Populares- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
25,04.08.2025,,"Atlantis Jr.,Hijo De Blue Panther&MisticodefeatAnthraxx, Forajido &Niebla RojaCMLL Espectacular Funcion- Event @ Estadio de Beisbol in Palenque, Chiapas, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
26,03.08.2025,,"Best Two Out Of Three Falls:Atlantis Jr.&MisticodefeatMagnus&Niebla Roja[2:1] (26:28)CMLL/PYCV Pago de la Deuda- Online Stream @  Poliforum Zamma in Merida, Yucatan, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
27,02.08.2025,,"Best Two Out Of Three Falls:Dulce Gardenia,Mistico&Ultimo GuerrerodefeatAtlantis Jr.,Averno&Volador Jr.[2:1] (13:40)CMLL El Glamor En Zapopan- Event @ Arena Coliseo en Zapopan in Zapopan, Jalisco, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
28,01.08.2025,,"Lucka Libre Title Three Way Match (vakant):MisticodefeatsBandidoandMascara Dorada(20:16) -TITLE CHANGE !!!Promociones Lucka Libre- Event @ Auditorio de Tijuana in Tijuana, Baja California, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
29,31.07.2025,,"Mistico&TemplariodefeatLos Depredadores(Magnus&Rugido) (21:21)CH Chuletamania 2- Event @ Club de Leones in Veracruz, Veracruz, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
30,30.07.2025,,"El Sky Team(Mascara Dorada&Mistico) defeatBlake Christian&Lee Johnson(10:01)ROH on HonorClub #128- Online Stream @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
31,29.07.2025,,"Relevos Increibles Best Two Out Of Three Falls:El Sky Team(Mistico&Neon) &Ultimo GuerrerodefeatAverno,Hechicero&Volador Jr.[2:1]CMLL Martes De Glamour- Online Stream @ Arena Coliseo Guadalajara in Guadalajara, Jalisco, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/800px-Misticoflickree.jpg
