date,event,result,location,image_url
1,13.09.2025,,"Arisu Endo&Yuki AraidefeatHaru Kazashiro&Miyu Yamashita(12:43)TJPW I Want To Safe Everybody With A Smile ~ Arisu Endo Homecoming Show ~- Online Stream @ Tsurugajo Gymnasium in Aizu-Wakamatsu, Fukushima, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
2,07.09.2025,,"Miyu Yamashita&TogadefeatHaru Kazashiro&Shoko Nakajima(12:24)TJPW Go Girl 6- Online Stream @ Kitazawa Town Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
3,07.09.2025,,"Toga&Yuna ManasedefeatKira Summer&Miyu Yamashita(10:09)TJPW Autumn Victory In Kitazawa- Online Stream @ Kitazawa Town Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
4,30.08.2025,,"Kaya Toribami&Miyu YamashitadefeatMifu Ashida&Yuki Arai(12:53)TJPW Holy Light Ranbu ~ Kyoto Glass Chapter ~- Online Stream @ Kyoto KBS Hall in Kyoto, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
5,23.08.2025,,"DDT Iron Man Heavy Metal TitleDelayed Entry Battle Royal:Juri Suzue defeatsRam Kaicho(c) andChika NanaseandKira SummerandMahiro KiryuandMiyu YamashitaandRakuandShino Suzuki(13:37) -TITLE CHANGE !!!TJPW Tokyo Princess Cup 2025 -  Tag 5- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
6,17.08.2025,,"Jun AkiyamadefeatsMiyu Yamashita(10:49)DDT Osaka vs. Tokyo ~ Dream East vs. West Pro Wrestling Battle 2025 ~- Online Stream @ EDION Arena Osaka #2 in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
7,17.08.2025,,"Rika Tatsumi&Yuki AinodefeatKaya Toribami&Miyu Yamashita(11:14)TJPW Tokyo Princess Cup 2025 - Tag 4- Online Stream @ EDION Arena Osaka #2 in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
8,09.08.2025,,"Tokyo Princess Cup 2025 Second Round:Arisu EndodefeatsMiyu Yamashita(12:30)TJPW Tokyo Princess Cup 2025 - Tag 3- Online Stream @ Shinagawa Grand Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
9,02.08.2025,,"Kakeru Sekiguchi,Kaya Toribami,Mahiro Kiryu&MizukidefeatMifu Ashida,Miyu Yamashita,Toga&Wakana Uehara(10:33)TJPW Tokyo Princess Cup 2025 - Tag 2- Online Stream @ Act City Hamamatsu in Hamamatsu, Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
10,30.07.2025,,"Atticus CogardefeatsMiyu Yamashita(11:17)GCW Japan - Tag 3- Pay Per View @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
11,29.07.2025,,"MAO&YDNP(Alec Price&Jordan Oliver) defeatDark Sheik,Miyu Yamashita&Shotzi Blackheart(15:19)GCW Japan - Tag 2- Pay Per View @ TOKYOSQUARE In Itabashi in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
12,27.07.2025,,"Mahiro Kiryu&Miyu YamashitadefeatMaki Itoh&Pom Harajuku(8:19)TJPW Tokyo Princess Cup 2025 - Tag 1- Online Stream @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
13,21.07.2025,,"Miyu YamashitadefeatsBillie Starkz(15:45)TJPW Summer Sun Princess '25- Online Stream @ Ota City General Gymnasium in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
14,13.07.2025,,"Billie Starkz&Yuka SakazakidefeatMiyu Yamashita&Vert Vixen(20:36)TJPW Live In Dallas- Online Stream @ OC Theatre in Forney, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
15,11.07.2025,,"ROH Interim Women's World Television TitleFour Way Match (vakant):Mina ShirakawadefeatsMiyu YamashitaandPersephoneandYuka Sakazaki(13:47) -TITLE CHANGE !!!ROH Supercard Of Honor 2025- Online Stream @ Esports Stadium Arlington in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
16,10.07.2025,,"Miyu YamashitadefeatsMaki Itoh(14:48)TJPW Live In Houston - Tag 1- Online Stream @ POST in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
17,06.07.2025,,"Billie Starkz&Miyu YamashitadefeatLena Kross&Megan Bayne(12:37)JCW Born (Almost) On The Fourth Of July- Online Stream @ House Of Independents in Asbury Park, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
18,05.07.2025,,"Marcus Mathers&YDNP(Alec Price&Jordan Oliver) defeatBillie Starkz,Megan Bayne&Miyu Yamashita(18:54)GCW The Top Play- Pay Per View @ The Webster Theatre in Hartford, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
19,29.06.2025,,"SPARK Joshi Pacific TitleThree Way:Airica DemiadefeatsVert Vixen(c) andMiyu Yamashita(13:37) -TITLE CHANGE !!!SPARK Ignite Texas- Pay Per View @ Baytown Community Center in Baytown, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
20,27.06.2025,,"Janai KaidefeatsMiyu Yamashita(12:17)Reaper Wrestling: Reaper Rising- Event @ Hustle Culture Fitness Club in Moose Jaw, Saskatchewan, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
21,20.06.2025,,"Miyu YamashitadefeatsBlake Christian(15:04)GCW Bangin' In Little Rock- Pay Per View @ The Hall in Little Rock, Arkansas, USA",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
22,14.06.2025,,"Dark SheikdefeatsMiyu YamashitaLLL 12 Year Anniversary - Tag 2- Event @ Oriental Theater in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
23,13.06.2025,,"Miyu YamashitadefeatsStormi Renee(11:00)LLL 12 Year Anniversary - Tag 1- Event @ Oriental Theater in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
24,12.06.2025,,"Miyu YamashitadefeatsJordan Blade(11:13)JCW recs.sports.pro.wrestling- Online Stream @ Ridgefield Park Knights Of Columbus in Ridgefield Park, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
25,11.06.2025,,"Miyu YamashitadefeatsBrooke Havok(3:33)ROH on HonorClub #121- Online Stream @ Portland, Oregon, USA",https://upload.wikimedia.org/wikipedia/commons/d/d1/Miyu_Yamashita_skull_kick_2023.gif
