date,event,result,location,image_url
1,05.09.2025,,"Mustafa AlidefeatsBrian Myers(2:34)TNA iMPACT #1104- TV-Show @ The Armory in Minneapolis, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
2,16.08.2025,,"Order 4(Jason Hotch,John Skyler&Mustafa Ali) defeatMatt Cardona&The System(Brian Myers&Moose) (10:14)TNA iMPACT #1100- TV-Show @ Chesapeake Employers Insurance Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
3,15.08.2025,,"Matt CardonadefeatsMustafa Ali(9:40)TNA Emergence 2025- Online Stream @ Chesapeake Employers Insurance Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
4,25.07.2025,,"Mustafa AlidefeatsJoe Hendry(14:51)TNA iMPACT #1098- TV-Show @ Thomas M. Ryan Center in Kingston, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
5,20.07.2025,,"Mustafa AlidefeatsCedric Alexander(14:32)TNA Slammiversary 2025- Pay Per View @ UBS Arena in Elmont, New York, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
6,18.07.2025,,"Mustafa AlidefeatsQuintero(17:06)CSW In The Heat Of The Night 2025- Online Stream @ VFW Post 5040 in Franklin Park, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
7,13.07.2025,,"Four Way:Cody ChhundefeatsJordan OliverandMan Like DeReissandMustafa Ali(12:51)Prestige Combat Clash '25- Online Stream @ Viking Pavilion in Portland, Oregon, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
8,12.07.2025,,"Four Way:AeroboydefeatsArezandMustafa AliandRey Horus(13:19)Fearless Phase One- Event @ Centro Cultural de La Raza in San Diego, California, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
9,28.06.2025,,"PWK Title:Ashton Adonis(c) defeatsMustafa AliPWK No Guts, No Glory 2025- Event @ Holliday Inn in Mishawaka, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
10,27.06.2025,,"Freelance Legacy Title:Koda Hernandez(c) defeatsMustafa Ali(18:25)Freelance Vs. The World 11- Online Stream @ Logan Square Auditorium in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
11,20.06.2025,,"Call To Arms:Mustafa AlidefeatsJohn Skyler(5:51)TNA iMPACT #1092- TV-Show @ UPMC Events Center in Moon Township, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
12,06.06.2025,,"Mustafa AlidefeatsJason Hotch(13:37)TNA Against All Odds 2025- Online Stream @ Mullett Arena in Tempe, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
13,24.05.2025,,"Mustafa AlidefeatsRaj Singh(2:49)TNA iMPACT #1088- TV-Show @ CAA Centre in Brampton, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
14,23.05.2025,,"Mixed:Order 4(Jason Hotch,John Skyler,Mustafa Ali&Tasha Steelz) defeatIndi Hartwell,Raj Singh&The Rascalz(Trey Miguel&Zachary Wentz) (9:50)TNA Under Siege 2025- Online Stream @ CAA Centre in Brampton, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
15,10.05.2025,,"Shelton BenjamindefeatsMustafa AliNEW Wrestlefest XXVIII- Event @ Westchester County Center in White Plains, New York, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
16,02.05.2025,,"Mustafa AlidefeatsAce Austin(6:59)TNA iMPACT #1087- TV-Show @ Bren Events Center in Irvine, California, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
17,01.05.2025,,"Mustafa AlidefeatsTrey Miguel(7:22)TNA iMPACT #1085- TV-Show @ Bren Events Center in Irvine, California, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
18,27.04.2025,,"Falls Count Anywhere:Mike SantanadefeatsMustafa Ali(19:26)TNA Rebellion 2025- Pay Per View @ Galen Center in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
19,18.04.2025,,"Three Way:Leon SlaterdefeatsMustafa AliandTrevor Lee(5:51)4th Rope/GCW Heels Have Eyes: For The Culture 2025- Pay Per View @ Pearl Theater At Palms Casino Resort in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
20,17.04.2025,,"Mike Santana&The Hardys(Jeff Hardy&Matt Hardy) defeatMustafa Ali,Nic Nemeth&Ryan Nemeth(12:42)TNA Unbreakable 2025- Online Stream @ Cox Pavilion At Thomas & Mack Center in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
21,17.04.2025,,"Mustafa AlidefeatsNinja Mack(9:35)Pandemonium The House Always Wins- TV-Show @ Fremont Country Club in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
22,12.04.2025,,"Mustafa AlidefeatsJoe Alonzo(13:58)AAW Ring Of Fire 3- Online Stream @ Berwyn Eagles Club in Berwyn, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
23,05.04.2025,,"Elimination:Chicago Over Everything (August Matthews,Davey Bang,Gringo Loco,Joe Alonzo&Mustafa Ali) defeat Team Revolver (Ace Austin,Jake Crist,Rich Swann,Steve Maclin&Trey Miguel) (28:06)REVOLVER We Did That- Pay Per View @ Logan Square Auditorium in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
24,29.03.2025,,"Dark Mixed:Masha Slamovich,Mike Santana&The Hardys(Jeff Hardy&Matt Hardy) defeatOrder 4(Jason Hotch,John Skyler,Mustafa Ali&Tasha Steelz)TNA iMPACT #1083- Dark Match @ St. Joseph Civic Arena in St. Joseph, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
25,28.03.2025,,"Ace AustindefeatsMustafa Aliby DQ (3:39)TNA iMPACT #1081- TV-Show @ St. Joseph Civic Arena in St. Joseph, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
26,22.03.2025,,"Three Way:Mustafa AlidefeatsGringo LocoandJake Crist(12:45)REVOLVER Goated- Pay Per View @ Horizon Events Center in Clive, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
27,21.03.2025,,"Mustafa AlidefeatsMecha Wolf(11:51)The Crash El Homenaje Mas Perro- Event @ Auditorio de Tijuana in Tijuana, Baja California, Mexiko",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
28,15.03.2025,,"Mike SantanadefeatsMustafa Aliby Count Out (4:12)TNA iMPACT #1078- TV-Show @ El Paso County Coliseum in El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
29,14.03.2025,,"Mustafa AlidefeatsMike Santana(13:11)TNA Sacrifice 2025- Online Stream @ El Paso County Coliseum in El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
30,07.03.2025,,"Mustafa AlidefeatsJordan KrossSSW/sNs Horsepower III- Event @ Mahone Middle School in Kenosha, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
31,22.02.2025,,"QPW  TitleMatch (vakant):Mustafa AlidefeatsReal1-TITLE CHANGE !!!QPW Super Slam III - Tag 2- Event @ Aspire Ladies Sports Hall in Doha, Katar",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
32,15.02.2025,,"AAA World Cruiserweight Title:Laredo Kid(c) defeatsMustafa Aliby DQ (12:02)AAA Alianzas- Online Stream @ Gimnasio Olimpico Juan de la Barrera in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
33,01.02.2025,,"Mustafa Ali&Peter TihanyidefeatBlutsbrüder(Erkan Sulcani&Georg Asgolar) (1:49)GWF Global Warning 2025- Online Stream @ Festsaal Kreuzberg in Berlin, Deutschland",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
34,01.02.2025,,"GWF World Title:Peter Tihanyi(c) vs.Mustafa Ali- No Contest (21:41)GWF Global Warning 2025- Online Stream @ Festsaal Kreuzberg in Berlin, Deutschland",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
35,25.01.2025,,"Joey Avalonvs.Mustafa Ali- No ContestFrontline Pro 60: Ground Zero- Event @ Wausau Elks Lodge in Wausau, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
36,25.01.2025,,"Joey Avalon&Mustafa Alidefeat The Rapture (Aaron Xavier&Chris Marrick)Frontline Pro 60: Ground Zero- Event @ Wausau Elks Lodge in Wausau, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
37,24.01.2025,,"Mustafa AlidefeatsLaredo Kid(5:42)TNA iMPACT #1071- TV-Show @ Boeing Center At Tech Port in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
38,17.01.2025,,"Mustafa AlidefeatsMatt Cardona(16:53)HOG Watch The Throne- Pay Per View @ Logan Square Auditorium in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
39,11.01.2025,,"EWA World TitleThree Way:Harry William defeats Samuel Olmo (c) andMustafa Ali-TITLE CHANGE !!!EWA Reset- Event @ Coliseo Antonio R. Barcelo in Toa Baja, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
40,12.12.2024,,"Three Way:Josh AlexanderdefeatsKevin BlackwoodandMustafa Ali(10:30)4th Rope Heels Have Eyes IV: Atlanta- Online Stream @ Center Stage Theater in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
41,01.12.2024,,"Mustafa AlidefeatsKevin Knight(17:00)DEFY/PROGRESS Onslaught - Tag 2- Pay Per View @ Thalia Hall in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
42,30.11.2024,,"Mustafa AlidefeatsMatt Riddle(10:31)WrestleCade SuperShow 2024- Online Stream @ Benton Convention Center in Winston-Salem, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
43,29.11.2024,,"Mustafa AlidefeatsCara Noir(17:06)DEFY/PROGRESS Onslaught - Tag 1- Pay Per View @ Roulette Intermedium in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
44,10.11.2024,,"Mustafa AlidefeatsMyron ReedPWV Brawl In The Beer Hall- Event @ Lakefront Brewery in Milwaukee, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
45,08.11.2024,,"Lio RushdefeatsMustafa Ali(10:08)NJPW Fighting Spirit Unleashed 2024- Online Stream @ Lowell Memorial Auditorium in Lowell, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
46,26.10.2024,,"Mustafa Ali&Ultimo DragondefeatGPA&Koda Jacobs(8:17)MAW/WON Grand Slam VI- Event @ North High School in North St. Paul, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
47,26.10.2024,,"Mustafa Alivs.Ultimo Dragon- No Contest (4:18)MAW/WON Grand Slam VI- Event @ North High School in North St. Paul, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
48,24.10.2024,,"Mustafa AlidefeatsDonovan Dijak(7:35)WPW Rumble In The Burt- Event @ Burton Cummings Theatre in Winnipeg, Manitoba, Canada",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
49,20.10.2024,,"Mustafa AlidefeatsAigle Blanc(17:40)APC International Control- Online Stream @ Studio Jenny in Nanterre, Frankreich",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
50,12.10.2024,,"Tables:Mustafa AlidefeatsStephen Wolf(17:06)DREAMWAVE Trick Or Treat- Online Stream @ Knights Of Columbus Hall in LaSalle, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
51,29.09.2024,,"Prestige Title:Mustafa AlidefeatsAlan Angels(c) by DQ (19:26)West Coast Pro/DPW/Prestige Roseland 9- Online Stream @ Roseland Theater in Portland, Oregon, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
52,22.09.2024,,"OPW Heavyweight    Title:Mustafa AlidefeatsAdam Brooks(c) (20:44) -TITLE CHANGE !!!MCW/OPW Worlds Collide 2024- TV-Show @ Thornbury Theatre in Thornbury, Victoria, Australia",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
53,06.09.2024,,"Four Way:Mustafa AlidefeatsLaredo KidandMatthew RiddleandRey Horus(8:52)The Crash- Event @ Auditorio de Tijuana in Tijuana, Baja California, Mexiko",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
54,05.09.2024,,"HOG Crown Jewel Title:Zilla Fatu(c) vs.Mustafa Ali- Double Count Out (14:52)HOG Chicago- Pay Per View @ Logan Square Auditorium in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
55,04.09.2024,,"Mustafa AlidefeatsSabin Gauge(10:17)BLP Crowning Glory- Online Stream @ Logan Square Auditorium in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/2/27/Ali_-_2019-08-18_-_01_crop.jpg
