date,event,result,location,image_url
1,05.09.2025,,"Necro ButcherdefeatsHernandezby referee's decision (24:16)SVN Violent Nature- Pay Per View @ Ridgefield Park Knights Of Columbus in Ridgefield Park, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/NecroButcherPromo.jpg
2,16.08.2025,,"Death:Saxon HuxleydefeatsNecro Butcher(24:01)CXW Xtreme IV- Online Stream @ The Institute in Braintree, Essex, England, UK",https://upload.wikimedia.org/wikipedia/commons/b/b5/NecroButcherPromo.jpg
3,11.07.2025,,"BOTW West Coast TitleDeath:JD Horror(c) defeatsNecro Butcher(18:13)CCW Bleed For The Crown- Online Stream @ Doll Hut in Anaheim, California, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/NecroButcherPromo.jpg
4,12.04.2025,,"Death:IcemandefeatsNecro Butcher(23:04)Bleeding Gums: Lust For Death Tournament 2- Event @ Church Dundee in Dundee, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/b/b5/NecroButcherPromo.jpg
5,09.11.2024,,"No Rules:Killah KashdefeatsNecro Butcherby TKO (8:14)Loko No Ring, No Masters 2- Online Stream @ The White Swan in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/NecroButcherPromo.jpg
6,02.11.2024,,"Unlucky 8 Death Match Tournament First Round Texas Bullrope:Tim StrangedefeatsNecro ButcherMarks R Us Unlucky 8 Tournament- Online Stream @ The Dive Bar in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/NecroButcherPromo.jpg
7,22.09.2024,,"XPW West Coast Heavyweight TitleDeath:Necro Butcher(c) defeats Niles Blood (12:49)Primos Slave To The Deathmatch 15 - Tag 3- Pay Per View @ Roxy Theater in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/NecroButcherPromo.jpg
8,21.09.2024,,"XPW West Coast Heavyweight TitleTwo On One Handicap Death:Necro Butcher(c) defeatsThe Cult Awaits YOU(IamThePRODUCT & IamThePROJECT) (13:05)Primos Slave To The Deathmatch 15 - Tag 2- Pay Per View @ Roxy Theater in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/NecroButcherPromo.jpg
9,20.09.2024,,"XPW West Coast Heavyweight TitleDeath:Necro Butcher(c) defeats Sean O'Reilly (11:52)Primos Slave To The Deathmatch 15 - Tag 1- Pay Per View @ Roxy Theater in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/NecroButcherPromo.jpg
10,07.09.2024,,"XPW West Coast Heavyweight TitleMatch (vakant):Necro ButcherdefeatsBad Dude Tito(12:20) -TITLE CHANGE !!!XPW Symphony Of Destruction- Pay Per View @ Nocturne Theatre in Glendale, California, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/NecroButcherPromo.jpg
11,17.04.2024,,"Fluorescent Lighttubes Street Fight Death:Abdullah Kobayashi,Ryuji Ito&Yuko MiyamotodefeatHardway Heeter,Mad Man Pondo&Necro Butcher(9:25)BJW Blow The Night 2024- Online Stream @ Kushiro Civic Cultural Center in Kushiro, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/b/b5/NecroButcherPromo.jpg
12,16.04.2024,,"Street Fight Hardcore:Mad Man Pondo&Necro ButcherdefeatKazumi Kikuta&Ryuji Ito(6:26)BJW I Came To See Only You!- Online Stream @ Obihiro City General Gymnasium in Obihiro, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/b/b5/NecroButcherPromo.jpg
13,15.04.2024,,"Fluorescent Lighttubes Street Fight Death:Abdullah Kobayashi&Hideyoshi KamitanidefeatMad Man Pondo&Necro Butcher(9:51)BJW Blow The Night 2024- Online Stream @ Asahikawa Local Industry Promotion Center in Asahikawa, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/b/b5/NecroButcherPromo.jpg
14,14.04.2024,,"Street Fight Death:Mad Man Pondo&Necro ButcherdefeatAbdullah Kobayashi&Daiju Wakamatsu(9:11)BJW New Standard Big ""B"" ~ Feelin' Come 2024 - Tag 2- Online Stream @ Chateraise Gateaux Kingdom Sapporo in Sapporo, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/b/b5/NecroButcherPromo.jpg
15,13.04.2024,,"Street Fight Death:Mad Man Pondo&Necro ButcherdefeatAbdullah Kobayashi&Hideyoshi Kamitani(9:52)BJW New Standard Big ""B"" ~ Feelin' Come 2024 - Tag 1- Online Stream @ Chateraise Gateaux Kingdom Sapporo in Sapporo, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/b/b5/NecroButcherPromo.jpg
