date,event,result,location,image_url
1,10.05.1999,,"Paul Bearervs.The Big Show- No Contest (3:00)WWF RAW is WAR #311- TV-Show @ Orlando Arena in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
2,17.11.1990,,"Toni AdamsdefeatsPercy PringleWCWA- Event @ Aledo Middle School in Aledo, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
3,28.09.1990,,"Toni AdamsdefeatsPercy PringleWCWA- Event @ Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
4,22.09.1990,,"Chris von ErichdefeatsPercy PringleWCWA- Event @ Elementary Gym in Lake Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
5,21.09.1990,,"Chris Adams&Toni AdamsdefeatPercy Pringle&Steve Austinby DQWCWA- Event @ Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
6,17.08.1990,,"Chris Adams&Chris von ErichdefeatPercy Pringle III&Steve AustinUSWA- Event @ Sportatorium in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
7,10.08.1990,,"Chris Adams,Chris von Erich&Toni AdamsdefeatJeannie Clark,Percy Pringle III&Steve AustinUSWA- Event @ Sportatorium in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
8,13.07.1990,,"The Von Erichs(Chris von Erich&Kevin von Erich) defeatPercy Pringle III&Terrence GarvinUSWA- Event @ Sportatorium in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
9,22.06.1990,,"Chris von ErichdefeatsPercy Pringle IIIUSWA- Event @ Sportatorium in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
10,19.06.1990,,"Percy Pringle IIIdefeatsSkandor AkbarUSWA- Event @ Sportatorium in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
11,13.04.1990,,"Bill Dundee,Eric Embry,Jeff Jarrett&Percy Pringle IIIdefeatGary Young,Jeff Gaylord,Skandor Akbar&Steve AustinUSWA- Event @ Sportatorium in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
12,01.04.1990,,"Percy Pringle IIIvs.Terrence Garvin- Time Limit DrawUSWA- Event @ Sportatorium in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
13,30.03.1990,,"Gary Young&Skandor Akbarvs.Eric Embry&Percy Pringle III- Double Count OutUSWA- Event @ Sportatorium in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
14,21.10.1989,,"Eric Embry&Percy PringledefeatBilly Travis&Skandor AkbarUSWA- Event @ Devil's Bowl Speedway in Mesquite, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
15,17.10.1989,,"Mud Pit:Percy PringledefeatsTojo YamamotoUSWA- Event @ Waco, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
16,10.09.1989,,"Scaffold:Chris Adams,Eric Embry&Percy PringledefeatGary Young,PY Chu-Hi&Tojo YamamotoUSWA- Event @ Mesquite, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
17,04.09.1989,,"Mud Wrestling:Percy PringledefeatsTojo YamamotoUSWA- Event @ Fort Worth, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
18,04.08.1989,,"Percy Pringlevs.Tojo YamamotoWCWA- Event @ Sportatorium in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
19,02.07.1989,,"Percy Pringle IIIdefeatsSkandor AkbarWCWA- Event @ Temple, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
20,25.06.1989,,"Percy Pringle IIIdefeatsSkandor AkbarWCWA- Event @ San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
21,24.06.1989,,"Percy PringledefeatsSkandor AkbarWCWA- Event @ Nelson City, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
22,16.06.1989,,"Percy Pringle IIIdefeatsSkandor AkbarWCWA- Event @ Sportatorium in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
23,04.06.1989,,"Battle Royal:Kerry von ErichdefeatsAl PerezandBrickhouse BrownandCactus JackandChris AdamsandIceman ParsonsandJimmy Jack FunkandMatt BorneandPercy Pringle IIIandShaun SimpsonandSkandor AkbarandTony FalkWCWA- Event @ Mesquite, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
24,04.06.1989,,"Penalty Box:Matt Borne&Percy Pringle IIIdefeatDevastation Inc.(Cactus Jack&Skandor Akbar)WCWA- Event @ Mesquite, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
25,16.04.1989,,"Scaffold:Eric Embry&Percy PringledefeatCactus Jack&Skandor AkbarWCWA- Event @ Fort Worth, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
26,17.03.1989,,"The Simpson Brothers(Shaun Simpson&Steve Simpson) &Percy Pringle IIIdefeatCactus Jack,Gary Young&Skandor AkbarWCWA- Event @ Sportatorium in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
27,27.12.1987,,"Percy Pringle IIIvs.Vince ApolloWCWA- Event @ Belton, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
28,29.10.1987,,"Two On One Handicap:Matt BornedefeatsPercy Pringle III&Tim BrooksWCWA- Event @ Commerce, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
29,07.09.1987,,"Matt Borne&The SpoilerdefeatPercy Pringle&Ted ArcidiWCWA Labor Day Star Wars 1987- Event @ Tarrant County Convention Center in Fort Worth, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
30,19.08.1987,,"The Simpson Brothers(Shaun Simpson&Steve Simpson) &Matt BornedefeatFrank Lancaster,Len Denton&Percy PringleWCWA- Event @ Lawton, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
31,17.08.1987,,"Percy Pringlevs.T. John Tibbedeux- DrawWCWA- Event @ Will Rogers Coliseum in Fort Worth, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
32,07.08.1987,,"Four On Three Handicap:The Dirty White Boys(Len Denton&Tim Brooks),Percy Pringle&Ted ArcididefeatMatt Borne,T. John Tibbedeux&The SpoilerWCWA- Event @ Sportatorium in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
33,03.08.1987,,"T. John TibbedeuxdefeatsPercy Pringle IIIby DQWCWA- Event @ Will Rogers Memorial Center in Fort Worth, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
34,27.07.1987,,"The Simpson Brothers(Shaun Simpson&Steve Simpson) &The SpoilerdefeatPercy Pringle III,The Grappler&Tim BrooksWCWA- Event @ Will Rogers Memorial Coliseum in Fort Worth, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
35,01.06.1987,,"Matt BornedefeatsPercy PringleWCWA- Event @ Will Rogers Coliseum in Fort Worth, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
36,25.05.1987,,"Matt BornedefeatsPercy PringleWCWA- Event @ Will Rogers Coliseum in Fort Worth, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
37,30.01.1987,,"David Manning,Steve Simpson&Tony AtlasdefeatMaster Gee,Matt Borne&Percy PringleWCWA- Event @ Sportatorium in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
38,23.01.1987,,"Two On One Handicap:Tony AtlasdefeatsMatt Borne&Percy Pringle III(3:37)WCCW TV Taping- Event @ Sportatorium in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
39,10.11.1986,,"Master Gee,Matt Borne&Percy Pringle IIIdefeatScott Casey&The Renegade Warriors(Chris Youngblood&Mark Youngblood)WCWA- Event @ Will Rogers Memorial Center in Fort Worth, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
40,17.10.1986,,"Three On Two Handicap:Dingo Warrior&Mike von ErichdefeatMatt Borne,Percy Pringle III& Spike JohnsonWCWA- Event @ Sportatorium in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
41,13.10.1986,,"Percy Pringle IIIdefeatsSteve DollWCWA- Event @ Will Rogers Memorial Center in Fort Worth, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
42,25.10.1985,,"Lady Maxinevs.Percy PringleCWF- Event @ Ocean Center in Daytona Beach, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
43,21.10.1985,,"Equal Rights:Lady MaxinedefeatsPercy Pringleby DQCWF- Event @ West Palm Beach Auditorium in West Palm Beach, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
