date,event,result,location,image_url
1,30.08.2025,,"ShaukatdefeatsRaj DhesiAPAC SlamFest 25- Event @ Stadium Juara in Kuala Lumpur, Malaysia",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
2,23.07.2025,,"Raj DhesidefeatsMo JabariTTW KDays Slamfest 2025 Main Show - Tag 2- Event @ CKUA Radio Stage in Edmonton, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
3,12.07.2025,,"Stu Hart Heritage Title:Raj Dhesi(c) defeatsAmir JordanNCL.56 / THUNDERSTRUCK 3- Pay Per View @ Walker Activity Dome in Newcastle Upon Tyne, England, UK",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
4,10.07.2025,,"J. SpadedefeatsRaj Dhesi(12:43)OWA/WildKat Bayou Beatdown- Online Stream @ Alario Center in Westwego, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
5,31.05.2025,,"MASADAdefeatsJinder Mahalby Count Out (10:55)BCW Original Sin- Pay Per View @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
6,17.05.2025,,"Myles Mason defeatsRaj DhesiACW WaterCity WrestlingCon 2025- Event @ Oshkosh Convention Center in Oshkosh, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
7,10.05.2025,,"MLP Canadian Title20 Man Gauntlet Match (vakant):Josh AlexanderdefeatsAlex ZayneandBhupinder GujjarandBilly GunnandBishop DyerandBrent BanksandEl PhantasmoandJohnny ParisiandMatt CardonaandMichael Allen Richard ClarkandMo JabariandPCOandPsycho MikeandQT MarshallandRaj DhesiandRhinoandRich SwannandSantino MarellaandSheldon JeanandSlex(42:40) -TITLE CHANGE !!!MLP Northern Rising- Pay Per View @ Mattamy Athletic Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
8,04.05.2025,,"GWF World Cup 2025 First Round:Axel TischerdefeatsRaj Dhesi(10:17)GWF World Cup 2025- Online Stream @ Festsaal Kreuzberg in Berlin, Deutschland",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
9,03.05.2025,,"Raj DhesidefeatsCBL(6:40)OTT Reckoning- Event @ The Ambassador Theatre in Dublin, Ireland",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
10,02.05.2025,,"Raj The MaharajadefeatsSha SamuelsWXM Ground Zero: Powerbomb At WAVES Mumbai- Event @ NSCI Dome in Mumbai, Maharashtra, Indien",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
11,25.04.2025,,"BLP Heavyweight Title:Joshua BishopdefeatsRaj Dhesi(c) (11:57) -TITLE CHANGE !!!BLP At Squared Circle Expo III- Online Stream @ The Wyndham in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
12,18.04.2025,,"Mike SantanadefeatsRaj Dhesi(10:40)4th Rope/GCW Heels Have Eyes: For The Culture 2025- Pay Per View @ Pearl Theater At Palms Casino Resort in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
13,12.04.2025,,"Raj DhesidefeatsMatt CardonaWPW Fight At The Museum: Battle For The Nonsuch- Event @ Manitoba Museum in Winnipeg, Manitoba, Canada",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
14,05.04.2025,,"MLW World Heavyweight Title40 Man Battle Riot VII:Matt Riddle(c) defeatsAlex HammerstoneandAlex KaneandAnthony GreeneandAriel DominguezandAtlantisandAtlantis Jr.andBarbaro CavernarioandBishop DyerandBlue PantherandBobby FishandBrett Ryan GosselinandBrock AndersonandChris AdonisandCW AndersonandDonovan DijakandDr. DaxandEsfingeandHechiceroandIkuro KwonandJesus RodriguezandJourney FatuandJuicy FinauandKUSHIDAandMads Krule KrüggerandMagnusandMatthew JusticeandMr. ThomasandOkumuraandPaul LondonandPaul Walter HauserandRaj DhesiandRob Van DamandSatoshi KojimaandShane HasteandStar Jr.andTitus AlexanderandTom LawlorandUltimo GuerreroandVirus(66:31)MLW Battle Riot VII- Online Stream @ Thunder Studios Arena in Long Beach, California, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
15,31.03.2025,,"WSW Australian Title:Matt Riddle(c) defeatsRaj Dhesi(13:52)WSW Legacy - Tag 4- Pay Per View @ Panthers Penrith Leagues Club in Penrith, New South Wales, Australia",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
16,30.03.2025,,"WSW World Heavyweight  Title/Internet TitleThree Way:Nic Nemeth(c) [WSW] defeatsMatt Cardona(c) [Internet] andRaj Dhesi(15:52) -TITLE CHANGE !!!WSW Legacy - Tag 3- Pay Per View @ Ridley Centre in Wayville, South Australia, Australia",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
17,29.03.2025,,"No Disqualification:Raj Dhesi&The Bollywood Boyz(Gurv Sihra&Harv Sihra) defeatMatt Cardona&The Parea(Eli Theseus&Gabriel Aeros) (19:16)WSW Legacy - Tag 2- Pay Per View @ Eatons Hill Hotel in Brisbane, Queensland, Australia",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
18,28.03.2025,,"Street Fight:Raj DhesidefeatsMatt Cardona(15:40)WSW Legacy - Tag 1- Pay Per View @ Melbourne Pavillion in Kensington, Victoria, Australia",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
19,01.03.2025,,"Raj DhesidefeatsLondon Lightning(8:45)Smash Rumble In The Rec Room- Online Stream @ Toronto Rec Room in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
20,21.02.2025,,"Raj DhesidefeatsCharlie SterlingQPW Super Slam III - Tag 1- Pay Per View @ Aspire Ladies Sports Hall in Doha, Katar",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
21,15.02.2025,,"For The Love Of Wrestling Title Match (vakant):Sam BaileydefeatsRaj Dhesi-TITLE CHANGE !!!FSW Breaks Convention V- Event @ BEC Arena in Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
22,24.01.2025,,"Stu Hart Heritage TitleThree Way:Raj Dhesi(c) defeatsFranky The MobsterandMitch ThompsonSans Restriction Chrono 3- Event @ Espace Diffusion in Cowansville, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
23,11.01.2025,,"ASW Heavyweight Title/Stu Hart Heritage Title:Raj Dhesi(c) [Stu Hart Heritage] vs.Shawn Murphy(c) [ASW Heavyweight] - No ContestASW Grindhouse- Event @ Maritime Labour Centre in Vancouver, British Columbia, Canada",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
24,08.12.2024,,"Raj DhesidefeatsA-BuckAPC Winter Shock- Online Stream @ Studio Jenny in Nanterre, Frankreich",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
25,30.11.2024,,"Joe HendrydefeatsRaj Dhesi(13:23)WrestleCade SuperShow 2024- Online Stream @ Benton Convention Center in Winston-Salem, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
26,10.11.2024,,"Stu Hart Heritage Title:Raj DhesidefeatsChris Masters(c) -TITLE CHANGE !!!Dungeon Wrestling November Pain- Event @ Victoria Pavilion in Calgary, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
27,08.11.2024,,"The Crash Tag Team Title:El Hijo de Dr. Wagner Jr.&Galeno Del Mal(c) defeatDMT Azul&Raj Dhesi(10:58)The Crash XIII Aniversario- Event @ Auditorio de Tijuana in Tijuana, Baja California, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
28,20.10.2024,,"Bhupinder Gujjar&Raj DhesidefeatBully Ray&QT Marshall(12:23)MLP Forged In Excellence - Tag 2- Pay Per View @ St. Clair College SportsPlex in Windsor, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
29,19.10.2024,,"Tables:Bully RaydefeatsRaj Dhesi(8:53)MLP Forged In Excellence - Tag 1- Pay Per View @ St. Clair College SportsPlex in Windsor, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
30,28.09.2024,,"WrestlePro Gold Title:CPA(c) defeatsRaj DhesiWrestlePro All Hail The Maharaja- Online Stream @ Rahway Rec Center in Rahway, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
31,14.09.2024,,"IWA Puerto Rico Intercontinental Title:John Hawking(c) defeatsRaj DhesiIWA Puerto Rico Disturbio Mortal - The Maharaja Invasion- Event @ Coliseo Emilio E Huyke in Humacao, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
32,04.09.2024,,"BLP Heavyweight Title:Raj Dhesi(c) defeatsTom Lawlor(10:06)BLP Crowning Glory- Online Stream @ Logan Square Auditorium in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
33,31.08.2024,,"Raj DhesidefeatsJessie V(12:11)NCG Bad Temper- Event @ Nature Fresh Farms Recreation Centre in Leamington, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
34,24.08.2024,,"1 Called Manders&Thrussy(Dark Sheik&Effy) defeatRaj Dhesi&The Bollywood Boyz(Gurv Sihra&Harv Sihra) (14:16)GCW Homecoming Weekend 2024 - Tag 1- Pay Per View @ Showboat Hotel Atlantic City in Atlantic City, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
35,23.08.2024,,"Greektown Cup Title:Bill Collier(c) defeatsRaj DhesiandSam HollowayGreektown In Toronto- Pay Per View @ 310 Danforth Ave in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
36,17.08.2024,,"AAA World Tag Team TitleThree Way:Raj Dhesi&Satnam SinghdefeatDr. Wagner Jr.&Galeno Del MalandNegro Casas&Psycho Clown(c) (15:01) -TITLE CHANGE !!!AAA TripleMania XXXII: Mexico City- Pay Per View @ Arena Ciudad de Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/43/3MB_at_WM30.jpg
