date,event,result,location,image_url
1,31.07.2022,,"Andrade El Idolo&Ric FlairdefeatJay Lethal&Jeff Jarrett(26:40)JCP Ric Flair's Last Match- Pay Per View @ Nashville Municipal Auditorium in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
2,12.09.2011,,"StingdefeatsRic Flair(14:54)IMPACT Wrestling #375- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
3,17.04.2011,,"Lethal Lockdown Steel Cage:Fortune(Daniels,James Storm,Kazarian&Robert Roode) defeatImmortal(Abyss,Bully Ray,Matt Hardy&Ric Flair) (22:56)TNA Lockdown 2011- Pay Per View @ U.S. Bank Arena in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
4,24.02.2011,,"Three Way Street Fight:Ric FlairdefeatsAJ StylesandMatt Hardy(5:25)TNA iMPACT #348- TV-Show @ Crown Coliseum in Fayetteville, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
5,29.01.2011,,"Ric FlairdefeatsDouglas WilliamsTNA Maximum iMPACT! Tour 2011 - Tag 7- House Show @ Wembley Arena in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
6,09.11.2010,,"Matt MorgandefeatsRic Flair(8:00)TNA iMPACT #332- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
7,07.10.2010,,"Last Man Standing:Mick FoleydefeatsRic Flair(13:26)TNA iMPACT #326 - Before The Glory- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
8,23.09.2010,,"Kurt AngledefeatsRic FlairTNA House Show- House Show @ Oklahoma City, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
9,27.07.2010,,"Street Fight:Ric FlairdefeatsJay Lethal(6:41)TNA iMPACT #318- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
10,11.07.2010,,"Jay LethaldefeatsRic Flair(12:05)TNA Victory Road 2010- Pay Per View @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
11,20.04.2010,,"AbyssdefeatsRic Flair(5:12)TNA iMPACT #304- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
12,08.03.2010,,"Abyss&Hulk Hoganvs.AJ Styles&Ric Flair- No Contest (2:21)TNA iMPACT #297- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
13,08.03.2010,,"No Disqualification:Abyss&Hulk HogandefeatAJ Styles&Ric Flair(7:55)TNA iMPACT #297- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
14,28.11.2009,,"Hulk HogandefeatsRic FlairHulkamania Let The Battle Begin Tour - Tag 4- Event @ Acer Arena in Sydney, New South Wales, Australia",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
15,26.11.2009,,"Hulk HogandefeatsRic FlairHulkamania Let The Battle Begin Tour - Tag 3- Event @ Brisbane Entertainment Centre in Brisbane, Queensland, Australia",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
16,24.11.2009,,"No Disqualification:Hulk HogandefeatsRic FlairHulkamania Let The Battle Begin Tour - Tag 2- Event @ Burswood Dome in Perth, Western Australia, Australia",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
17,21.11.2009,,"Hulk HogandefeatsRic Flair(17:14)Hulkamania Let The Battle Begin Tour - Tag 1- Event @ Rod Laver Arena in Melbourne, Victoria, Australia",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
18,30.03.2008,,"Ric Flair's Career On The Line:Shawn MichaelsdefeatsRic Flair(20:23)WWE WrestleMania XXIV - ""The Biggest WrestleMania Under The Sun""- Pay Per View @ Florida Citrus Bowl in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
19,25.03.2008,,"Dark:Batista,Ric Flair&The UndertakerdefeatEdge,Montel Vontavious Porter&The Big ShowWWE Friday Night SmackDown #449- Dark Match @ Capel Arena in Fayetteville, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
20,24.03.2008,,"No Disqualification:John Cena,Ric Flair,Shawn Michaels&Triple HdefeatJohn Bradshaw Layfield,Randy Orton,The Big Show&Umaga(12:00)WWE Monday Night RAW #774- TV-Show @ Colonial Center in Columbia, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
21,17.03.2008,,"Ric Flair's Career On The Line Street Fight:Ric FlairdefeatsVince McMahon(8:35)WWE Monday Night RAW #773- TV-Show @ Cajundome in Lafayatte, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
22,11.03.2008,,"Four On Two Handicap Steel Cage:Chavo Guerrero,Curt Hawkins,Edge&Zack RyderdefeatRic Flair&Shawn Michaels(15:47)WWE Friday Night SmackDown #447- TV-Show @ Allstate Arena in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
23,03.03.2008,,"Ric Flair&Shawn MichaelsdefeatLance Cade&Trevor Murdoch(3:30)WWE Monday Night RAW #771- TV-Show @ Conseco Fieldhouse in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
24,19.02.2008,,"CM Punk&Ric FlairdefeatElijah Burke&Shelton Benjamin(10:20)ECW on Sci Fi #89- TV-Show @ ipayOne Center in San Diego, California, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
25,17.02.2008,,"Ric Flair's Career On The Line:Ric FlairdefeatsMr. Kennedy(7:18)WWE No Way Out 2008- Pay Per View @ Thomas & Mack Center in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
26,16.02.2008,,"Ric Flair's Career On The Line:Ric FlairdefeatsMr. KennedyWWE RAW House Show- House Show @ Staples Center in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg
