date,event,result,location,image_url
1,17.07.2012,,"Road Warrior AnimaldefeatsHeath Slater(0:45)WWE Friday Night SmackDown #674- TV-Show @ Valley View Casino Center in San Diego, California, USA",https://upload.wikimedia.org/wikipedia/commons/7/71/Road_Warrior_Animal_1987.png
2,17.04.2010,,"Four On Three Handicap:Demolition(Ax&Smash) &Road Warrior AnimaldefeatChase McCoy,Dakota Darsow,Jimmy Blaze&Matt LongtimeGLCW Hell Froze Over- Event @ Waukesha County Expo Center in Waukesha, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/7/71/Road_Warrior_Animal_1987.png
3,11.05.2008,,"UWA World Tag Team TitleMatch (vakant):Animal Warrior&Power WarriordefeatLos Perros del Mal(Damian 666&Damian El Terrible) (3:18) -TITLE CHANGE !!!Toryumon Mexico DragonMania III- TV-Show @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/7/71/Road_Warrior_Animal_1987.png
4,01.09.2007,,"Hell Warriors (Animal Warrior&Power Warrior) defeatVoodoo Murders(Shuji Kondo&YASSHI) (6:11)Kensuke Office Take The Dream Vol. 2 ~A New Dream~- TV-Show @ Differ Ariake in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/7/71/Road_Warrior_Animal_1987.png
5,17.06.2007,,"TNA World Tag Team Title:Team 3D(Brother Devon&Brother Ray) (c) defeatRick Steiner&Road Warrior Animal(6:43)TNA Slammiversary 2007- Pay Per View @ Municipal Auditorium in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/7/71/Road_Warrior_Animal_1987.png
6,07.05.2006,,"Gunner Scott&Paul BurchilldefeatSylvan&The Road WarriorWWE SmackDown House Show- House Show @ Save Mart Center At Fresno State in Fresno, California, USA",https://upload.wikimedia.org/wikipedia/commons/7/71/Road_Warrior_Animal_1987.png
7,06.05.2006,,"Gunner Scott&Paul BurchilldefeatSylvan&The Road WarriorWWE SmackDown House Show- House Show @ Lawlor Events Center in Reno, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/7/71/Road_Warrior_Animal_1987.png
8,02.05.2006,,"The Road WarriordefeatsPaul Burchill(3:40)WWE Velocity #195- Online Stream @ U.S. Bank Arena in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/7/71/Road_Warrior_Animal_1987.png
9,26.04.2006,,"Paul BurchilldefeatsThe Road WarriorWWE SmackDown House Show- House Show @ Odyssey Arena in Belfast, Northern Ireland, UK",https://upload.wikimedia.org/wikipedia/commons/7/71/Road_Warrior_Animal_1987.png
10,25.04.2006,,"TatankadefeatsThe Road WarriorWWE WrestleMania Revenge Tour 2006- House Show @ Max-Schmeling-Halle in Berlin, Deutschland",https://upload.wikimedia.org/wikipedia/commons/7/71/Road_Warrior_Animal_1987.png
11,24.04.2006,,"Matt HardydefeatsThe Road WarriorWWE WrestleMania Revenge Tour 2006- House Show @ Hanns-Martin-Schleyer-Halle in Stuttgart, Baden-Württemberg, Deutschland",https://upload.wikimedia.org/wikipedia/commons/7/71/Road_Warrior_Animal_1987.png
12,23.04.2006,,"Paul BurchilldefeatsThe Road WarriorWWE WrestleMania Revenge Tour 2006- House Show @ Kölnarena in Köln, Nordrhein-Westfalen, Deutschland",https://upload.wikimedia.org/wikipedia/commons/7/71/Road_Warrior_Animal_1987.png
13,21.04.2006,,"TatankadefeatsThe Road WarriorWWE SmackDown House Show- House Show @ Metroradio Arena in Newcastle Upon Tyne, Tyne And Wear, England, UK",https://upload.wikimedia.org/wikipedia/commons/7/71/Road_Warrior_Animal_1987.png
14,20.04.2006,,"Paul Burchill&William RegaldefeatOrlando Jordan&The Road WarriorWWE SmackDown House Show- House Show @ Firenze-Mandela Forum in Florenz, Italien",https://upload.wikimedia.org/wikipedia/commons/7/71/Road_Warrior_Animal_1987.png
15,19.04.2006,,"Paul Burchill&William RegaldefeatOrlando Jordan&The Road WarriorWWE SmackDown House Show- House Show @ Palamalaguti in Bologna, Italien",https://upload.wikimedia.org/wikipedia/commons/7/71/Road_Warrior_Animal_1987.png
16,11.04.2006,,"Matt HardydefeatsThe Road Warrior(0:17)WWE Friday Night SmackDown #348- TV-Show @ Resch Center in Green Bay, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/7/71/Road_Warrior_Animal_1987.png
17,09.04.2006,,"The Road WarriordefeatsScotty 2 HottyWWE SmackDown House Show- House Show @ Van Andel Arena in Grand Rapids, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/7/71/Road_Warrior_Animal_1987.png
18,08.04.2006,,"The Road WarriordefeatsScotty 2 HottyWWE SmackDown House Show- House Show @ Dow Event Center in Saginaw, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/7/71/Road_Warrior_Animal_1987.png
