date,event,result,location,image_url
1,07.02.2024,,"Kris Statlander&Willow NightingaledefeatThe Outcasts(Ruby Soho&Saraya) (10:48)AEW Rampage #131- TV-Show @ Footprint Center in Phoenix, Arizona, USA",
2,24.01.2024,,"Anna JaydefeatsRuby Soho(6:57)AEW Rampage #129- TV-Show @ Enmarket Arena in Savannah, Georgia, USA",
3,10.01.2024,,"Anna Jay,Kris Statlander,Thunder Rosa&Willow NightingaledefeatJulia Hart,The Outcasts(Ruby Soho&Saraya) &Skye Blue(9:03)AEW Dynamite #223 - Homecoming 2024 - Tag 1- TV-Show @ Daily's Place in Jacksonville, Florida, USA",
4,27.12.2023,,"Ruby SohodefeatsMarina Shafir(5:13)AEW Rampage #125 - New Year's Smash 2023 - Tag 2- TV-Show @ Addition Financial Arena in Orlando, Florida, USA",
5,13.12.2023,,"RihodefeatsRuby Soho(8:31)AEW Dynamite #219 - Winter Is Coming 2023 - Tag 1- TV-Show @ College Park Center in Arlington, Texas, USA",
6,29.11.2023,,"Hikaru Shida,Kris Statlander&Skye BluedefeatAnna Jay&The Outcasts(Ruby Soho&Saraya) (7:23)AEW Rampage #121- TV-Show @ Target Center in Minneapolis, Minnesota, USA",
7,22.11.2023,,"Three Way:Skye BluedefeatsAnna JayandRuby Soho(8:52)AEW Dynamite #216 - Thanksgiving Eve 2023- TV-Show @ Wintrust Arena in Chicago, Illinois, USA",
8,17.11.2023,,"Hikaru Shida&Kris StatlanderdefeatThe Outcasts(Ruby Soho&Saraya) (10:34)AEW Collision #23- TV-Show @ The Kia Forum in Inglewood, California, USA",
9,10.11.2023,,"Red VelvetdefeatsRuby Soho(8:04)AEW Rampage #118- TV-Show @ Oakland Arena in Oakland, California, USA",
10,25.10.2023,,"AEW Women's World Title:Hikaru Shida(c) defeatsRuby Soho(9:15)AEW Dynamite #212- TV-Show @ Liacouras Center in Philadelphia, Pennsylvania, USA",
11,18.10.2023,,"Ruby SohodefeatsSkye Blue(9:59)AEW Rampage #115- TV-Show @ Fort Bend Epicenter in Rosenberg, Texas, USA",
12,27.09.2023,,"AEW Women's World Title#1 Contendership:Hikaru ShidadefeatsRuby Soho(12:01)AEW Rampage #112- TV-Show @ 1stBank Center in Broomfield, Colorado, USA",
13,03.09.2023,,"AEW TBS Title:Kris Statlander(c) defeatsRuby Soho(12:20)AEW All Out 2023- Pay Per View @ United Center in Chicago, Illinois, USA",
14,02.09.2023,,"The Outcasts(Ruby Soho,Saraya&Toni Storm) defeatDr. Britt Baker DMD,Hikaru Shida&Kris Statlander(8:11)AEW Collision #12- TV-Show @ United Center in Chicago, Illinois, USA",
15,23.08.2023,,"Ruby SohodefeatsSkye Blue(7:15)AEW Dynamite #203 - Fyter Fest 2023 - Tag 1- TV-Show @ Gas South Arena in Duluth, Georgia, USA",
16,16.08.2023,,"Hikaru Shida&Skye BluedefeatThe Outcasts(Ruby Soho&Toni Storm) (10:08)AEW Rampage #106 - Fight For The Fallen 2023 - Tag 2- TV-Show @ Bridgestone Arena in Nashville, Tennessee, USA",
17,15.07.2023,,"Owen Hart Foundation 2023 Women's Tournament Final:Willow NightingaledefeatsRuby Soho(9:08)AEW Collision #5- TV-Show @ Scotiabank Saddledome in Calgary, Alberta, Canada",
18,12.07.2023,,"Owen Hart Foundation 2023 Women's Tournament Semi Final:Ruby SohodefeatsSkye Blue(8:47)AEW Dynamite #197- TV-Show @ SaskTel Centre in Saskatoon, Saskatchewan, Canada",
19,05.07.2023,,"Owen Hart Foundation 2023 Women's Tournament Quarter Final:Ruby SohodefeatsDr. Britt Baker DMD(10:07)AEW Dynamite #196- TV-Show @ Rogers Place in Edmonton, Alberta, Canada",
20,28.06.2023,,"Ruby SohodefeatsAlexia Nicole(2:08)AEW Dynamite #195- TV-Show @ FirstOntario Centre in Hamilton, Ontario, Canada",
21,17.06.2023,,"Skye Blue&Willow NightingaledefeatThe Outcasts(Ruby Soho&Toni Storm) (8:04)AEW Collision #1- TV-Show @ United Center in Chicago, Illinois, USA",
22,02.06.2023,,"Dr. Britt Baker DMDdefeatsRuby SohoAEW House Rules Tour - Tag 4- House Show @ Cadence Bank Arena in Tupelo, Mississippi, USA",
23,17.05.2023,,"The Outcasts(Ruby Soho&Toni Storm) defeatDr. Britt Baker DMD&Hikaru Shida(9:15)AEW Dynamite #189- TV-Show @ Moody Center in Austin, Texas, USA",
