date,event,result,location,image_url
1,10.08.2025,,"ACW United States TitleThree Way:Chris Slade(c) defeatsRuckusandSicendACW Burnie Beatdown- Event @ Glen Burnie Post 40 in Glen Burnie, Maryland, USA",
2,18.07.2025,,"ACW Tag Team        Title:The Sabbath(Kindred& Tavon Thomas) (c) defeatBLK OUT(Ruckus& Travis Norbert)ACW Hagerstown Heat- Event @ Hagerstown Elks Lodge in Hagerstown, Maryland, USA",
3,04.07.2025,,"Six Way Scramble:Pizza Cat Jr.defeatsCharlie TigerandClaude Marrow Jr.andLucky 13andSean HendersonandTony Deppen(4:57)GCW Backyard Wrestling 7- Pay Per View @ West Creek, New Jersey, USA",
4,31.05.2025,,"BCW   Title:B-Boy(c) defeatsRuckus(9:07)BCW Original Sin- Pay Per View @ 2300 Arena in Philadelphia, Pennsylvania, USA",
5,17.05.2025,,"GCW World Title:Effy(c) defeatsRuckus(16:34)GCW Big Time- Pay Per View @ RJ Meyer Arena in Joppa, Maryland, USA",
6,16.05.2025,,"BLK OUT(Ruckus& Travis Norbert) defeat The Newer Age Job Squad (Eric Ecton&Sean Raymond)ACW Brewery Brawl- Event @ CheckerSpot Brewing Co. in Baltimore, Maryland, USA",
7,02.05.2025,,"Red DawgdefeatsRuckusRMPW Emergence- Event @ Middleway, West Virginia, USA",
8,27.04.2025,,"ACW Tag Team        Title:The Sabbath(Kindred& Tavon Thomas) defeatBLK OUT(Ruckus& Travis Norbert) (c) -TITLE CHANGE !!!ACW Spring In The Ring- Event @ American Legion Post #40 in Glen Burnie, Maryland, USA",
9,06.04.2025,,"GCW Ultraviolent TitleHardcore:Matt Tremont(c) defeatsRuckus(13:01)GCW The Philly Special- Pay Per View @ Harrah's Philadelphia Casino And Racetrack in Chester, Pennsylvania, USA",
10,21.03.2025,,"ACW Tag Team        TitleThree Way:BLK OUT(Ruckus& Travis Norbert) (c) defeatThe Sabbath(Kindred& Tavon Thomas) and The Sugar Daddies (Austin Kingsley& Dan Stofko)ACW Is Here To Show The World- Event @ Breakaway II Sports Lounge in Hagerstown, Maryland, USA",
11,08.02.2025,,"Key To The City Tag Team Ladder:Hank The Buffalo (Robby Illuminati) &Tommy GraysondefeatBLK OUT(Kristian Ross&Ruckus)SPO Key To The City- Online Stream @ Harrah's Philadelphia Casino And Racetrack in Chester, Pennsylvania, USA",
12,11.01.2025,,"Tarzan DurandefeatsRuckusGHW New Jack City Swing- Event @ Gloucester City, New Jersey, USA",
13,29.12.2024,,"The Sabbath(Kindred& Tavon Thomas) defeatRuckus& Travis NorbertACW King Of Maryland 2024- Event @ American Legion Post #40 in Glen Burnie, Maryland, USA",
14,14.12.2024,,"BLK OUT(Myron Malone,Robby Mireno&Ruckus) defeat The Sex With Your Next Ex Express (Chris Slade,Kristian Ross& Undercover Lover) (7:15)BCW And To All A Good Night- Pay Per View @ 2300 Arena in Philadelphia, Pennsylvania, USA",
15,08.11.2024,,"ACW Tag Team        TitleThree Way:BLK OUT(Robby Illuminati&Ruckus) (c) defeatRiot City's Most Wanted(Jason Drake&Sicend) and The Newer Age Job Squad (Eric Ecton&Sean Raymond)ACW Gets Clotheslined- Event @ Breakaway II Sports Lounge in Hagerstown, Maryland, USA",
16,02.11.2024,,"GQ& Hank The Buffalo defeatBLK OUT(Robby Illuminati&Ruckus)SPO Roll The Dice- Online Stream @ Harrah's Philadelphia Casino And Racetrack in Chester, Pennsylvania, USA",
