date,event,result,location,image_url
1,11.09.2025,,"La Faccion Ingobernable(Rush&Sammy Guevara) defeatThe Von Erichs(Marshall von Erich&Ross von Erich)ROH TV Taping- Event @ 2300 Arena in Philadelphia, Pennsylvania, USA",
2,29.08.2025,,"ROH World Tag Team TitleMatch (vakant):La Faccion Ingobernable(Rush&Sammy Guevara) defeatThe Outrunners(Truth Magnum&Turbo Floyd) (13:02) -TITLE CHANGE !!!ROH Death Before Dishonor 2025- Online Stream @ 2300 Arena in Philadelphia, Pennsylvania, USA",
3,13.08.2025,,"The Opps(Katsuyori Shibata,Powerhouse Hobbs&Samoa Joe) defeatLa Faccion Ingobernable(Dralistico,Rush&The Beast Mortos) (9:55)AEW Dynamite #306- TV-Show @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",
4,09.08.2025,,"Adam Page&JetSpeed(Kevin Knight&Mike Bailey) defeatLa Faccion Ingobernable(Dralistico,Rush&The Beast Mortos) (14:43)AEW Collision #105- TV-Show @ Berglund Center in Roanoke, Virginia, USA",
5,31.07.2025,,"Five Minute Challenge:Max Castervs.Rush- Time Limit Draw (5:00)AEW Collision #104- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",
6,17.07.2025,,"RushdefeatsKatsuyori Shibata(10:35)AEW Collision #102- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",
7,04.06.2025,,"JetSpeed(Kevin Knight&Mike Bailey) &KomanderdefeatLa Faccion Ingobernable(Dralistico,Rush&The Beast Mortos) (14:27)AEW Dynamite #296 - Fyter Fest 2025- TV-Show @ Mission Ballroom in Denver, Colorado, USA",
8,28.05.2025,,"La Faccion Ingobernable(Dralistico,Rush&The Beast Mortos) defeatAR Fox&Top Flight(Dante Martin&Darius Martin) (10:21)AEW Collision #95- TV-Show @ El Paso County Coliseum in El Paso, Texas, USA",
9,21.05.2025,,"Komander&Mike BaileydefeatLa Faccion Ingobernable(Dralistico&Rush) (12:16)AEW Collision #94- TV-Show @ Rio Rancho Events Center in Rio Rancho, New Mexico, USA",
10,03.05.2025,,"100.000 Dollar Four Way:Sammy GuevaradefeatsAR FoxandKevin KnightandRush(10:37)AEW Collision #91- TV-Show @ Adrian Phillips Theater At Boardwalk Hall in Atlantic City, New Jersey, USA",
11,23.04.2025,,"RushdefeatsAR Fox(3:07)AEW Collision #90 - Playoff Palooza- TV-Show @ UNO Lakefront Arena in New Orleans, Louisiana, USA",
