date,event,result,location,image_url
1,31.03.2022,,"Joey JaneladefeatsX-Pac(19:19)GCW Joey Janela's Spring Break 6 Part 1- Pay Per View @ Fair Park in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/d3/1-2-3_Kid_in_1995.jpg
2,25.02.2022,,"Joey Janela&X-PacdefeatThe Major Players(Brian Myers&Matt Cardona) (20:02)GCW Welcome To Heartbreak- Pay Per View @ Ukrainian Culture Center in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/d/d3/1-2-3_Kid_in_1995.jpg
3,04.04.2019,,"Hurricane Helms,Jushin Thunder Liger&X-PacdefeatRevolt!(Caleb Konley,Jake Manning&Zane Riley) (13:38)WrestleCon Mark Hitchcock Memorial SuperShow 2019- Pay Per View @ Hilton New York Midtown Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/d/d3/1-2-3_Kid_in_1995.jpg
4,26.10.2018,,"Elimination:Team Insane Generation X (Billy Gunn,Grado,Lionheart,Sha Samuels&X-Pac) defeat Team Polo Promotions (Aaron Echo,Jackie Polo,Joe Coffey,Kenny Williams&Mark Coffey)SWA- Event @ Paisley Lagoon Leisure Centre in Paisley, Renfrewshire, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/d/d3/1-2-3_Kid_in_1995.jpg
5,19.10.2018,,"Buff Bagwell,Scott Norton&Sean WaltmandefeatDanny Adams,Kevin Lee Davidson&Mike OutlawGlory Pro Unsanctioned- Event @ Pop's Nightclub in Sauget, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/d/d3/1-2-3_Kid_in_1995.jpg
6,29.07.2018,,"Arik Cannon&Sean WaltmandefeatDarin Corbin&Rob JusticeHOW FortuneBaynia- Event @ Fortune Bay Resort & Casino in Tower, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/d/d3/1-2-3_Kid_in_1995.jpg
7,13.07.2018,,"JT Dunn&X-PacdefeatKillanova Inc(Christian Casanova&Triplelicious)CW- Event @ Game Time Sports & Fitness Center in Lowell, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/d/d3/1-2-3_Kid_in_1995.jpg
8,23.06.2018,,"Nick Dinsmore&Sean WaltmandefeatThe Stud Club(AJ Smooth&Ray Feuring)IPW- Event @ The Keg Stand in Des Moines, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/d/d3/1-2-3_Kid_in_1995.jpg
9,28.04.2018,,"Randy Myers&X-PacdefeatDr. Kliever&DrexlDEFY Legendary- Event @ People's Center in Tacoma, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/d/d3/1-2-3_Kid_in_1995.jpg
10,17.03.2018,,"Georgia Heat(Cody Roberts&Josh Cantrell) &X-PacdefeatCyrus The Destroyer,Josey Quinn&QT Marshall(13:58)GPW- Event @ Old Buffington Elementary School Gym in Canton, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/d/d3/1-2-3_Kid_in_1995.jpg
