date,event,result,location,image_url
1,19.07.2025,,"Rail City Rumble:Braden Elliottdefeats Banana Man andCanaan Kristopherand Clay Campbell and Coach andCowpoke Pauland Crusher Red and Crusher White andDC Bentleyand Direwolf andGerard GarrettandGorgeous GregoryandJames Rossand Johnny Mahalo and Justin Shane andKeegan TaylorandKim Cheeand Kriss Sans andLucio DeveerandMagnus KnoxandMalaki Gageand Marcus DeAngelo andShane Douglasand Sweet Baby Trey and The Foxcatcher and Xavier and Neighbor JohnImagine Wrestling Rail City Rumble 2025- Event @ Juniata Civics Association in Altoona, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Dean_Douglas_at_RAH2.jpg
2,12.07.2025,,"Ryse Grand TitleRyse Rumble:David LawlessdefeatsChristian Noir(c) andAJ Alexanderand Axel Law andBrandon KandChance Prophetand Chris Helmsley andChris LeRussoand Clayton King andCowpoke PaulandDaniel NovaandDavid Lawlessand Don Murphy andEdric EverhartandEl TainoandGianni Michael EmrickoandGorgeous GregoryandJace MaraandJohnLee KirkandKeith HaughtandMagnus KnoxandManbun JesusandPat AngelandRon MathisandSam BealeandShane DouglasandSonny ViceandSuper OprahandTad Jarvisand Tyson Riggs -TITLE CHANGE !!!Ryse Rumble 2025- Event @ Uniontown Mall in Uniontown, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Dean_Douglas_at_RAH2.jpg
3,07.07.2025,,"Dalton McKenzie&Shane DouglasdefeatCarson Drake&Tyler JordanSpot Monkey Promotions Good Night For A Fair Fight- Event @ Adam's County Fair in West Union, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Dean_Douglas_at_RAH2.jpg
4,05.07.2025,,"ACW Super H Title:Nick Hamrick(c) defeatsShane DouglasRPW/ACW Sternwheel Slamboree 2025- Event @ Live On The Levee in Charleston, West Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Dean_Douglas_at_RAH2.jpg
5,28.06.2025,,"Chrisifix&Shane Douglasdefeat Bryan Montgomery &Evan GoldenTTT The Franchise Begins- Event @ Gray Armed Forces Center in Johnson City, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Dean_Douglas_at_RAH2.jpg
6,27.06.2025,,"Chance Prophet,Shane Douglas&The Powers Of Pain(The Barbarian&The Warlord) defeatCanaan Kristopher,Chase Emery,Gorgeous Gregory&Nick HamrickASW/ACW The Great FreedomFest Bash 2025- Event @ Logan, West Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Dean_Douglas_at_RAH2.jpg
7,26.06.2025,,"ACW Six Man Tag Team Title:We've Got Kids (Principal Chad,Shane Douglas&The Barbarian) (c) defeat The New Franchise Players (Canaan Kristopher,Gorgeous Gregory&Nick Hamrick)ACW For Those About To Rock 2025- Event @ Buffalo Wild Wings in Mount Hope, West Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Dean_Douglas_at_RAH2.jpg
8,03.05.2025,,"(Special Referee: John Finegan):Gary Wolf&Shane Douglasdefeat Memphis Mafia (Doug Gilbert&Tommy Rich)TWA One And Done- Event @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Dean_Douglas_at_RAH2.jpg
9,26.04.2025,,"SCX TitleCircle City Rumble Match (vakant):Jake Omendefeats Alex Gunn andArie AlexanderandBen BishopandBig MamaandCrash JaxonandCreed CostelloandDalton McKenzieandDayamiandEddie GonzalesandElijah ErosandHayden BacklundandHooksand Johnny Sisco andJosh Shernoffand King Bomani andMatt CardonaandNate WebbandParty MikeandPaxton CallowayandPrima Donnyand Savio Leone andSavionandSgt. LedbetterandShane DouglasandShark BoyandShawna ReedandSwoggleandTim LutzandTony Gunn-TITLE CHANGE !!!SCX Circle City Rumble- Online Stream @ The Wyndham in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Dean_Douglas_at_RAH2.jpg
10,13.04.2025,,"Gorgeous Gregory&Nick Hamrickvs.Bruce Grey&Shane Douglas- No ContestACW- Event @ Scott Depot, West Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Dean_Douglas_at_RAH2.jpg
