date,event,result,location,image_url
1,03.12.2023,,"Little Mean Kathleen,Spike Dudley&Teddy GoodzdefeatThe Cosmic Cuties(Aaron Rourke,Ava Everett&LSG) (9:25)LIVE Whaling City Rumble- Online Stream @ Vault Music Hall in New Bedford, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/3/3c/Matt_Hyson_-_2CW.jpg
2,20.12.2015,,"Three Way:Spike DudleydefeatsJason AxeandJimmy Olsen(14:23)2CW #2Sets: The Final Show- Pay Per View @ Pastime Athletic Club in Syracuse, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/3c/Matt_Hyson_-_2CW.jpg
3,13.07.2014,,"Sean Carr&Spike DudleydefeatTeam CK(Kage&Rob Cook)2CW In 3D- Event @ Jefferson County Fair in Watertown, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/3c/Matt_Hyson_-_2CW.jpg
4,09.11.2013,,"Hardcore Battle Royal:Vik Dalishusdefeats Anthony Michaels andBill CarrandBrooke Danielleand CJ Mirror andD3andDanny Doringand Fungus andHale Collinsand Harley Cruise and Joe Caldo andJohn RedbeardandKing DanzaandLittle GuidoandMike Mitchelland Nick Owens and Roberto Castillo andShawn SchultzandSpike Dudleyand T. Sizzle and The Silent Assassin andTony DeVito(24:07)HOH III- Event @ Mid-Hudson Civic Center in Poughkeepsie, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/3c/Matt_Hyson_-_2CW.jpg
5,17.05.2013,,"Spike DudleydefeatsJason Axe2CW Best Of What's Around- Event @ Lexington Center in Gloversville, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/3c/Matt_Hyson_-_2CW.jpg
6,20.04.2013,,"No Holds Barred:MASADAdefeatsSpike Dudley(12:11)2CW Living On The Edge 8 - Tag 2- Online Stream @ Fairgrounds Arena in Watertown, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/3c/Matt_Hyson_-_2CW.jpg
7,23.03.2013,,"Rikishi&Spike Dudleydefeat Border Patrol (Slade& Slash)BTW Spring Tour 2013- Event @ Webster Town Hall in Webster, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/3/3c/Matt_Hyson_-_2CW.jpg
8,19.03.2013,,"Tables:Brother Runt&Jeff HardydefeatAces And Eights(Bully Ray&Devon) (9:44)TNA One Night Only - Hardcore Justice 2- Pay Per View @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/3c/Matt_Hyson_-_2CW.jpg
9,16.02.2013,,"Three Way:Spike DudleydefeatsJason AxeandMASADA2CW Heatwave- Event @ Cruisers Hockey & Bar in Niagara Falls, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/3c/Matt_Hyson_-_2CW.jpg
10,15.02.2013,,"Texas Tornado Rules:Isys Ephex&Spike DudleydefeatJason Axe&Kevin Steen2CW Singled Out- Event @ Oswego Armory in Oswego, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/3c/Matt_Hyson_-_2CW.jpg
11,17.11.2012,,"Four Way:DJ HydedefeatsJason AxeandMasadaandSpike Dudley2CW Gas Into Fire- Event @ American Legion Post #80 in Binghamton, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/3c/Matt_Hyson_-_2CW.jpg
12,16.11.2012,,"2CW Heavyweight Title:Kevin Steen(c) defeatsSpike Dudley2CW Highway To Hell- Event @ Exhibition Hall in Watertown, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/3c/Matt_Hyson_-_2CW.jpg
