date,event,result,location,image_url
1,11.04.2015,,"Cho Kibou-Gun(Maybach Taniguchi,Mitsuhiro Kitamiya&Takeshi Morishima) defeatTMDK(Mikey Nicholls&Shane Haste) &Super Crazy(12:49)NOAH Ark Echigo Spring Storm- TV-Show @ Niigata City Gymnasium in Niigata, Japan",https://upload.wikimedia.org/wikipedia/commons/d/de/Takeshi_Morishima_Moline_IL_081908.jpg
2,29.03.2015,,"Cho Kibou-Gun(Maybach Taniguchi&Takeshi Morishima) defeatBRAVE(Atsushi Kotoge&Mohammed Yone) (10:04)NOAH Spring Navigation 2015 - Tag 3- Event @ Ao-re Nagaoka Arena in Nagaoka, Niigata, Japan",https://upload.wikimedia.org/wikipedia/commons/d/de/Takeshi_Morishima_Moline_IL_081908.jpg
3,28.03.2015,,"Takeshi MorishimadefeatsAkitoshi Saito(10:45)NOAH Spring Navigation 2015 - Tag 2- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/de/Takeshi_Morishima_Moline_IL_081908.jpg
4,21.03.2015,,"Cho Kibou-Gun(Mitsuhiro Kitamiya&Takeshi Morishima) defeatTMDK(Jonah Rock&Mikey Nicholls) (12:04)NOAH Spring Navigation 2015 - Tag 1- Event @ Yokohama Radiant Hall in Yokohama, Kanegawa, Japan",https://upload.wikimedia.org/wikipedia/commons/d/de/Takeshi_Morishima_Moline_IL_081908.jpg
5,15.03.2015,,"Cho Kibou-Gun(Maybach Taniguchi&Takeshi Morishima) defeatHiroyoshi Tenzan&Manabu Nakanishi(12:11)NOAH Great Voyage 2015 In Tokyo- TV-Show @ Ariake Coliseum in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/de/Takeshi_Morishima_Moline_IL_081908.jpg
6,08.03.2015,,"Cho Kibou-Gun(Kenou,Maybach Taniguchi&Takeshi Morishima) defeatNo Mercy(Akitoshi Saito&Takashi Sugiura) &Quiet Storm(10:50)NOAH Countdown To March 15th - Tag 3- TV-Show @ Shin-Kiba 1st Ring in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/de/Takeshi_Morishima_Moline_IL_081908.jpg
7,07.03.2015,,"BRAVE(Mohammed Yone&Taiji Ishimori) &Yoshinari OgawadefeatCho Kibou-Gun(Maybach Taniguchi,Mitsuhiro Kitamiya&Takeshi Morishima) (10:27)NOAH Countdown To March 15th - Tag 2- Online Stream @ Shin-Kiba 1st Ring in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/de/Takeshi_Morishima_Moline_IL_081908.jpg
8,01.03.2015,,"TMDK(Jonah Rock,Mikey Nicholls&Shane Haste) defeatCho Kibou-Gun(Hajime Ohara,Maybach Taniguchi&Takeshi Morishima) (13:27)NOAH Countdown To March 15th - Tag 1- Event @ Ibaraki Prefectural Sports Center in Mito, Ibaraki, Japan",https://upload.wikimedia.org/wikipedia/commons/d/de/Takeshi_Morishima_Moline_IL_081908.jpg
9,27.02.2015,,"Takeshi MorishimadefeatsTakashi Sugiura(13:58)NOAH Cho Kibou-Gun Performance- Online Stream @ Eastern Friend Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/de/Takeshi_Morishima_Moline_IL_081908.jpg
10,22.02.2015,,"Cho Kibou-Gun(Maybach Taniguchi,Mitsuhiro Kitamiya&Takeshi Morishima) defeatHiroyoshi Tenzan,Manabu Nakanishi&Yohei Komatsu(10:57)NOAH The Second Navigation 2015 - Tag 3- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/de/Takeshi_Morishima_Moline_IL_081908.jpg
