date,event,result,location,image_url
1,09.11.2020,,"WWE United States Title:Bobby Lashley(c) defeatsTitus O'Neil(1:05)WWE Monday Night RAW #1433- TV-Show @ WWE ThunderDome (Amway Center) in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/221228-N-BD231-1231_%2852594202141%29_%28Titus_O%27Neil_3x4%29.jpg
2,02.11.2020,,"Titus O'NeildefeatsErik(5:08)WWE Main Event #423- Online Stream @ WWE ThunderDome (Amway Center) in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/221228-N-BD231-1231_%2852594202141%29_%28Titus_O%27Neil_3x4%29.jpg
3,12.10.2020,,"Titus O'NeildefeatsDrew Gulak(5:51)WWE Main Event #420- Online Stream @ WWE ThunderDome (Amway Center) in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/221228-N-BD231-1231_%2852594202141%29_%28Titus_O%27Neil_3x4%29.jpg
4,03.08.2020,,"Angel GarzadefeatsTitus O'Neil(6:37)WWE Main Event #411- Online Stream @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/221228-N-BD231-1231_%2852594202141%29_%28Titus_O%27Neil_3x4%29.jpg
5,20.07.2020,,"Riddick MossdefeatsTitus O'Neil(5:03)WWE Main Event #409- Online Stream @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/221228-N-BD231-1231_%2852594202141%29_%28Titus_O%27Neil_3x4%29.jpg
6,03.07.2020,,"Titus O'NeildefeatsAkira Tozawa(4:50)WWE Main Event #406- Online Stream @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/221228-N-BD231-1231_%2852594202141%29_%28Titus_O%27Neil_3x4%29.jpg
7,27.04.2020,,"Money In The Bank Qualifying Last Chance Gauntlet:AJ StylesdefeatsAkira TozawaandAngel GarzaandAustin TheoryandBobby LashleyandHumberto CarrilloandShelton BenjaminandTitus O'Neil(37:45)WWE Monday Night RAW #1406- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/221228-N-BD231-1231_%2852594202141%29_%28Titus_O%27Neil_3x4%29.jpg
8,16.12.2019,,"Dark:Titus O'NeildefeatsEric YoungWWE Monday Night RAW #1386- Dark Match @ Wells Fargo Arena in Des Moines, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/221228-N-BD231-1231_%2852594202141%29_%28Titus_O%27Neil_3x4%29.jpg
9,25.11.2019,,"Bobby LashleydefeatsTitus O'Neilby DQ (0:57)WWE Monday Night RAW #1383- TV-Show @ Allstate Arena in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/221228-N-BD231-1231_%2852594202141%29_%28Titus_O%27Neil_3x4%29.jpg
10,16.11.2019,,"Titus O'NeildefeatsShelton BenjaminWWE Live- House Show @ Mitsubishi Electric Halle in Düsseldorf, Nordrhein-Westfalen, Deutschland",https://upload.wikimedia.org/wikipedia/commons/4/40/221228-N-BD231-1231_%2852594202141%29_%28Titus_O%27Neil_3x4%29.jpg
11,15.11.2019,,"Titus O'NeildefeatsShelton BenjaminWWE Live- House Show @ Donau-Arena in Regensburg, Bayern, Deutschland",https://upload.wikimedia.org/wikipedia/commons/4/40/221228-N-BD231-1231_%2852594202141%29_%28Titus_O%27Neil_3x4%29.jpg
12,13.11.2019,,"Titus O'NeildefeatsShelton BenjaminWWE Live- House Show @ Messe Erfurt in Erfurt, Thüringen, Deutschland",https://upload.wikimedia.org/wikipedia/commons/4/40/221228-N-BD231-1231_%2852594202141%29_%28Titus_O%27Neil_3x4%29.jpg
