date,event,result,location,image_url
1,30.08.2025,,"The Don Callis Family(Josh Alexander&Kyle Fletcher) defeatThe Conglomeration(Kyle O'Reilly&Tomohiro Ishii) (13:00)AEW Collision #108- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/b/b8/Tomohiro_Ishii_2014.JPG
2,29.08.2025,,"The Conglomeration(Hologram&Tomohiro Ishii) defeatThe Premier Athletes(Ariya Daivari&Tony Nese) (12:33)ROH Death Before Dishonor 2025- Online Stream @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/b/b8/Tomohiro_Ishii_2014.JPG
3,22.08.2025,,"Tomohiro IshiidefeatsJay Joshua(13:18)RevPro 13 Year Anniversary Show - Tag 1: Global Wars UK- Online Stream @ Crystal Palace National Sports Centre in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/b/b8/Tomohiro_Ishii_2014.JPG
4,20.08.2025,,"Konosuke TakeshitadefeatsTomohiro Ishii(10:36)AEW Collision #107- TV-Show @ OVO Hydro in Glasgow, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/b/b8/Tomohiro_Ishii_2014.JPG
5,14.08.2025,,"The Conglomeration(Hologram&Tomohiro Ishii) defeatThe Premier Athletes(Ariya Daivari&Tony Nese) (8:32)ROH on HonorClub #132- Online Stream @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/b/b8/Tomohiro_Ishii_2014.JPG
6,13.08.2025,,"Brody King,The Conglomeration(Hologram&Tomohiro Ishii) &Hiromu TakahashidefeatThe Don Callis Family(Josh Alexander&Kyle Fletcher) &The Young Bucks(Matt Jackson&Nick Jackson) (16:26)AEW Dynamite #306- TV-Show @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/b/b8/Tomohiro_Ishii_2014.JPG
7,09.08.2025,,"AEW TNT Title:Kyle Fletcher(c) defeatsTomohiro Ishii(16:39)AEW Collision #105- TV-Show @ Berglund Center in Roanoke, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/b/b8/Tomohiro_Ishii_2014.JPG
8,30.07.2025,,"Tomohiro IshiidefeatsOro(4:40)ROH on HonorClub #129- Online Stream @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/b/b8/Tomohiro_Ishii_2014.JPG
9,26.07.2025,,"400.000 Dollar:The Conglomeration(Hologram&Tomohiro Ishii) &The Outrunners(Truth Magnum&Turbo Floyd) defeatThe Don Callis Family(Hechicero&Lance Archer) &The Infantry(Carlie Bravo&Shawn Dean) (11:41)AEW Collision #103- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/b/b8/Tomohiro_Ishii_2014.JPG
10,17.07.2025,,"The Conglomeration(Hologram&Tomohiro Ishii) defeatMxM Collection(Mansoor&Mason Madden) (7:13)ROH on HonorClub #127- Online Stream @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/b/b8/Tomohiro_Ishii_2014.JPG
11,12.07.2025,,"Big Boom AJ&The Conglomeration(Hologram,Kyle O'Reilly&Tomohiro Ishii) defeatThe Don Callis Family(Hechicero,Lance Archer,Rocky Romero&Trent Beretta) (12:52)AEW All In Texas - Zero Hour- Online Stream @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/b8/Tomohiro_Ishii_2014.JPG
12,06.07.2025,,"G1 Climax 35 Block A Play-In Gauntlet:TaichidefeatsChase OwensandSatoshi KojimaandTomohiro Ishii(29:26)NJPW New Japan Soul 2025 - Tag 9- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/b/b8/Tomohiro_Ishii_2014.JPG
13,04.07.2025,,"Shota Umino,Taichi,Tiger Mask,Tomohiro Ishii&Yuji NagatadefeatHouse Of Torture(Dick Togo,DOUKI,EVIL,SANADA&Yoshinobu Kanemaru) (7:37)NJPW New Japan Soul 2025 - Tag 8- Online Stream @ Tokyo Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/b/b8/Tomohiro_Ishii_2014.JPG
14,29.06.2025,,"House Of Torture(Chase Owens,EVIL,Ren Narita&Yujiro Takahashi) defeatTaichi,Tomohiro Ishii,YOSHI-HASHI&Yuya Uemura(8:43)NJPW Tanahashi Jam- TV-Show @ Aichi Prefectural Gymnasium in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/b/b8/Tomohiro_Ishii_2014.JPG
15,27.06.2025,,"Ryusuke Taguchi,Taichi&Tomohiro IshiidefeatUnited Empire(Callum Newman,Great-O-Khan&Jakob Austin Young) (10:10)NJPW New Japan Soul 2025 - Tag 7- Event @ Shiga Theatre for Cultural and Industrial Development Event Hall in Maibara, Shiga, Japan",https://upload.wikimedia.org/wikipedia/commons/b/b8/Tomohiro_Ishii_2014.JPG
16,26.06.2025,,"Taichi,Tomohiro Ishii&Yuya UemuradefeatUnited Empire(Callum Newman,Great-O-Khan&Jakob Austin Young) (9:07)NJPW New Japan Soul 2025 - Tag 6- Event @ Chino Cultural Complex in Chino, Nagano, Japan",https://upload.wikimedia.org/wikipedia/commons/b/b8/Tomohiro_Ishii_2014.JPG
17,23.06.2025,,"G1 Climax 35 Block B Play-In:Drilla MoloneydefeatsTomohiro Ishii(17:10)NJPW New Japan Soul 2025 - Tag 5- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/b/b8/Tomohiro_Ishii_2014.JPG
18,22.06.2025,,"Hiroshi Tanahashi,Ryusuke Taguchi&Tomohiro IshiidefeatBULLET CLUB War Dogs(Drilla Moloney,Gabe Kidd&Gedo) (10:51)NJPW New Japan Soul 2025 - Tag 4- Event @ Toyota Crown Arena in Fukushima, Japan",https://upload.wikimedia.org/wikipedia/commons/b/b8/Tomohiro_Ishii_2014.JPG
