date,event,result,location,image_url
1,11.09.2025,,"Mixed:The Premier Athletes(Ariya Daivari, Stori Denali &Tony Nese) defeat ???, ??? & ???ROH TV Taping- Event @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
2,30.08.2025,,"The Premier Athletes(Ariya Daivari&Tony Nese) defeatSpanish Announce Project(Angelico&Serpentico) (7:39)ROH YouTube Special Episode #2- Online Stream @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
3,29.08.2025,,"The Conglomeration(Hologram&Tomohiro Ishii) defeatThe Premier Athletes(Ariya Daivari&Tony Nese) (12:33)ROH Death Before Dishonor 2025- Online Stream @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
4,14.08.2025,,"The Conglomeration(Hologram&Tomohiro Ishii) defeatThe Premier Athletes(Ariya Daivari&Tony Nese) (8:32)ROH on HonorClub #132- Online Stream @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
5,31.07.2025,,"El Sky Team(Mascara Dorada&Neon) defeatThe Premier Athletes(Ariya Daivari&Tony Nese) (6:55)ROH YouTube Special Episode #1- Online Stream @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
6,11.07.2025,,"The Von Erichs(Marshall von Erich&Ross von Erich) defeatThe Premier Athletes(Ariya Daivari&Tony Nese) (8:41)ROH Supercard Of Honor 2025 - Zero Hour- Online Stream @ Esports Stadium Arlington in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
7,21.06.2025,,"The Sons Of Texas(Dustin Rhodes,Marshall von Erich,Ross von Erich&Sammy Guevara) defeatGrizzled Young Veterans(James Drake&Zack Gibson) &The Premier Athletes(Ariya Daivari&Tony Nese) (8:39)ROH on HonorClub #124- Online Stream @ accesso ShoWare Center in Kent, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
8,08.05.2025,,"The Sons Of Texas(Dustin Rhodes&Sammy Guevara) &The Von Erichs(Marshall von Erich&Ross von Erich) defeatMxM Collection(Mansoor&Mason Madden) &The Premier Athletes(Ariya Daivari&Tony Nese) (7:17)ROH on HonorClub #116- Online Stream @ Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
9,12.04.2025,,"The Premier Athletes(Ariya Daivari&Tony Nese) &The Righteous(Dutch&Vincent) defeatSpanish Announce Project(Angelico&Serpentico) &The Kingdom(Matt Taven&Mike Bennett) (8:13)ROH on HonorClub #113- Online Stream @ MassMutual Center in Springfield, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
10,29.03.2025,,"The Outrunners(Truth Magnum&Turbo Floyd) defeatThe Premier Athletes(Ariya Daivari&Tony Nese) (8:23)ROH on HonorClub #110- Online Stream @ UW-Milwaukee Panther Arena in Milwaukee, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
11,15.03.2025,,"The Premier Athletes(Ariya Daivari&Tony Nese) defeatThe Dark Order(Alex Reynolds&Evil Uno) (8:02)ROH on HonorClub #109- Online Stream @ The Theater At Virgin Hotels Las Vegas in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
12,05.03.2025,,"The Outrunners(Truth Magnum&Turbo Floyd) defeatThe Premier Athletes(Ariya Daivari&Tony Nese) (8:33)AEW Collision #83- TV-Show @ Memorial Auditorium in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
13,01.03.2025,,"Gates Of Agony(Bishop Kaun&Toa Liona) &Top Flight(Dante Martin&Darius Martin) defeatThe Frat House(Cole Karter&Preston Vance) &The Premier Athletes(Ariya Daivari&Tony Nese) (8:24)ROH on HonorClub #107- Online Stream @ Oakland Arena in Oakland, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
14,08.02.2025,,"12 Man:The Outrunners(Truth Magnum&Turbo Floyd),The Von Erichs(Marshall von Erich&Ross von Erich) &Top Flight(Dante Martin&Darius Martin) defeatThe Frat House(Griff Garrison,Jacked Jameson&Preston Vance) &The Premier Athletes(Ariya Daivari,Mark Sterling&Tony Nese) (8:52)ROH on HonorClub #104- Online Stream @ Fort Bend Epicenter in Rosenberg, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
15,25.01.2025,,"Four Way:The Outrunners(Truth Magnum&Turbo Floyd) defeatGrizzled Young Veterans(James Drake&Zack Gibson) andThe Dark Order(Alex Reynolds&Evil Uno) andThe Premier Athletes(Ariya Daivari&Tony Nese) (10:19)ROH on HonorClub #102- Online Stream @ Daily's Place in Jacksonville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
16,11.01.2025,,"The Beast MortosdefeatsTony Nese(10:06)ROH on HonorClub #99- Online Stream @ Akins Ford Arena in Athens, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
17,21.12.2024,,"Katsuyori Shibata&Tommy BillingtondefeatThe Premier Athletes(Ariya Daivari&Tony Nese) (6:45)ROH on HonorClub #96 - Boxing Day Brawl- Online Stream @ Hammerstein Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
18,12.12.2024,,"The Outrunners(Truth Magnum&Turbo Floyd),Daniel Garcia,Komander&Orange CassidydefeatThe Premier Athletes(Ariya Daivari,Josh Woods&Tony Nese) &MxM Collection(Mansoor&Mason Madden) (8:48)AEW Collision #73 - Winter Is Coming 2024 - Tag 3- TV-Show @ Chaifetz Arena in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
19,07.12.2024,,"The Outrunners(Truth Magnum&Turbo Floyd) defeatThe Premier Athletes(Ariya Daivari&Tony Nese) (8:04)ROH on HonorClub #94- Online Stream @ Greater Columbus Convention Center in Columbus, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
20,17.10.2024,,"Daniel Garcia&Private Party(Quen&Zay) defeatThe Premier Athletes(Ariya Daivari,Josh Woods&Tony Nese) (9:44)AEW Collision #66- TV-Show @ Adventist Health Arena in Stockton, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
21,12.10.2024,,"The Conglomeration(Kyle O'Reilly&Orange Cassidy) &The Outrunners(Truth Magnum&Turbo Floyd) defeatThe Dark Order(Alex Reynolds&John Silver) &The Premier Athletes(Ariya Daivari&Tony Nese) (11:30)AEW WrestleDream 2024 - Zero Hour- Online Stream @ Tacoma Dome in Tacoma, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
22,03.10.2024,,"The Conglomeration(Kyle O'Reilly&Orange Cassidy) defeatThe Premier Athletes(Ariya Daivari&Tony Nese) (10:18)AEW Collision #65- TV-Show @ Huntington Center in Toledo, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
23,25.09.2024,,"ROH World Six Man Tag Team TitleProving Ground:Dustin Rhodes&The Von Erichs(Marshall von Erich&Ross von Erich) [c] defeatThe Premier Athletes(Ariya Daivari,Mark Sterling&Tony Nese) (6:17)ROH on HonorClub #84- Online Stream @ New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
24,21.09.2024,,"Hologram&The Conglomeration(Kyle O'Reilly&Mark Briscoe) defeatThe Premier Athletes(Ariya Daivari,Josh Woods&Tony Nese) (8:59)AEW Collision #63- TV-Show @ MassMutual Center in Springfield, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
25,12.09.2024,,"Hologram&The Conglomeration(Kyle O'Reilly&Mark Briscoe) defeatThe Beast Mortos&The Premier Athletes(Ariya Daivari&Tony Nese) (10:37)AEW Collision #62- TV-Show @ Wright State University Nutter Center in Dayton, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
26,07.09.2024,,"Dustin Rhodes,Hologram&Sammy GuevaradefeatThe Premier Athletes(Ariya Daivari,Josh Woods&Tony Nese) (9:51)AEW All Out 2024 - Zero Hour- Online Stream @ NOW Arena in Hoffman Estates, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
27,31.08.2024,,"Bang Bang Gang(Austin Gunn,Colten Gunn&Juice Robinson) defeatThe Premier Athletes(Ariya Daivari,Josh Woods&Tony Nese) (4:36)AEW Collision #60- TV-Show @ Denny Sanford Premier Center in Sioux Falls, South Dakota, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Tony_Nese_April_2018.jpg
