date,event,result,location,image_url
1,31.01.2021,,"Royal Rumble:Bianca BelairdefeatsAlexa BlissandAlicia FoxandBayleyandBillie KayandCarmellaandCharlotte FlairandDakota KaiandDana BrookeandEmber MoonandJillian HallandLacey EvansandLanaandLiv MorganandMandy RoseandMickie JamesandNaomiandNatalyaandNia JaxandNikki CrossandPeyton RoyceandRhea RipleyandRuby RiottandSantana GarrettandShayna BaszlerandShotzi BlackheartandTaminaandToni StormandTorrie WilsonandVictoria(58:48)WWE Royal Rumble 2021- Premium Live Event @ WWE ThunderDome (Tropicana Field) in St. Petersburg, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/c6/10.1.10TorrieWilsonByLuigiNovi_%28cropped%29.jpg
2,28.10.2018,,"20 Woman Battle Royal:Nia JaxdefeatsAlundra BlayzeandAsukaandBillie KayandCarmellaandDana BrookeandEmber MoonandIvoryandKelly KellyandLanaandMandy RoseandMaria KanellisandMichelle McCoolandMolly HollyandNaomiandPeyton RoyceandSonya DevilleandTaminaandTorrie WilsonandZelina Vega(16:28)WWE Evolution 2018- Premium Live Event @ Nassau Veterans Memorial Coliseum in Uniondale, New York, USA",https://upload.wikimedia.org/wikipedia/commons/c/c6/10.1.10TorrieWilsonByLuigiNovi_%28cropped%29.jpg
3,28.01.2018,,"Royal Rumble:AsukadefeatsBayleyandBecky LynchandBeth PhoenixandBrie BellaandCarmellaandDana BrookeandEmber MoonandJacquelineandKairi SaneandKelly KellyandLanaandLitaandLiv MorganandMandy RoseandMichelle McCoolandMickie JamesandMolly HollyandNaomiandNatalyaandNia JaxandNikki BellaandRuby RiottandSarah LoganandSasha BanksandSonya DevilleandTaminaandTorrie WilsonandTrish StratusandVickie Guerrero(59:00)WWE Royal Rumble 2018- Premium Live Event @ Wells Fargo Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/c/c6/10.1.10TorrieWilsonByLuigiNovi_%28cropped%29.jpg
4,05.04.2009,,"Miss WrestleMania Battle Royal:Santina MarelladefeatsAlicia FoxandBeth PhoenixandBrie BellaandEve TorresandGail KimandJillian HallandJoy GiovanniandKatie LeaandKelly KellyandLaylaandMariaandMaryseandMelinaandMichelle McCoolandMickie JamesandMiss JackieandMolly HollyandNatalyaandNikki BellaandRosa MendesandSunnyandTiffanyandTorrie WilsonandVictoria(5:53)WWE WrestleMania 25 - ""The 25th Anniversary Of WrestleMania""- Pay Per View @ Reliant Arena in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/c/c6/10.1.10TorrieWilsonByLuigiNovi_%28cropped%29.jpg
5,24.11.2007,,"Michelle McCool&Torrie WilsondefeatBeth Phoenix&VictoriaWWE SmackDown/ECW House Show- House Show @ Knoxville Civic Coliseum in Knoxville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/c/c6/10.1.10TorrieWilsonByLuigiNovi_%28cropped%29.jpg
6,20.11.2007,,"Torrie WilsondefeatsVictoria(3:00)WWE Friday Night SmackDown #431- TV-Show @ St. Pete Times Forum in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/c6/10.1.10TorrieWilsonByLuigiNovi_%28cropped%29.jpg
7,18.11.2007,,"Kelly Kelly,Maria,Michelle McCool,Mickie James&Torrie WilsondefeatBeth Phoenix,Jillian,Layla,Melina&Victoria(4:40)WWE Survivor Series 2007- Pay Per View @ AmericanAirlines Arena in Miami, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/c6/10.1.10TorrieWilsonByLuigiNovi_%28cropped%29.jpg
8,13.11.2007,,"Beth Phoenix&VictoriadefeatMickie James&Torrie Wilson(2:37)WWE Friday Night SmackDown #430- TV-Show @ Kansas Coliseum in Wichita, Kansas, USA",https://upload.wikimedia.org/wikipedia/commons/c/c6/10.1.10TorrieWilsonByLuigiNovi_%28cropped%29.jpg
9,04.11.2007,,"Match (Special Referee: Funaki):Torrie WilsondefeatsVictoriaWWE SmackDown/ECW House Show- House Show @ Stockton Arena in Stockton, California, USA",https://upload.wikimedia.org/wikipedia/commons/c/c6/10.1.10TorrieWilsonByLuigiNovi_%28cropped%29.jpg
10,29.10.2007,,"Halloween Divas Battle Royal:Kelly KellydefeatsBrookeandJillian HallandLaylaandMariaandMelinaandMichelle McCoolandMickie JamesandTorrie WilsonandVictoria(5:00)WWE Monday Night RAW #753- TV-Show @ Wachovia Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/c/c6/10.1.10TorrieWilsonByLuigiNovi_%28cropped%29.jpg
