date,event,result,location,image_url
1,12.07.2025,,"Big Boom AJ&The Conglomeration(Hologram,Kyle O'Reilly&Tomohiro Ishii) defeatThe Don Callis Family(Hechicero,Lance Archer,Rocky Romero&Trent Beretta) (12:52)AEW All In Texas - Zero Hour- Online Stream @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/dd/Barreta_2015.jpg
2,10.07.2025,,"Paragon(Adam Cole,Kyle O'Reilly&Roderick Strong) defeatThe Don Callis Family(Kyle Fletcher,Rocky Romero&Trent Beretta) (13:40)AEW Collision #101- TV-Show @ Curtis Culwell Center in Garland, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/dd/Barreta_2015.jpg
3,02.07.2025,,"Mistico&The Conglomeration(Hologram&Mark Briscoe) defeatThe Don Callis Family(Hechicero,Rocky Romero&Trent Beretta) (10:08)AEW Collision #100- TV-Show @ Toyota Arena in Ontario, California, USA",https://upload.wikimedia.org/wikipedia/commons/d/dd/Barreta_2015.jpg
4,25.06.2025,,"Kota IbushidefeatsTrent Beretta(7:19)AEW Dynamite #299- TV-Show @ accesso ShoWare Center in Kent, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/d/dd/Barreta_2015.jpg
5,04.06.2025,,"Daniel Garcia&Paragon(Adam Cole,Kyle O'Reilly&Roderick Strong) defeatThe Don Callis Family(Josh Alexander,Lance Archer,Rocky Romero&Trent Beretta) (11:20)AEW Collision #96 - Fyter Fest 2025- TV-Show @ Mission Ballroom in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/d/dd/Barreta_2015.jpg
6,28.05.2025,,"The Don Callis Family(Konosuke Takeshita,Rocky Romero&Trent Beretta) defeatParagon(Kyle O'Reilly&Roderick Strong) &Tomohiro Ishii(10:18)AEW Collision #95- TV-Show @ El Paso County Coliseum in El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/dd/Barreta_2015.jpg
7,25.05.2025,,"AR Fox,Bandido&Los Titanes del Aire(Hologram&Komander) defeatCRU(Action Andretti&Lio Rush) &RPG VICE(Rocky Romero&Trent Beretta) (13:18)AEW Double Or Nothing 2025 - The Buy In- Online Stream @ Desert Diamond Arena in Glendale, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/d/dd/Barreta_2015.jpg
8,21.05.2025,,"The Don Callis Family(Konosuke Takeshita,Rocky Romero&Trent Beretta) defeatBandido&The Outrunners(Truth Magnum&Turbo Floyd) (9:35)AEW Collision #94- TV-Show @ Rio Rancho Events Center in Rio Rancho, New Mexico, USA",https://upload.wikimedia.org/wikipedia/commons/d/dd/Barreta_2015.jpg
9,14.05.2025,,"Bandido,Brody King&Tomohiro IshiidefeatThe Don Callis Family(Lance Archer,Rocky Romero&Trent Beretta) (6:54)AEW Collision #93 - Beach Break 2025 - Tag 2- TV-Show @ NOW Arena in Hoffman Estates, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/d/dd/Barreta_2015.jpg
10,08.05.2025,,"The Don Callis Family(Kyle Fletcher,Lance Archer,Rocky Romero&Trent Beretta) defeatAR Fox,Bandido&The Outrunners(Truth Magnum&Turbo Floyd) (11:43)AEW Collision #92- TV-Show @ Masonic Temple Theatre in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/d/dd/Barreta_2015.jpg
