date,event,result,location,image_url
1,16.08.2025,,"NWA World Tag Team    Title:The Immortals(Kratos&Odinson) defeatKnox And Murdoch(Mike Knox&Trevor Murdoch) (c) -TITLE CHANGE !!!NWA 77- Event @ The Paramount in Huntington, New York, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Cade%26Murdoch.jpg
2,01.07.2025,,"Knox And Murdoch(Mike Knox&Trevor Murdoch) defeatShawn Carlson&Ty AwesomeNWA Powerrr TV Taping- Event @ WEDU Studios in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Cade%26Murdoch.jpg
3,01.07.2025,,"Trevor MurdochdefeatsEric SmallsNWA Powerrr TV Taping- Event @ WEDU Studios in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Cade%26Murdoch.jpg
4,24.05.2025,,"NWA World Tag Team    TitleBeer Market Brawl Three Way:Knox And Murdoch(Mike Knox&Trevor Murdoch) (c) defeatThe Country Gentlemen(AJ Cazana&KC Cazana) andThe Troublemakers(Canaan Kristopher&Glenn Spectre) (7:40)NWA JCP Southeast #69- Online Stream @ Bearden Beer Market in Knoxville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Cade%26Murdoch.jpg
5,17.05.2025,,"Crockett Cup 2025 Quarter Final:Knox And Murdoch(Mike Knox&Trevor Murdoch) defeatMike Mondo&Slade(8:11)NWA Powerrr #219 - The Crockett Cup 2025: Part 4- Online Stream @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Cade%26Murdoch.jpg
6,17.05.2025,,"Crockett Cup 2025 Semi Final:The Immortals(Kratos&Odinson) defeatKnox And Murdoch(Mike Knox&Trevor Murdoch) (10:05)NWA Powerrr #221 - The Crockett Cup 2025: Part 6- Online Stream @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Cade%26Murdoch.jpg
7,11.04.2025,,"Trevor MurdochdefeatsBrandon BarrettaNWA WLW WrestleVersary- Event @ Puckett Field House in Fayette, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Cade%26Murdoch.jpg
8,22.03.2025,,"NWA World Tag Team    TitleLadder:Knox And Murdoch(Mike Knox&Trevor Murdoch) (c) defeatThe Slimeballz(Sage Chantz&Tommy Rant) (11:23)NWA Powerrr #213 - Hard Times V: Part 6- Online Stream @ Dothan Civic Center in Dothan, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Cade%26Murdoch.jpg
9,22.02.2025,,"NWA World Tag Team    Title:Knox And Murdoch(Mike Knox&Trevor Murdoch) (c) defeatThe Premier(Campbell Myers&SK Bishop) (7:12)NWA WLW Showdown - Salute To The Service III- Online Stream @ Davidson Fitness Center in Fort Leonard, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Cade%26Murdoch.jpg
10,02.02.2025,,"NWA World Tag Team    Title:Knox And Murdoch(Mike Knox&Trevor Murdoch) (c) defeatThe Slimeballz(Sage Chantz&Tommy Rant) (3:34)NWA Powerrr #205- Online Stream @ WEDU Studios in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Cade%26Murdoch.jpg
11,02.02.2025,,"NWA World Tag Team    Title:The Slimeballz(Sage Chantz&Tommy Rant) defeatKnox And Murdoch(Mike Knox&Trevor Murdoch) (c) by DQ (3:12)NWA Powerrr #205- Online Stream @ WEDU Studios in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Cade%26Murdoch.jpg
12,14.12.2024,,"NWA World Tag Team    Title:Knox And Murdoch(Mike Knox&Trevor Murdoch) (c) defeatDaisy Kill&Talos(5:17)NWA Powerrr #192 - Looks That Kill: Part 2- Online Stream @ Dothan Civic Center in Dothan, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Cade%26Murdoch.jpg
13,16.11.2024,,"Trevor MurdochdefeatsHayden Backlund(5:54)NWA Exodus Pro Midwest Usual Suspects- Online Stream @ Treelawn Music Hall in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Cade%26Murdoch.jpg
14,15.11.2024,,"Trevor MurdochdefeatsJackson Drake(6:32)NWA Kross Fire Night Of Murdoch- Online Stream @ The Bird & The Book Tavern in Maryville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Cade%26Murdoch.jpg
15,09.11.2024,,"Trevor MurdochdefeatsSteve FenderNWA WLW- Event @ Green Ridge High School in Green Ridge, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Cade%26Murdoch.jpg
16,02.11.2024,,"NWA WLW Heavyweight Title#1 Contendership Battle Royal:Attila Khandefeats Aden Riley and Atlas Armstrong and Blade Lennox and Jack Parker Jr. and Jeff Wilde and Mike Maverick andTrevor Murdoch(6:06)NWA WLW XXV - 25th Anniversary- Online Stream @ Harley Race Wrestling Arena in Troy, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Cade%26Murdoch.jpg
