date,event,result,location,image_url
1,30.06.2021,,"Dr. Britt Baker DMD&RebeldefeatNyla Rose&Vickie Guerrero(6:56)AEW Dynamite #91 - Fan Appreciation Night- TV-Show @ Daily's Place in Jacksonville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Dolph_Ziggler_and_Vickie_Guerrero.jpg
2,28.01.2018,,"Royal Rumble:AsukadefeatsBayleyandBecky LynchandBeth PhoenixandBrie BellaandCarmellaandDana BrookeandEmber MoonandJacquelineandKairi SaneandKelly KellyandLanaandLitaandLiv MorganandMandy RoseandMichelle McCoolandMickie JamesandMolly HollyandNaomiandNatalyaandNia JaxandNikki BellaandRuby RiottandSarah LoganandSasha BanksandSonya DevilleandTaminaandTorrie WilsonandTrish StratusandVickie Guerrero(59:00)WWE Royal Rumble 2018- Premium Live Event @ Wells Fargo Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Dolph_Ziggler_and_Vickie_Guerrero.jpg
3,23.06.2014,,"Mud Pool:Stephanie McMahondefeatsVickie GuerreroWWE Monday Night RAW #1100- TV-Show @ Verizon Center in Washington, District Of Columbia, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Dolph_Ziggler_and_Vickie_Guerrero.jpg
4,17.12.2013,,"12 Man:Eva Marie,Natalya,The Funkadactyls(Cameron&Naomi) &The Bella Twins(Brie Bella&Nikki Bella) defeatAksana,Alicia Fox,Kaitlyn,Summer Rae,Tamina Snuka&Vickie Guerrero(3:45)WWE Monday Night RAW #1074- TV-Show @ Frank Erwin Center in Austin, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Dolph_Ziggler_and_Vickie_Guerrero.jpg
5,18.11.2013,,"AJ LeedefeatsVickie Guerrero(1:28)WWE Monday Night RAW #1069 - RAW Country- TV-Show @ Bridgestone Arena in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Dolph_Ziggler_and_Vickie_Guerrero.jpg
6,17.12.2012,,"Mixed:John Cena&Vickie GuerrerodefeatAJ Lee&Dolph Zigglerby DQ (4:25)WWE Monday Night RAW #1021- TV-Show @ Wells Fargo Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Dolph_Ziggler_and_Vickie_Guerrero.jpg
7,10.12.2012,,"Vickie GuerrerodefeatsAJ Lee(2:15)WWE Monday Night RAW #1020- TV-Show @ Prudential Center in Newark, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Dolph_Ziggler_and_Vickie_Guerrero.jpg
8,07.07.2012,,"Match (Special Referee: AJ):Vickie GuerrerodefeatsKaitlynWWE SmackDown House Show- House Show @ El Paso County Coliseum in El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Dolph_Ziggler_and_Vickie_Guerrero.jpg
9,02.07.2012,,"Mixed:AJ&SheamusdefeatDolph Ziggler&Vickie Guerrero(3:26)WWE Monday Night RAW #997- TV-Show @ Laredo Energy Arena in Laredo, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Dolph_Ziggler_and_Vickie_Guerrero.jpg
10,25.06.2012,,"Divas Summertime Battle Royal:AJdefeatsAksanaandAlicia FoxandBeth PhoenixandKaitlynandLaylaandMaxineandNatalyaandRosa MendesandTamina SnukaandVickie Guerrero(2:10)WWE Monday Night RAW #996- TV-Show @ Allen County War Memorial Coliseum in Fort Wayne, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Dolph_Ziggler_and_Vickie_Guerrero.jpg
