date,event,result,location,image_url
1,24.08.2025,,"Lights Out Steel Cage:Darby Allin,Golden Lovers(Kenny Omega&Kota Ibushi),Hiroshi Tanahashi&Will OspreaydefeatDeath Riders(Claudio Castagnoli&Jon Moxley),Gabe Kidd&The Young Bucks(Matt Jackson&Nick Jackson) (32:25)AEW/NJPW Forbidden Door 2025- Pay Per View @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/0c/2023.11.04-Will_Osprey_%28cropped%29.jpg
2,12.07.2025,,"Swerve Strickland&Will OspreaydefeatThe Young Bucks(Matthew Jackson&Nicholas Jackson) (26:16)AEW All In Texas- Pay Per View @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/2023.11.04-Will_Osprey_%28cropped%29.jpg
3,09.07.2025,,"Death Riders(Claudio Castagnoli&Jon Moxley) &The Young Bucks(Matthew Jackson&Nicholas Jackson) defeatAdam Page,The Opps(Katsuyori Shibata&Powerhouse Hobbs) &Will Ospreay(10:37)AEW Dynamite #301- TV-Show @ Curtis Culwell Center in Garland, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/2023.11.04-Will_Osprey_%28cropped%29.jpg
4,02.07.2025,,"Swerve Strickland&Will OspreaydefeatLa Faccion Ingobernable(Dralistico&The Beast Mortos) (8:44)AEW Dynamite #300- TV-Show @ Toyota Arena in Ontario, California, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/2023.11.04-Will_Osprey_%28cropped%29.jpg
5,25.06.2025,,"Swerve Strickland&Will OspreaydefeatBlake Christian&Lee Johnson(9:23)AEW Dynamite #299- TV-Show @ accesso ShoWare Center in Kent, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/2023.11.04-Will_Osprey_%28cropped%29.jpg
6,18.06.2025,,"Death Riders(Jon Moxley&Wheeler Yuta),The Beast Mortos&The Young Bucks(Matthew Jackson&Nicholas Jackson) defeatThe Opps(Katsuyori Shibata,Powerhouse Hobbs&Samoa Joe),Swerve Strickland&Will Ospreay(16:13)AEW Dynamite #298 - Grand Slam Mexico- TV-Show @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0c/2023.11.04-Will_Osprey_%28cropped%29.jpg
7,11.06.2025,,"Swerve Stricklandvs.Will Ospreay- Time Limit Draw (30:00)AEW Dynamite #297 - Summer Blockbuster- TV-Show @ Theater Of The Clouds At Moda Center in Portland, Oregon, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/2023.11.04-Will_Osprey_%28cropped%29.jpg
8,04.06.2025,,"Will OspreaydefeatsLio Rush(9:01)AEW Collision #96 - Fyter Fest 2025- TV-Show @ Mission Ballroom in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/2023.11.04-Will_Osprey_%28cropped%29.jpg
9,25.05.2025,,"Owen Hart Foundation 2025 Men's Tournament Final:Adam PagedefeatsWill Ospreay(36:59)AEW Double Or Nothing 2025- Pay Per View @ Desert Diamond Arena in Glendale, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/2023.11.04-Will_Osprey_%28cropped%29.jpg
10,14.05.2025,,"Adam Page&Will OspreaydefeatThe Don Callis Family(Josh Alexander&Konosuke Takeshita) (18:34)AEW Dynamite #293 - Beach Break 2025 - Tag 1- TV-Show @ NOW Arena in Hoffman Estates, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/2023.11.04-Will_Osprey_%28cropped%29.jpg
11,23.04.2025,,"The Don Callis Family(Josh Alexander&Konosuke Takeshita) defeatBrody King&Will Ospreay(13:08)AEW Dynamite #290- TV-Show @ UNO Lakefront Arena in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/2023.11.04-Will_Osprey_%28cropped%29.jpg
12,16.04.2025,,"Owen Hart Foundation 2025 Men's Tournament Semi Final:Will OspreaydefeatsKonosuke Takeshita(21:43)AEW Dynamite #289 - Spring BreakThru - Tag 1- TV-Show @ MGM Music Hall At Fenway in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/2023.11.04-Will_Osprey_%28cropped%29.jpg
13,09.04.2025,,"400.000 Dollar:Kevin Knight,Mark Briscoe,Mike Bailey&Will OspreaydefeatCRU(Action Andretti&Lio Rush),Ricochet&The Beast Mortos(11:59)AEW Dynamite #288- TV-Show @ Chesapeake Employers Insurance Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/2023.11.04-Will_Osprey_%28cropped%29.jpg
14,06.04.2025,,"Owen Hart Foundation 2025 Men's Tournament Quarter Final:Will OspreaydefeatsKevin Knight(13:46)AEW Dynasty 2025- Pay Per View @ Liacouras Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/2023.11.04-Will_Osprey_%28cropped%29.jpg
15,02.04.2025,,"Kevin Knight&Will OspreaydefeatBlake Christian&Lee Johnson(9:17)AEW Dynamite #287- TV-Show @ Peoria Civic Center in Peoria, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/2023.11.04-Will_Osprey_%28cropped%29.jpg
16,19.03.2025,,"Will OspreaydefeatsAR Fox(7:39)AEW Dynamite #285- TV-Show @ Liberty First Credit Union Arena in Ralston, Nebraska, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/2023.11.04-Will_Osprey_%28cropped%29.jpg
17,09.03.2025,,"Steel Cage:Will OspreaydefeatsKyle Fletcher(28:56)AEW Revolution 2025- Pay Per View @ Crypto.com Arena in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/2023.11.04-Will_Osprey_%28cropped%29.jpg
18,05.03.2025,,"Powerhouse Hobbs,The Conglomeration(Mark Briscoe&Orange Cassidy) &Will OspreaydefeatBryan Keith&The Don Callis Family(Brian Cage,Lance Archer&Mark Davis) (15:06)AEW Dynamite #283- TV-Show @ Memorial Auditorium in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/2023.11.04-Will_Osprey_%28cropped%29.jpg
19,26.02.2025,,"Will OspreaydefeatsBryan Keith(10:50)AEW Dynamite #282- TV-Show @ Frontwave Arena in Oceanside, California, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/2023.11.04-Will_Osprey_%28cropped%29.jpg
20,15.02.2025,,"Kenny Omega&Will OspreaydefeatThe Don Callis Family(Konosuke Takeshita&Kyle Fletcher) (21:20)AEW Grand Slam Australia 2025- TV-Show @ Brisbane Entertainment Centre in Boondall, Queensland, Australia",https://upload.wikimedia.org/wikipedia/commons/0/0c/2023.11.04-Will_Osprey_%28cropped%29.jpg
21,05.02.2025,,"Will OspreaydefeatsMark Davis(11:00)AEW Dynamite #279- TV-Show @ Gateway Center Arena At College Park in College Park, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/2023.11.04-Will_Osprey_%28cropped%29.jpg
22,03.02.2025,,"Daniel Garcia,Mark Briscoe&Will OspreaydefeatNick Wayne&The Righteous(Dutch&Vincent)Jericho Cruise 2025: Six On The Beach - Tag 4 (Show 1)- Event @ Norwegian Pearl Cruise Ship in USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/2023.11.04-Will_Osprey_%28cropped%29.jpg
23,01.02.2025,,Komander&Will OspreaydefeatThe Don Callis Family(Konosuke Takeshita&Lance Archer)Jericho Cruise 2025: Six On The Beach - Tag 2 (Show 2)- Event @ Norwegian Pearl Cruise Ship in USA,https://upload.wikimedia.org/wikipedia/commons/0/0c/2023.11.04-Will_Osprey_%28cropped%29.jpg
