date,event,result,location,image_url
1,21.11.2013,,"Antonio CesarodefeatsWilliam Regal(20:58)WWE NXT #201 - Rewind 2013- Online Stream @ Full Sail University in Winter Park, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/a/a9/Chuck_Palumbo_and_William_Regal_RAW_House_Show_06-23-07.JPG
2,20.06.2013,,"The Wyatt Family(Bray Wyatt,Erick Rowan&Luke Harper) defeatAdrian Neville,Corey Graves&William Regal(13:30)WWE NXT #177- Online Stream @ Full Sail University in Winter Park, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/a/a9/Chuck_Palumbo_and_William_Regal_RAW_House_Show_06-23-07.JPG
3,17.06.2013,,"Antonio CesarodefeatsWilliam Regal(2:45)WWE Monday Night RAW #1047- TV-Show @ Van Andel Arena in Grand Rapids, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/a/a9/Chuck_Palumbo_and_William_Regal_RAW_House_Show_06-23-07.JPG
4,23.04.2013,,"Wade BarrettdefeatsWilliam Regal(0:59)WWE Friday Night SmackDown #714- TV-Show @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/a/a9/Chuck_Palumbo_and_William_Regal_RAW_House_Show_06-23-07.JPG
5,22.04.2013,,"FandangodefeatsWilliam Regal(1:39)WWE Monday Night RAW #1039- TV-Show @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/a/a9/Chuck_Palumbo_and_William_Regal_RAW_House_Show_06-23-07.JPG
6,21.04.2013,,"Antonio CesarodefeatsWilliam RegalWWE RAW House Show- House Show @ Geneva Arena in Genf, Schweiz",https://upload.wikimedia.org/wikipedia/commons/a/a9/Chuck_Palumbo_and_William_Regal_RAW_House_Show_06-23-07.JPG
7,20.04.2013,,"William RegaldefeatsMichael McGillicuttyWWE RAW House Show- House Show @ Palais Omnisports de Paris-Bercy in Paris, Frankreich",https://upload.wikimedia.org/wikipedia/commons/a/a9/Chuck_Palumbo_and_William_Regal_RAW_House_Show_06-23-07.JPG
8,19.04.2013,,"William RegaldefeatsMichael McGillicuttyWWE RAW House Show- House Show @ The O2 in Dublin, Ireland",https://upload.wikimedia.org/wikipedia/commons/a/a9/Chuck_Palumbo_and_William_Regal_RAW_House_Show_06-23-07.JPG
9,18.04.2013,,"William RegaldefeatsMichael McGillicuttyWWE RAW House Show- House Show @ Odyssey Arena in Belfast, Northern Ireland, UK",https://upload.wikimedia.org/wikipedia/commons/a/a9/Chuck_Palumbo_and_William_Regal_RAW_House_Show_06-23-07.JPG
10,17.04.2013,,"William RegaldefeatsMichael McGillicuttyWWE RAW House Show- House Show @ Ahoy Rotterdam in Rotterdam, Südholland, Niederlande",https://upload.wikimedia.org/wikipedia/commons/a/a9/Chuck_Palumbo_and_William_Regal_RAW_House_Show_06-23-07.JPG
11,21.03.2013,,"William RegaldefeatsKassius Ohno(17:36)WWE NXT #164- Online Stream @ Full Sail University in Winter Park, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/a/a9/Chuck_Palumbo_and_William_Regal_RAW_House_Show_06-23-07.JPG
12,19.12.2012,,"WWE United States Title#1 Contendership Battle Royal:The Great KhalidefeatsBrodus ClayandCody RhodesandDamien SandowandDarren YoungandDrew McIntyreandEpicoandJey UsoandJimmy UsoandJinder MahalandJustin GabrielandPrimoandSantino MarellaandTed DiBiase Jr.andTitus O'NeilandTyson KiddandWade BarrettandWilliam RegalandYoshi TatsuandZack Ryder(18:16)WWE Main Event #13- TV-Show @ Blue Cross Arena in Rochester, New York, USA",https://upload.wikimedia.org/wikipedia/commons/a/a9/Chuck_Palumbo_and_William_Regal_RAW_House_Show_06-23-07.JPG
13,01.12.2012,,"William RegaldefeatsAce Steel(15:11)WLW- Event @ Eldon Community Center in Eldon, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/a/a9/Chuck_Palumbo_and_William_Regal_RAW_House_Show_06-23-07.JPG
14,12.11.2012,,"Big ShowdefeatsWilliam Regal(1:38)WWE Monday Night RAW #1016- TV-Show @ Nationwide Arena in Columbus, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/a/a9/Chuck_Palumbo_and_William_Regal_RAW_House_Show_06-23-07.JPG
15,06.11.2012,,"The Big Show&Wade BarrettdefeatSheamus&William Regal(11:30)WWE Friday Night SmackDown #690 - Super SmackDown- TV-Show @ LG Arena in Birmingham, West Midlands, England, UK",https://upload.wikimedia.org/wikipedia/commons/a/a9/Chuck_Palumbo_and_William_Regal_RAW_House_Show_06-23-07.JPG
16,04.11.2012,,"Wade Barrett&William RegaldefeatJohnny Curtis&Ted DiBiaseWWE SmackDown House Show- House Show @ Wembley Arena in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/a/a9/Chuck_Palumbo_and_William_Regal_RAW_House_Show_06-23-07.JPG
