date,event,result,location,image_url
1,24.08.2025,,"Megan Bayne&Triangle Of Madness(Julia Hart,Skye Blue&Thekla) defeatHarley Cameron,Kris Statlander,Queen Aminata&Willow Nightingale(11:17)AEW/NJPW Forbidden Door 2025 - Zero Hour- Online Stream @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/3/31/Willow_Nightingale%2C_January_2020_%28cropped%29.jpg
2,20.08.2025,,"Queen Aminata&Willow NightingaledefeatTriangle Of Madness(Julia Hart&Skye Blue) (9:34)AEW Collision #107- TV-Show @ OVO Hydro in Glasgow, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/3/31/Willow_Nightingale%2C_January_2020_%28cropped%29.jpg
3,13.08.2025,,"Alex Windsor,Queen Aminata&Willow NightingaledefeatMercedes Mone&Triangle Of Madness(Skye Blue&Thekla) (9:56)AEW Dynamite #306- TV-Show @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/3/31/Willow_Nightingale%2C_January_2020_%28cropped%29.jpg
4,09.08.2025,,"Triangle Of Madness(Julia Hart,Skye Blue&Thekla) defeatQueen Aminata,Tay Melo&Willow Nightingale(9:29)AEW Collision #105- TV-Show @ Berglund Center in Roanoke, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/3/31/Willow_Nightingale%2C_January_2020_%28cropped%29.jpg
5,31.07.2025,,"ThekladefeatsWillow Nightingale(11:04)AEW Collision #104- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/3/31/Willow_Nightingale%2C_January_2020_%28cropped%29.jpg
6,16.07.2025,,"100.000 Dollar Four Way:ThekladefeatsKris StatlanderandQueen AminataandWillow Nightingale(10:44)AEW Dynamite #302- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/3/31/Willow_Nightingale%2C_January_2020_%28cropped%29.jpg
7,12.07.2025,,"Casino Gauntlet:AthenadefeatsAlex WindsorandJulia HartandKris StatlanderandMegan BayneandMina ShirakawaandQueen AminataandSyuriandTay MeloandTheklaandThunder RosaandWillow Nightingale(27:01)AEW All In Texas- Pay Per View @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/3/31/Willow_Nightingale%2C_January_2020_%28cropped%29.jpg
8,10.07.2025,,"Mina Shirakawa,Queen Aminata,Thunder Rosa&Willow NightingaledefeatAthena,Julia Hart,Megan Bayne&Thekla(12:41)AEW Collision #101- TV-Show @ Curtis Culwell Center in Garland, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/3/31/Willow_Nightingale%2C_January_2020_%28cropped%29.jpg
9,02.07.2025,,"Willow NightingaledefeatsVipress(1:56)AEW Collision #100- TV-Show @ Toyota Arena in Ontario, California, USA",https://upload.wikimedia.org/wikipedia/commons/3/31/Willow_Nightingale%2C_January_2020_%28cropped%29.jpg
10,25.06.2025,,"Women's Casino Gauntlet #1 Spot Four Way:Kris StatlanderdefeatsAthenaandThunder RosaandWillow Nightingale(10:48)AEW Dynamite #299- TV-Show @ accesso ShoWare Center in Kent, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/3/31/Willow_Nightingale%2C_January_2020_%28cropped%29.jpg
