date,event,result,location,image_url
1,17.08.2025,,"Master Wato,Toru Yano&YOHdefeatEl Desperado,Ryusuke Taguchi&YOSHI-HASHI(6:40)NJPW G1 Climax 35 - Tag 19- TV-Show @ Ariake Arena in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/7/72/YOSHI-HASHI_2015.jpg
2,16.08.2025,,"El Desperado,Ryusuke Taguchi,Shota Umino,YOSHI-HASHI&Yuya UemuradefeatMaster Wato,Satoshi Kojima,Taichi,Toru Yano&YOH(8:54)NJPW G1 Climax 35 - Tag 18- TV-Show @ Ariake Arena in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/7/72/YOSHI-HASHI_2015.jpg
3,14.08.2025,,"Satoshi Kojima&TaichidefeatShoma Kato&YOSHI-HASHI(7:02)NJPW G1 Climax 35 - Tag 17- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/7/72/YOSHI-HASHI_2015.jpg
4,13.08.2025,,"G1 Climax 2025 Block B:Zack Sabre Jr.[14] defeatsYOSHI-HASHI[8] (17:36)NJPW G1 Climax 35 - Tag 16- Online Stream @ Act City Hamamatsu in Hamamatsu, Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/7/72/YOSHI-HASHI_2015.jpg
5,10.08.2025,,"TMDK(Hartley Jackson&Zack Sabre Jr.) defeatShoma Kato&YOSHI-HASHI(7:30)NJPW G1 Climax 35 - Tag 15- Online Stream @ G Messe Gunma in Takasaki, Gunma, Japan",https://upload.wikimedia.org/wikipedia/commons/7/72/YOSHI-HASHI_2015.jpg
6,08.08.2025,,"G1 Climax 2025 Block B:El Phantasmo[6] defeatsYOSHI-HASHI[8] (12:30)NJPW G1 Climax 35 - Tag 14- Online Stream @ Yokohama Budokan in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/7/72/YOSHI-HASHI_2015.jpg
7,07.08.2025,,"El Phantasmo&JadodefeatShoma Kato&YOSHI-HASHI(5:35)NJPW G1 Climax 35 - Tag 13- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/7/72/YOSHI-HASHI_2015.jpg
8,05.08.2025,,"G1 Climax 2025 Block B:Konosuke Takeshita[10] defeatsYOSHI-HASHI[8] (15:13)NJPW G1 Climax 35 - Tag 12- Online Stream @ INTEX Osaka Building No. 5 in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/7/72/YOSHI-HASHI_2015.jpg
9,03.08.2025,,"The Don Callis Family(Konosuke Takeshita&Rocky Romero) defeatShoma Kato&YOSHI-HASHI(8:13)NJPW G1 Climax 35 - Tag 11- Online Stream @ Fukuoka Convention Center in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/7/72/YOSHI-HASHI_2015.jpg
10,02.08.2025,,"G1 Climax 2025 Block B:Shota Umino[6] defeatsYOSHI-HASHI[8] (13:30)NJPW G1 Climax 35 - Tag 10- Online Stream @ Hiroshima Sun Plaza in Hiroshima, Japan",https://upload.wikimedia.org/wikipedia/commons/7/72/YOSHI-HASHI_2015.jpg
11,01.08.2025,,"Katsuya Murashima&Shota UminodefeatShoma Kato&YOSHI-HASHI(7:09)NJPW G1 Climax 35 - Tag 9- Online Stream @ Sunmesse Kagawa in Takamatsu, Kagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/7/72/YOSHI-HASHI_2015.jpg
12,26.07.2025,,"G1 Climax 2025 Block B:Great-O-Khan[4] defeatsYOSHI-HASHI[6] (12:27)NJPW G1 Climax 35 - Tag 6- Online Stream @ Ota City General Gymnasium in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/7/72/YOSHI-HASHI_2015.jpg
13,25.07.2025,,"United Empire(Great-O-Khan&Jakob Austin Young) defeatShoma Kato&YOSHI-HASHI(7:40)NJPW G1 Climax 35 - Tag 5- Online Stream @ Ota City General Gymnasium in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/7/72/YOSHI-HASHI_2015.jpg
14,23.07.2025,,"G1 Climax 2025 Block B:YOSHI-HASHI[6] defeatsDrilla Moloney[4] (11:32)NJPW G1 Climax 35 - Tag 4- Online Stream @ Aore Nagaoka in Nagaoka, Niigata, Japan",https://upload.wikimedia.org/wikipedia/commons/7/72/YOSHI-HASHI_2015.jpg
15,22.07.2025,,"BULLET CLUB War Dogs(Drilla Moloney&Taiji Ishimori) defeatShoma Kato&YOSHI-HASHI(6:30)NJPW G1 Climax 35 - Tag 3- TV-Show @ Sendai Sun Plaza Hall in Sendai, Miyagi, Japan",https://upload.wikimedia.org/wikipedia/commons/7/72/YOSHI-HASHI_2015.jpg
16,20.07.2025,,"G1 Climax 2025 Block B:YOSHI-HASHI[4] defeatsRen Narita[2] (1:26)NJPW G1 Climax 35 - Tag 2- Online Stream @ Hokkaido Prefectural Sports Center in Sapporo, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/7/72/YOSHI-HASHI_2015.jpg
17,19.07.2025,,"G1 Climax 2025 Block B:YOSHI-HASHI[2] defeatsShingo Takagi[0] (4:45)NJPW G1 Climax 35 - Tag 1- TV-Show @ Hokkaido Prefectural Sports Center in Sapporo, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/7/72/YOSHI-HASHI_2015.jpg
18,04.07.2025,,"G1 Climax 35 Block B Play-In:YOSHI-HASHIdefeatsChase Owens(12:03)NJPW New Japan Soul 2025 - Tag 8- Online Stream @ Tokyo Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/7/72/YOSHI-HASHI_2015.jpg
