date,event,result,location,image_url
1,13.09.2025,,"House Of Torture(DOUKI,Ren Narita,SANADA,SHO&Yujiro Takahashi) defeatTMDK(Hartley Jackson,Kosei Fujita,Robbie Eagles,Ryohei Oiwa&Zack Sabre Jr.) (10:17)NJPW Road To Destruction 2025 - Tag 3- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Yujiro_Takahashi.JPG
2,10.09.2025,,"TMDK(Hartley Jackson,Kosei Fujita,Robbie Eagles,Ryohei Oiwa&Zack Sabre Jr.) defeatHouse Of Torture(DOUKI,Ren Narita,SANADA,SHO&Yujiro Takahashi) (13:17)NJPW Road To Destruction 2025 - Tag 2- Event @ Kuki City Gymnasium in Kuki, Saitama, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Yujiro_Takahashi.JPG
3,09.09.2025,,"TMDK(Hartley Jackson,Kosei Fujita,Robbie Eagles,Ryohei Oiwa&Zack Sabre Jr.) defeatHouse Of Torture(DOUKI,Ren Narita,SANADA,SHO&Yujiro Takahashi) (14:15)NJPW Road To Destruction 2025 - Tag 1- Event @ Fujisan Messe in Fuji, Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Yujiro_Takahashi.JPG
4,07.09.2025,,"House Of Torture(DOUKI,Ren Narita,SANADA,SHO&Yujiro Takahashi) defeatTMDK(Hartley Jackson,Kosei Fujita,Robbie Eagles,Ryohei Oiwa&Zack Sabre Jr.) (13:10)NJPW Yuji Nagata Produce Blue Justice XVI- Online Stream @ Togane Arena in Togane, Chiba, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Yujiro_Takahashi.JPG
5,17.08.2025,,"House Of Torture(DOUKI,Ren Narita,SHO&Yujiro Takahashi) defeatTMDK(Hartley Jackson,Kosei Fujita,Ryohei Oiwa&Zack Sabre Jr.) (10:59)NJPW G1 Climax 35 - Tag 19- TV-Show @ Ariake Arena in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Yujiro_Takahashi.JPG
6,16.08.2025,,"House Of Torture(Don Fale&Yujiro Takahashi) defeatOleg Boltin&Tomoaki Honma(4:28)NJPW G1 Climax 35 - Tag 18- TV-Show @ Ariake Arena in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Yujiro_Takahashi.JPG
7,14.08.2025,,"House Of Torture(Ren Narita,SANADA,Yoshinobu Kanemaru&Yujiro Takahashi) defeatEl Phantasmo,Jado,Oleg Boltin&Toru Yano(6:45)NJPW G1 Climax 35 - Tag 17- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Yujiro_Takahashi.JPG
8,06.07.2025,,"House Of Torture(EVIL,Ren Narita,SANADA,Yoshinobu Kanemaru&Yujiro Takahashi) defeatOleg Boltin,Ryusuke Taguchi,Shota Umino,Tomoaki Honma&Yuya Uemura(8:38)NJPW New Japan Soul 2025 - Tag 9- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Yujiro_Takahashi.JPG
9,04.07.2025,,"NEVER Openweight Six Man Tag Team Title:Master Wato,Toru Yano&YOHdefeatHouse Of Torture(Ren Narita,SHO&Yujiro Takahashi) (c) (12:06) -TITLE CHANGE !!!NJPW New Japan Soul 2025 - Tag 8- Online Stream @ Tokyo Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Yujiro_Takahashi.JPG
10,29.06.2025,,"House Of Torture(Chase Owens,EVIL,Ren Narita&Yujiro Takahashi) defeatTaichi,Tomohiro Ishii,YOSHI-HASHI&Yuya Uemura(8:43)NJPW Tanahashi Jam- TV-Show @ Aichi Prefectural Gymnasium in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Yujiro_Takahashi.JPG
11,27.06.2025,,"House Of Torture(DOUKI,Ren Narita,SHO,Yoshinobu Kanemaru&Yujiro Takahashi) defeatKatsuya Murashima,Master Wato,Shoma Kato,Toru Yano&YOH(7:25)NJPW New Japan Soul 2025 - Tag 7- Event @ Shiga Theatre for Cultural and Industrial Development Event Hall in Maibara, Shiga, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Yujiro_Takahashi.JPG
12,26.06.2025,,"House Of Torture(DOUKI,Ren Narita,SHO,Yoshinobu Kanemaru&Yujiro Takahashi) defeatKatsuya Murashima,Master Wato,Shoma Kato,Toru Yano&YOH(6:54)NJPW New Japan Soul 2025 - Tag 6- Event @ Chino Cultural Complex in Chino, Nagano, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Yujiro_Takahashi.JPG
13,23.06.2025,,"House Of Torture(DOUKI,Ren Narita,SHO,Yoshinobu Kanemaru&Yujiro Takahashi) defeatKatsuya Murashima,Master Wato,Shoma Kato,Toru Yano&YOHby DQ (7:47)NJPW New Japan Soul 2025 - Tag 5- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Yujiro_Takahashi.JPG
14,22.06.2025,,"House Of Torture(DOUKI,Ren Narita,SHO,Yoshinobu Kanemaru&Yujiro Takahashi) defeatKatsuya Murashima,Master Wato,Shoma Kato,Toru Yano&YOH(9:54)NJPW New Japan Soul 2025 - Tag 4- Event @ Toyota Crown Arena in Fukushima, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Yujiro_Takahashi.JPG
15,21.06.2025,,"House Of Torture(DOUKI,Ren Narita,Yoshinobu Kanemaru&Yujiro Takahashi) defeatDaiki Nagai,Master Wato,Toru Yano&YOH(7:49)NJPW New Japan Soul 2025 - Tag 3- Online Stream @ Yamagata Big Wing in Yamagata, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Yujiro_Takahashi.JPG
16,19.06.2025,,"House Of Torture(DOUKI,Ren Narita,SHO,Yoshinobu Kanemaru&Yujiro Takahashi) defeatKatsuya Murashima,Master Wato,Shoma Kato,Toru Yano&YOH(7:29)NJPW New Japan Soul 2025 - Tag 2- Online Stream @ Hachinohe City East Gymnasium in Hachinohe, Aomori, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Yujiro_Takahashi.JPG
17,18.06.2025,,"House Of Torture(DOUKI,Ren Narita,SHO&Yujiro Takahashi) defeatMaster Wato,Shoma Kato,Toru Yano&YOH(8:32)NJPW New Japan Soul 2025 - Tag 1- Online Stream @ Aomori Martial Arts Hall in Hirosaki, Aomori, Japan",https://upload.wikimedia.org/wikipedia/commons/2/2b/Yujiro_Takahashi.JPG
