date,event,result,location,image_url
1,29.08.2025,,"The Motor City Machine Guns(Alex Shelley&Chris Sabin) defeatFraxiom(Axiom&Nathan Frazer) (7:35)WWE Main Event #675- Online Stream @ Décines-Charpieu, Frankreich",https://upload.wikimedia.org/wikipedia/commons/8/85/Alex_Shelley_February_2016.png
2,22.08.2025,,"Melo Don't Miz(Carmelo Hayes&The Miz) defeatThe Motor City Machine Guns(Alex Shelley&Chris Sabin) (7:31)WWE Friday Night SmackDown #1357- TV-Show @ 3Arena in Dublin, Ireland",https://upload.wikimedia.org/wikipedia/commons/8/85/Alex_Shelley_February_2016.png
3,08.08.2025,,"MFT(JC Mateo&Talla Tonga) defeatThe Motor City Machine Guns(Alex Shelley&Chris Sabin) (7:43)WWE Friday Night SmackDown #1355- TV-Show @ Bell Centre in Montreal, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/8/85/Alex_Shelley_February_2016.png
4,03.08.2025,,"WWE Tag Team  TitleSix Pack Tables, Ladders And Chairs:The Wyatt Sicks(Dexter Lumis&Joe Gacy) (c) defeat#DIY(Johnny Gargano&Tommaso Ciampa) andAndrade&Rey FenixandFraxiom(Axiom&Nathan Frazer) andThe Motor City Machine Guns(Alex Shelley&Chris Sabin) andThe Street Profits(Angelo Dawkins&Montez Ford) (16:03)WWE SummerSlam 2025 - Sunday- Premium Live Event @ MetLife Stadium in East Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/8/85/Alex_Shelley_February_2016.png
5,20.07.2025,,"The Wyatt Sicks(Dexter Lumis,Erick Rowan,Joe Gacy&Uncle Howdy) defeatFraxiom(Axiom&Nathan Frazer) &The Motor City Machine Guns(Alex Shelley&Chris Sabin)WWE SuperShow- House Show @ Bert Ogden Arena in Edinburg, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/8/85/Alex_Shelley_February_2016.png
6,19.07.2025,,"The Wyatt Sicks(Dexter Lumis,Erick Rowan,Joe Gacy&Uncle Howdy) defeatFraxiom(Axiom&Nathan Frazer) &The Motor City Machine Guns(Alex Shelley&Chris Sabin)WWE SuperShow- House Show @ American Bank Center in Corpus Christi, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/8/85/Alex_Shelley_February_2016.png
7,18.07.2025,,"WWE Tag Team  Title#1 Contendership Four Way:Andrade&Rey Fenixdefeat#DIY(Johnny Gargano&Tommaso Ciampa) andFraxiom(Axiom&Nathan Frazer) andThe Motor City Machine Guns(Alex Shelley&Chris Sabin) (15:37)WWE Friday Night SmackDown #1352- TV-Show @ Frost Bank Center in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/8/85/Alex_Shelley_February_2016.png
8,13.06.2025,,"The Wyatt Sicks(Dexter Lumis&Joe Gacy) defeatThe Motor City Machine Guns(Alex Shelley&Chris Sabin) (9:25)WWE Friday Night SmackDown #1347- TV-Show @ Rupp Arena in Lexington, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/8/85/Alex_Shelley_February_2016.png
9,25.04.2025,,"WWE Tag Team  TitleTables, Ladders & Chairs Triple Threat:The Street Profits(Angelo Dawkins&Montez Ford) (c) defeat#DIY(Johnny Gargano&Tommaso Ciampa) andThe Motor City Machine Guns(Alex Shelley&Chris Sabin) (22:52)WWE Friday Night SmackDown #1340- TV-Show @ Dickies Arena in Fort Worth, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/8/85/Alex_Shelley_February_2016.png
10,25.04.2025,,"WWE Speed Title#1 Contendership Tournament Final:El Grande AmericanodefeatsAlex Shelley(2:21)WWE Speed #70- Online Stream @ Dickies Arena in Fort Worth, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/8/85/Alex_Shelley_February_2016.png
